InventoryHandlingMethodKey,InventoryHandlingMethodCode,InventoryHandlingClassKey,InventoryHandlingMethodName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IHM000001,6,Zenith InventoryHandlingMethod 1,1,1,2026-08-24T00:00:00.000
2,IHM000002,1,Riverton InventoryHandlingMethod 2,1,1,2026-08-24T00:00:00.000
3,IHM000003,8,Willow InventoryHandlingMethod 3,1,1,2026-08-24T00:00:00.000
4,IHM000004,2,Junction InventoryHandlingMethod 4,1,1,2026-08-24T00:00:00.000
5,IHM000005,10,Meridian InventoryHandlingMethod 5,1,1,2026-08-24T00:00:00.000
6,IHM000006,6,Atlas InventoryHandlingMethod 6,1,1,2026-08-24T00:00:00.000
7,IHM000007,9,Liberty InventoryHandlingMethod 7,1,1,2026-08-24T00:00:00.000
8,IHM000008,4,Harbor InventoryHandlingMethod 8,1,1,2026-08-24T00:00:00.000
9,IHM000009,4,Zenith InventoryHandlingMethod 9,1,1,2026-08-24T00:00:00.000
10,IHM000010,7,Granite InventoryHandlingMethod 10,1,1,2026-08-24T00:00:00.000
11,IHM000011,4,Keystone InventoryHandlingMethod 11,1,1,2026-08-24T00:00:00.000
12,IHM000012,9,Titan InventoryHandlingMethod 12,1,1,2026-08-24T00:00:00.000
13,IHM000013,1,Cedar InventoryHandlingMethod 13,1,1,2026-08-24T00:00:00.000
14,IHM000014,3,Harbor InventoryHandlingMethod 14,1,1,2026-08-24T00:00:00.000
15,IHM000015,6,Delta InventoryHandlingMethod 15,1,1,2026-08-24T00:00:00.000
16,IHM000016,8,Keystone InventoryHandlingMethod 16,1,1,2026-08-24T00:00:00.000
17,IHM000017,7,Cedar InventoryHandlingMethod 17,1,1,2026-08-24T00:00:00.000
18,IHM000018,4,Harbor InventoryHandlingMethod 18,1,1,2026-08-24T00:00:00.000
19,IHM000019,10,Liberty InventoryHandlingMethod 19,1,1,2026-08-24T00:00:00.000
20,IHM000020,7,Pioneer InventoryHandlingMethod 20,1,1,2026-08-24T00:00:00.000
21,IHM000021,3,Riverton InventoryHandlingMethod 21,1,1,2026-08-24T00:00:00.000
22,IHM000022,10,Evergreen InventoryHandlingMethod 22,1,1,2026-08-24T00:00:00.000
23,IHM000023,6,Evergreen InventoryHandlingMethod 23,1,1,2026-08-24T00:00:00.000
24,IHM000024,7,Forge InventoryHandlingMethod 24,1,1,2026-08-24T00:00:00.000
25,IHM000025,2,Liberty InventoryHandlingMethod 25,1,1,2026-08-24T00:00:00.000
26,IHM000026,2,Evergreen InventoryHandlingMethod 26,1,1,2026-08-24T00:00:00.000
27,IHM000027,5,Harbor InventoryHandlingMethod 27,1,1,2026-08-24T00:00:00.000
28,IHM000028,1,Riverton InventoryHandlingMethod 28,1,1,2026-08-24T00:00:00.000
29,IHM000029,3,Ion InventoryHandlingMethod 29,1,1,2026-08-24T00:00:00.000
30,IHM000030,4,Delta InventoryHandlingMethod 30,1,1,2026-08-24T00:00:00.000
31,IHM000031,7,Riverton InventoryHandlingMethod 31,1,1,2026-08-24T00:00:00.000
32,IHM000032,7,Willow InventoryHandlingMethod 32,1,1,2026-08-24T00:00:00.000
33,IHM000033,7,Vertex InventoryHandlingMethod 33,1,1,2026-08-24T00:00:00.000
34,IHM000034,7,Harbor InventoryHandlingMethod 34,1,1,2026-08-24T00:00:00.000
35,IHM000035,8,Vertex InventoryHandlingMethod 35,1,1,2026-08-24T00:00:00.000
36,IHM000036,7,Junction InventoryHandlingMethod 36,1,1,2026-08-24T00:00:00.000
37,IHM000037,6,Keystone InventoryHandlingMethod 37,1,1,2026-08-24T00:00:00.000
38,IHM000038,10,Granite InventoryHandlingMethod 38,1,1,2026-08-24T00:00:00.000
39,IHM000039,2,Quartz InventoryHandlingMethod 39,1,1,2026-08-24T00:00:00.000
40,IHM000040,4,Meridian InventoryHandlingMethod 40,1,1,2026-08-24T00:00:00.000
41,IHM000041,1,Summit InventoryHandlingMethod 41,1,1,2026-08-24T00:00:00.000
42,IHM000042,3,Beacon InventoryHandlingMethod 42,1,1,2026-08-24T00:00:00.000
43,IHM000043,9,Northstar InventoryHandlingMethod 43,1,1,2026-08-24T00:00:00.000
44,IHM000044,8,Forge InventoryHandlingMethod 44,1,1,2026-08-24T00:00:00.000
45,IHM000045,6,Atlas InventoryHandlingMethod 45,1,1,2026-08-24T00:00:00.000
46,IHM000046,2,Riverton InventoryHandlingMethod 46,1,1,2026-08-24T00:00:00.000
47,IHM000047,7,Riverton InventoryHandlingMethod 47,1,1,2026-08-24T00:00:00.000
48,IHM000048,4,Unity InventoryHandlingMethod 48,1,1,2026-08-24T00:00:00.000
49,IHM000049,6,Northstar InventoryHandlingMethod 49,1,1,2026-08-24T00:00:00.000
50,IHM000050,8,Riverton InventoryHandlingMethod 50,1,1,2026-08-24T00:00:00.000
