InventoryPlanningSegmentKey,InventoryPlanningSegmentCode,InventoryPlanningFamilyKey,InventoryPlanningSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IPS000001,12,Meridian InventoryPlanningSegment 1,1,1,2026-08-24T00:00:00.000
2,IPS000002,5,Willow InventoryPlanningSegment 2,1,1,2026-08-24T00:00:00.000
3,IPS000003,5,Orion InventoryPlanningSegment 3,1,1,2026-08-24T00:00:00.000
4,IPS000004,1,Keystone InventoryPlanningSegment 4,1,1,2026-08-24T00:00:00.000
5,IPS000005,7,Ion InventoryPlanningSegment 5,1,1,2026-08-24T00:00:00.000
6,IPS000006,12,Zenith InventoryPlanningSegment 6,1,1,2026-08-24T00:00:00.000
7,IPS000007,6,Harbor InventoryPlanningSegment 7,1,1,2026-08-24T00:00:00.000
8,IPS000008,6,Delta InventoryPlanningSegment 8,1,1,2026-08-24T00:00:00.000
9,IPS000009,4,Cedar InventoryPlanningSegment 9,1,1,2026-08-24T00:00:00.000
10,IPS000010,11,Vertex InventoryPlanningSegment 10,1,1,2026-08-24T00:00:00.000
11,IPS000011,9,Orion InventoryPlanningSegment 11,1,1,2026-08-24T00:00:00.000
12,IPS000012,7,Zenith InventoryPlanningSegment 12,1,1,2026-08-24T00:00:00.000
13,IPS000013,9,Orion InventoryPlanningSegment 13,1,1,2026-08-24T00:00:00.000
14,IPS000014,6,Delta InventoryPlanningSegment 14,1,1,2026-08-24T00:00:00.000
15,IPS000015,7,Beacon InventoryPlanningSegment 15,1,1,2026-08-24T00:00:00.000
16,IPS000016,13,Evergreen InventoryPlanningSegment 16,1,1,2026-08-24T00:00:00.000
17,IPS000017,6,Granite InventoryPlanningSegment 17,1,1,2026-08-24T00:00:00.000
18,IPS000018,11,Harbor InventoryPlanningSegment 18,1,1,2026-08-24T00:00:00.000
19,IPS000019,15,Riverton InventoryPlanningSegment 19,1,1,2026-08-24T00:00:00.000
20,IPS000020,7,Junction InventoryPlanningSegment 20,1,1,2026-08-24T00:00:00.000
21,IPS000021,13,Beacon InventoryPlanningSegment 21,1,1,2026-08-24T00:00:00.000
22,IPS000022,1,Unity InventoryPlanningSegment 22,1,1,2026-08-24T00:00:00.000
23,IPS000023,4,Cedar InventoryPlanningSegment 23,1,1,2026-08-24T00:00:00.000
24,IPS000024,6,Beacon InventoryPlanningSegment 24,1,1,2026-08-24T00:00:00.000
25,IPS000025,1,Summit InventoryPlanningSegment 25,1,1,2026-08-24T00:00:00.000
26,IPS000026,11,Meridian InventoryPlanningSegment 26,1,1,2026-08-24T00:00:00.000
27,IPS000027,3,Granite InventoryPlanningSegment 27,1,1,2026-08-24T00:00:00.000
28,IPS000028,11,Cedar InventoryPlanningSegment 28,1,1,2026-08-24T00:00:00.000
29,IPS000029,6,Keystone InventoryPlanningSegment 29,1,1,2026-08-24T00:00:00.000
30,IPS000030,3,Riverton InventoryPlanningSegment 30,1,1,2026-08-24T00:00:00.000
31,IPS000031,14,Junction InventoryPlanningSegment 31,1,1,2026-08-24T00:00:00.000
32,IPS000032,16,Zenith InventoryPlanningSegment 32,1,1,2026-08-24T00:00:00.000
33,IPS000033,7,Zenith InventoryPlanningSegment 33,1,1,2026-08-24T00:00:00.000
34,IPS000034,6,Atlas InventoryPlanningSegment 34,1,1,2026-08-24T00:00:00.000
35,IPS000035,12,Pioneer InventoryPlanningSegment 35,1,1,2026-08-24T00:00:00.000
36,IPS000036,3,Pioneer InventoryPlanningSegment 36,1,1,2026-08-24T00:00:00.000
37,IPS000037,14,Harbor InventoryPlanningSegment 37,1,1,2026-08-24T00:00:00.000
38,IPS000038,11,Riverton InventoryPlanningSegment 38,1,1,2026-08-24T00:00:00.000
39,IPS000039,11,Riverton InventoryPlanningSegment 39,1,1,2026-08-24T00:00:00.000
40,IPS000040,8,Atlas InventoryPlanningSegment 40,1,1,2026-08-24T00:00:00.000
41,IPS000041,9,Evergreen InventoryPlanningSegment 41,1,1,2026-08-24T00:00:00.000
42,IPS000042,11,Quartz InventoryPlanningSegment 42,1,1,2026-08-24T00:00:00.000
43,IPS000043,11,Liberty InventoryPlanningSegment 43,1,1,2026-08-24T00:00:00.000
44,IPS000044,9,Evergreen InventoryPlanningSegment 44,1,1,2026-08-24T00:00:00.000
45,IPS000045,6,Harbor InventoryPlanningSegment 45,1,1,2026-08-24T00:00:00.000
46,IPS000046,5,Riverton InventoryPlanningSegment 46,1,1,2026-08-24T00:00:00.000
47,IPS000047,7,Summit InventoryPlanningSegment 47,1,1,2026-08-24T00:00:00.000
48,IPS000048,3,Granite InventoryPlanningSegment 48,1,1,2026-08-24T00:00:00.000
49,IPS000049,10,Quartz InventoryPlanningSegment 49,1,1,2026-08-24T00:00:00.000
50,IPS000050,14,Vertex InventoryPlanningSegment 50,1,1,2026-08-24T00:00:00.000
51,IPS000051,8,Titan InventoryPlanningSegment 51,1,1,2026-08-24T00:00:00.000
52,IPS000052,4,Keystone InventoryPlanningSegment 52,1,1,2026-08-24T00:00:00.000
53,IPS000053,8,Unity InventoryPlanningSegment 53,1,1,2026-08-24T00:00:00.000
54,IPS000054,15,Evergreen InventoryPlanningSegment 54,1,1,2026-08-24T00:00:00.000
55,IPS000055,13,Forge InventoryPlanningSegment 55,1,1,2026-08-24T00:00:00.000
56,IPS000056,12,Forge InventoryPlanningSegment 56,1,1,2026-08-24T00:00:00.000
57,IPS000057,16,Evergreen InventoryPlanningSegment 57,1,1,2026-08-24T00:00:00.000
58,IPS000058,14,Pioneer InventoryPlanningSegment 58,1,1,2026-08-24T00:00:00.000
59,IPS000059,15,Atlas InventoryPlanningSegment 59,1,1,2026-08-24T00:00:00.000
60,IPS000060,5,Junction InventoryPlanningSegment 60,1,1,2026-08-24T00:00:00.000
61,IPS000061,5,Orion InventoryPlanningSegment 61,1,1,2026-08-24T00:00:00.000
62,IPS000062,2,Delta InventoryPlanningSegment 62,1,1,2026-08-24T00:00:00.000
63,IPS000063,8,Evergreen InventoryPlanningSegment 63,1,1,2026-08-24T00:00:00.000
64,IPS000064,10,Pioneer InventoryPlanningSegment 64,1,1,2026-08-24T00:00:00.000
65,IPS000065,3,Harbor InventoryPlanningSegment 65,1,1,2026-08-24T00:00:00.000
66,IPS000066,15,Harbor InventoryPlanningSegment 66,1,1,2026-08-24T00:00:00.000
67,IPS000067,16,Granite InventoryPlanningSegment 67,1,1,2026-08-24T00:00:00.000
68,IPS000068,11,Orion InventoryPlanningSegment 68,1,1,2026-08-24T00:00:00.000
69,IPS000069,3,Meridian InventoryPlanningSegment 69,1,1,2026-08-24T00:00:00.000
70,IPS000070,4,Harbor InventoryPlanningSegment 70,1,1,2026-08-24T00:00:00.000
71,IPS000071,5,Zenith InventoryPlanningSegment 71,1,1,2026-08-24T00:00:00.000
72,IPS000072,12,Riverton InventoryPlanningSegment 72,1,1,2026-08-24T00:00:00.000
73,IPS000073,10,Junction InventoryPlanningSegment 73,1,1,2026-08-24T00:00:00.000
74,IPS000074,8,Northstar InventoryPlanningSegment 74,1,1,2026-08-24T00:00:00.000
75,IPS000075,1,Zenith InventoryPlanningSegment 75,1,1,2026-08-24T00:00:00.000
76,IPS000076,13,Atlas InventoryPlanningSegment 76,1,1,2026-08-24T00:00:00.000
77,IPS000077,7,Harbor InventoryPlanningSegment 77,1,1,2026-08-24T00:00:00.000
78,IPS000078,6,Atlas InventoryPlanningSegment 78,1,1,2026-08-24T00:00:00.000
79,IPS000079,12,Vertex InventoryPlanningSegment 79,1,1,2026-08-24T00:00:00.000
80,IPS000080,10,Summit InventoryPlanningSegment 80,1,1,2026-08-24T00:00:00.000
