InventoryRackKey,InventoryRackCode,InventoryAisleKey,InventoryRackName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IR000001,304,Granite InventoryRack 1,1,1,2026-08-24T00:00:00.000
2,IR000002,63,Pioneer InventoryRack 2,1,1,2026-08-24T00:00:00.000
3,IR000003,473,Quartz InventoryRack 3,1,1,2026-08-24T00:00:00.000
4,IR000004,427,Willow InventoryRack 4,1,1,2026-08-24T00:00:00.000
5,IR000005,449,Riverton InventoryRack 5,1,1,2026-08-24T00:00:00.000
6,IR000006,169,Atlas InventoryRack 6,1,1,2026-08-24T00:00:00.000
7,IR000007,381,Zenith InventoryRack 7,1,1,2026-08-24T00:00:00.000
8,IR000008,145,Keystone InventoryRack 8,1,1,2026-08-24T00:00:00.000
9,IR000009,353,Willow InventoryRack 9,1,1,2026-08-24T00:00:00.000
10,IR000010,309,Riverton InventoryRack 10,1,1,2026-08-24T00:00:00.000
11,IR000011,428,Quartz InventoryRack 11,1,1,2026-08-24T00:00:00.000
12,IR000012,249,Unity InventoryRack 12,1,1,2026-08-24T00:00:00.000
13,IR000013,140,Granite InventoryRack 13,1,1,2026-08-24T00:00:00.000
14,IR000014,405,Riverton InventoryRack 14,1,1,2026-08-24T00:00:00.000
15,IR000015,347,Forge InventoryRack 15,1,1,2026-08-24T00:00:00.000
16,IR000016,318,Cedar InventoryRack 16,1,1,2026-08-24T00:00:00.000
17,IR000017,423,Riverton InventoryRack 17,1,1,2026-08-24T00:00:00.000
18,IR000018,196,Granite InventoryRack 18,1,1,2026-08-24T00:00:00.000
19,IR000019,290,Atlas InventoryRack 19,1,1,2026-08-24T00:00:00.000
20,IR000020,403,Willow InventoryRack 20,1,1,2026-08-24T00:00:00.000
21,IR000021,432,Vertex InventoryRack 21,1,1,2026-08-24T00:00:00.000
22,IR000022,313,Quartz InventoryRack 22,1,1,2026-08-24T00:00:00.000
23,IR000023,127,Pioneer InventoryRack 23,1,1,2026-08-24T00:00:00.000
24,IR000024,313,Willow InventoryRack 24,1,1,2026-08-24T00:00:00.000
25,IR000025,107,Keystone InventoryRack 25,1,1,2026-08-24T00:00:00.000
26,IR000026,129,Keystone InventoryRack 26,1,1,2026-08-24T00:00:00.000
27,IR000027,29,Summit InventoryRack 27,1,1,2026-08-24T00:00:00.000
28,IR000028,310,Quartz InventoryRack 28,1,1,2026-08-24T00:00:00.000
29,IR000029,409,Junction InventoryRack 29,1,1,2026-08-24T00:00:00.000
30,IR000030,313,Summit InventoryRack 30,1,1,2026-08-24T00:00:00.000
