InventoryStorageProfileKey,InventoryStorageProfileCode,InventoryStorageSubtypeKey,InventoryStorageProfileName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ISP000001,36,Northstar InventoryStorageProfile 1,1,1,2026-08-24T00:00:00.000
2,ISP000002,41,Orion InventoryStorageProfile 2,1,1,2026-08-24T00:00:00.000
3,ISP000003,90,Junction InventoryStorageProfile 3,1,1,2026-08-24T00:00:00.000
4,ISP000004,86,Granite InventoryStorageProfile 4,1,1,2026-08-24T00:00:00.000
5,ISP000005,17,Cedar InventoryStorageProfile 5,1,1,2026-08-24T00:00:00.000
6,ISP000006,30,Vertex InventoryStorageProfile 6,1,1,2026-08-24T00:00:00.000
7,ISP000007,82,Orion InventoryStorageProfile 7,1,1,2026-08-24T00:00:00.000
8,ISP000008,127,Zenith InventoryStorageProfile 8,1,1,2026-08-24T00:00:00.000
9,ISP000009,180,Vertex InventoryStorageProfile 9,1,1,2026-08-24T00:00:00.000
10,ISP000010,152,Granite InventoryStorageProfile 10,1,1,2026-08-24T00:00:00.000
11,ISP000011,150,Harbor InventoryStorageProfile 11,1,1,2026-08-24T00:00:00.000
12,ISP000012,149,Vertex InventoryStorageProfile 12,1,1,2026-08-24T00:00:00.000
13,ISP000013,56,Atlas InventoryStorageProfile 13,1,1,2026-08-24T00:00:00.000
14,ISP000014,107,Cedar InventoryStorageProfile 14,1,1,2026-08-24T00:00:00.000
15,ISP000015,106,Zenith InventoryStorageProfile 15,1,1,2026-08-24T00:00:00.000
16,ISP000016,134,Junction InventoryStorageProfile 16,1,1,2026-08-24T00:00:00.000
17,ISP000017,193,Unity InventoryStorageProfile 17,1,1,2026-08-24T00:00:00.000
18,ISP000018,178,Willow InventoryStorageProfile 18,1,1,2026-08-24T00:00:00.000
19,ISP000019,100,Evergreen InventoryStorageProfile 19,1,1,2026-08-24T00:00:00.000
20,ISP000020,8,Quartz InventoryStorageProfile 20,1,1,2026-08-24T00:00:00.000
21,ISP000021,34,Cedar InventoryStorageProfile 21,1,1,2026-08-24T00:00:00.000
22,ISP000022,158,Evergreen InventoryStorageProfile 22,1,1,2026-08-24T00:00:00.000
23,ISP000023,68,Evergreen InventoryStorageProfile 23,1,1,2026-08-24T00:00:00.000
24,ISP000024,190,Beacon InventoryStorageProfile 24,1,1,2026-08-24T00:00:00.000
25,ISP000025,5,Forge InventoryStorageProfile 25,1,1,2026-08-24T00:00:00.000
26,ISP000026,213,Atlas InventoryStorageProfile 26,1,1,2026-08-24T00:00:00.000
27,ISP000027,7,Delta InventoryStorageProfile 27,1,1,2026-08-24T00:00:00.000
28,ISP000028,112,Willow InventoryStorageProfile 28,1,1,2026-08-24T00:00:00.000
29,ISP000029,199,Evergreen InventoryStorageProfile 29,1,1,2026-08-24T00:00:00.000
30,ISP000030,16,Ion InventoryStorageProfile 30,1,1,2026-08-24T00:00:00.000
31,ISP000031,121,Northstar InventoryStorageProfile 31,1,1,2026-08-24T00:00:00.000
32,ISP000032,126,Pioneer InventoryStorageProfile 32,1,1,2026-08-24T00:00:00.000
33,ISP000033,96,Harbor InventoryStorageProfile 33,1,1,2026-08-24T00:00:00.000
34,ISP000034,234,Cedar InventoryStorageProfile 34,1,1,2026-08-24T00:00:00.000
35,ISP000035,237,Cedar InventoryStorageProfile 35,1,1,2026-08-24T00:00:00.000
36,ISP000036,156,Delta InventoryStorageProfile 36,1,1,2026-08-24T00:00:00.000
37,ISP000037,140,Northstar InventoryStorageProfile 37,1,1,2026-08-24T00:00:00.000
38,ISP000038,186,Quartz InventoryStorageProfile 38,1,1,2026-08-24T00:00:00.000
39,ISP000039,210,Keystone InventoryStorageProfile 39,1,1,2026-08-24T00:00:00.000
40,ISP000040,33,Northstar InventoryStorageProfile 40,1,1,2026-08-24T00:00:00.000
41,ISP000041,150,Liberty InventoryStorageProfile 41,1,1,2026-08-24T00:00:00.000
42,ISP000042,112,Vertex InventoryStorageProfile 42,1,1,2026-08-24T00:00:00.000
43,ISP000043,130,Northstar InventoryStorageProfile 43,1,1,2026-08-24T00:00:00.000
44,ISP000044,137,Unity InventoryStorageProfile 44,1,1,2026-08-24T00:00:00.000
45,ISP000045,20,Pioneer InventoryStorageProfile 45,1,1,2026-08-24T00:00:00.000
46,ISP000046,98,Cedar InventoryStorageProfile 46,1,1,2026-08-24T00:00:00.000
47,ISP000047,146,Meridian InventoryStorageProfile 47,1,1,2026-08-24T00:00:00.000
48,ISP000048,174,Granite InventoryStorageProfile 48,1,1,2026-08-24T00:00:00.000
49,ISP000049,188,Forge InventoryStorageProfile 49,1,1,2026-08-24T00:00:00.000
50,ISP000050,128,Harbor InventoryStorageProfile 50,1,1,2026-08-24T00:00:00.000
51,ISP000051,69,Delta InventoryStorageProfile 51,1,1,2026-08-24T00:00:00.000
52,ISP000052,152,Delta InventoryStorageProfile 52,1,1,2026-08-24T00:00:00.000
53,ISP000053,23,Ion InventoryStorageProfile 53,1,1,2026-08-24T00:00:00.000
54,ISP000054,120,Forge InventoryStorageProfile 54,1,1,2026-08-24T00:00:00.000
55,ISP000055,139,Cedar InventoryStorageProfile 55,1,1,2026-08-24T00:00:00.000
56,ISP000056,230,Titan InventoryStorageProfile 56,1,1,2026-08-24T00:00:00.000
57,ISP000057,209,Riverton InventoryStorageProfile 57,1,1,2026-08-24T00:00:00.000
58,ISP000058,194,Orion InventoryStorageProfile 58,1,1,2026-08-24T00:00:00.000
59,ISP000059,240,Delta InventoryStorageProfile 59,1,1,2026-08-24T00:00:00.000
60,ISP000060,23,Atlas InventoryStorageProfile 60,1,1,2026-08-24T00:00:00.000
61,ISP000061,197,Forge InventoryStorageProfile 61,1,1,2026-08-24T00:00:00.000
62,ISP000062,156,Meridian InventoryStorageProfile 62,1,1,2026-08-24T00:00:00.000
63,ISP000063,219,Northstar InventoryStorageProfile 63,1,1,2026-08-24T00:00:00.000
64,ISP000064,167,Harbor InventoryStorageProfile 64,1,1,2026-08-24T00:00:00.000
65,ISP000065,98,Cedar InventoryStorageProfile 65,1,1,2026-08-24T00:00:00.000
66,ISP000066,65,Liberty InventoryStorageProfile 66,1,1,2026-08-24T00:00:00.000
67,ISP000067,36,Summit InventoryStorageProfile 67,1,1,2026-08-24T00:00:00.000
68,ISP000068,151,Evergreen InventoryStorageProfile 68,1,1,2026-08-24T00:00:00.000
69,ISP000069,235,Titan InventoryStorageProfile 69,1,1,2026-08-24T00:00:00.000
70,ISP000070,120,Orion InventoryStorageProfile 70,1,1,2026-08-24T00:00:00.000
71,ISP000071,147,Meridian InventoryStorageProfile 71,1,1,2026-08-24T00:00:00.000
72,ISP000072,168,Willow InventoryStorageProfile 72,1,1,2026-08-24T00:00:00.000
73,ISP000073,148,Riverton InventoryStorageProfile 73,1,1,2026-08-24T00:00:00.000
74,ISP000074,9,Evergreen InventoryStorageProfile 74,1,1,2026-08-24T00:00:00.000
75,ISP000075,213,Junction InventoryStorageProfile 75,1,1,2026-08-24T00:00:00.000
76,ISP000076,44,Delta InventoryStorageProfile 76,1,1,2026-08-24T00:00:00.000
77,ISP000077,112,Riverton InventoryStorageProfile 77,1,1,2026-08-24T00:00:00.000
78,ISP000078,75,Summit InventoryStorageProfile 78,1,1,2026-08-24T00:00:00.000
79,ISP000079,207,Cedar InventoryStorageProfile 79,1,1,2026-08-24T00:00:00.000
80,ISP000080,170,Zenith InventoryStorageProfile 80,1,1,2026-08-24T00:00:00.000
81,ISP000081,146,Meridian InventoryStorageProfile 81,1,1,2026-08-24T00:00:00.000
82,ISP000082,223,Cedar InventoryStorageProfile 82,1,1,2026-08-24T00:00:00.000
83,ISP000083,215,Unity InventoryStorageProfile 83,1,1,2026-08-24T00:00:00.000
84,ISP000084,158,Zenith InventoryStorageProfile 84,1,1,2026-08-24T00:00:00.000
85,ISP000085,2,Quartz InventoryStorageProfile 85,1,1,2026-08-24T00:00:00.000
86,ISP000086,26,Ion InventoryStorageProfile 86,1,1,2026-08-24T00:00:00.000
87,ISP000087,58,Delta InventoryStorageProfile 87,1,1,2026-08-24T00:00:00.000
88,ISP000088,198,Ion InventoryStorageProfile 88,1,1,2026-08-24T00:00:00.000
89,ISP000089,121,Pioneer InventoryStorageProfile 89,1,1,2026-08-24T00:00:00.000
90,ISP000090,174,Titan InventoryStorageProfile 90,1,1,2026-08-24T00:00:00.000
91,ISP000091,148,Keystone InventoryStorageProfile 91,1,1,2026-08-24T00:00:00.000
92,ISP000092,216,Granite InventoryStorageProfile 92,1,1,2026-08-24T00:00:00.000
93,ISP000093,77,Willow InventoryStorageProfile 93,1,1,2026-08-24T00:00:00.000
94,ISP000094,91,Delta InventoryStorageProfile 94,1,1,2026-08-24T00:00:00.000
95,ISP000095,196,Beacon InventoryStorageProfile 95,1,1,2026-08-24T00:00:00.000
96,ISP000096,81,Cedar InventoryStorageProfile 96,1,1,2026-08-24T00:00:00.000
97,ISP000097,158,Vertex InventoryStorageProfile 97,1,1,2026-08-24T00:00:00.000
