InventoryStorageTypeKey,InventoryStorageTypeCode,InventoryStorageFamilyKey,InventoryStorageTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,IST000001,3,Titan InventoryStorageType 1,1,1,2026-08-24T00:00:00.000
2,IST000002,2,Beacon InventoryStorageType 2,1,1,2026-08-24T00:00:00.000
3,IST000003,2,Keystone InventoryStorageType 3,1,1,2026-08-24T00:00:00.000
4,IST000004,9,Meridian InventoryStorageType 4,1,1,2026-08-24T00:00:00.000
5,IST000005,4,Forge InventoryStorageType 5,1,1,2026-08-24T00:00:00.000
6,IST000006,11,Delta InventoryStorageType 6,1,1,2026-08-24T00:00:00.000
7,IST000007,12,Willow InventoryStorageType 7,1,1,2026-08-24T00:00:00.000
8,IST000008,1,Summit InventoryStorageType 8,1,1,2026-08-24T00:00:00.000
9,IST000009,9,Junction InventoryStorageType 9,1,1,2026-08-24T00:00:00.000
10,IST000010,11,Meridian InventoryStorageType 10,1,1,2026-08-24T00:00:00.000
11,IST000011,1,Beacon InventoryStorageType 11,1,1,2026-08-24T00:00:00.000
12,IST000012,8,Willow InventoryStorageType 12,1,1,2026-08-24T00:00:00.000
13,IST000013,7,Vertex InventoryStorageType 13,1,1,2026-08-24T00:00:00.000
14,IST000014,10,Junction InventoryStorageType 14,1,1,2026-08-24T00:00:00.000
15,IST000015,4,Pioneer InventoryStorageType 15,1,1,2026-08-24T00:00:00.000
16,IST000016,7,Vertex InventoryStorageType 16,1,1,2026-08-24T00:00:00.000
17,IST000017,3,Evergreen InventoryStorageType 17,1,1,2026-08-24T00:00:00.000
18,IST000018,7,Atlas InventoryStorageType 18,1,1,2026-08-24T00:00:00.000
19,IST000019,5,Ion InventoryStorageType 19,1,1,2026-08-24T00:00:00.000
20,IST000020,6,Junction InventoryStorageType 20,1,1,2026-08-24T00:00:00.000
21,IST000021,2,Forge InventoryStorageType 21,1,1,2026-08-24T00:00:00.000
22,IST000022,1,Beacon InventoryStorageType 22,1,1,2026-08-24T00:00:00.000
23,IST000023,8,Forge InventoryStorageType 23,1,1,2026-08-24T00:00:00.000
24,IST000024,12,Meridian InventoryStorageType 24,1,1,2026-08-24T00:00:00.000
25,IST000025,4,Junction InventoryStorageType 25,1,1,2026-08-24T00:00:00.000
26,IST000026,10,Atlas InventoryStorageType 26,1,1,2026-08-24T00:00:00.000
27,IST000027,4,Granite InventoryStorageType 27,1,1,2026-08-24T00:00:00.000
28,IST000028,5,Orion InventoryStorageType 28,1,1,2026-08-24T00:00:00.000
29,IST000029,2,Liberty InventoryStorageType 29,1,1,2026-08-24T00:00:00.000
30,IST000030,2,Beacon InventoryStorageType 30,1,1,2026-08-24T00:00:00.000
31,IST000031,12,Unity InventoryStorageType 31,1,1,2026-08-24T00:00:00.000
32,IST000032,2,Harbor InventoryStorageType 32,1,1,2026-08-24T00:00:00.000
33,IST000033,6,Liberty InventoryStorageType 33,1,1,2026-08-24T00:00:00.000
34,IST000034,6,Junction InventoryStorageType 34,1,1,2026-08-24T00:00:00.000
35,IST000035,2,Cedar InventoryStorageType 35,1,1,2026-08-24T00:00:00.000
36,IST000036,4,Summit InventoryStorageType 36,1,1,2026-08-24T00:00:00.000
37,IST000037,5,Cedar InventoryStorageType 37,1,1,2026-08-24T00:00:00.000
38,IST000038,5,Orion InventoryStorageType 38,1,1,2026-08-24T00:00:00.000
39,IST000039,3,Riverton InventoryStorageType 39,1,1,2026-08-24T00:00:00.000
40,IST000040,5,Junction InventoryStorageType 40,1,1,2026-08-24T00:00:00.000
41,IST000041,12,Northstar InventoryStorageType 41,1,1,2026-08-24T00:00:00.000
42,IST000042,10,Evergreen InventoryStorageType 42,1,1,2026-08-24T00:00:00.000
43,IST000043,3,Evergreen InventoryStorageType 43,1,1,2026-08-24T00:00:00.000
44,IST000044,8,Atlas InventoryStorageType 44,1,1,2026-08-24T00:00:00.000
45,IST000045,5,Meridian InventoryStorageType 45,1,1,2026-08-24T00:00:00.000
46,IST000046,8,Cedar InventoryStorageType 46,1,1,2026-08-24T00:00:00.000
47,IST000047,11,Willow InventoryStorageType 47,1,1,2026-08-24T00:00:00.000
48,IST000048,9,Delta InventoryStorageType 48,1,1,2026-08-24T00:00:00.000
49,IST000049,5,Harbor InventoryStorageType 49,1,1,2026-08-24T00:00:00.000
50,IST000050,5,Willow InventoryStorageType 50,1,1,2026-08-24T00:00:00.000
51,IST000051,2,Harbor InventoryStorageType 51,1,1,2026-08-24T00:00:00.000
52,IST000052,4,Beacon InventoryStorageType 52,1,1,2026-08-24T00:00:00.000
53,IST000053,3,Ion InventoryStorageType 53,1,1,2026-08-24T00:00:00.000
54,IST000054,5,Willow InventoryStorageType 54,1,1,2026-08-24T00:00:00.000
55,IST000055,1,Summit InventoryStorageType 55,1,1,2026-08-24T00:00:00.000
56,IST000056,11,Willow InventoryStorageType 56,1,1,2026-08-24T00:00:00.000
57,IST000057,5,Ion InventoryStorageType 57,1,1,2026-08-24T00:00:00.000
58,IST000058,12,Quartz InventoryStorageType 58,1,1,2026-08-24T00:00:00.000
59,IST000059,11,Zenith InventoryStorageType 59,1,1,2026-08-24T00:00:00.000
60,IST000060,10,Zenith InventoryStorageType 60,1,1,2026-08-24T00:00:00.000
