InventoryWarehouseKey,InventoryWarehouseCode,InventoryWarehouseName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,IW000001,Riverton InventoryWarehouse 1,1,1,2026-08-24T00:00:00.000
2,IW000002,Titan InventoryWarehouse 2,1,1,2026-08-24T00:00:00.000
3,IW000003,Zenith InventoryWarehouse 3,1,1,2026-08-24T00:00:00.000
4,IW000004,Zenith InventoryWarehouse 4,1,1,2026-08-24T00:00:00.000
5,IW000005,Beacon InventoryWarehouse 5,1,1,2026-08-24T00:00:00.000
6,IW000006,Pioneer InventoryWarehouse 6,1,1,2026-08-24T00:00:00.000
7,IW000007,Meridian InventoryWarehouse 7,1,1,2026-08-24T00:00:00.000
8,IW000008,Forge InventoryWarehouse 8,1,1,2026-08-24T00:00:00.000
9,IW000009,Delta InventoryWarehouse 9,1,1,2026-08-24T00:00:00.000
10,IW000010,Granite InventoryWarehouse 10,1,1,2026-08-24T00:00:00.000
11,IW000011,Northstar InventoryWarehouse 11,1,1,2026-08-24T00:00:00.000
12,IW000012,Cedar InventoryWarehouse 12,1,1,2026-08-24T00:00:00.000
13,IW000013,Cedar InventoryWarehouse 13,1,1,2026-08-24T00:00:00.000
14,IW000014,Northstar InventoryWarehouse 14,1,1,2026-08-24T00:00:00.000
15,IW000015,Forge InventoryWarehouse 15,1,1,2026-08-24T00:00:00.000
16,IW000016,Forge InventoryWarehouse 16,1,1,2026-08-24T00:00:00.000
17,IW000017,Atlas InventoryWarehouse 17,1,1,2026-08-24T00:00:00.000
18,IW000018,Keystone InventoryWarehouse 18,1,1,2026-08-24T00:00:00.000
19,IW000019,Granite InventoryWarehouse 19,1,1,2026-08-24T00:00:00.000
20,IW000020,Summit InventoryWarehouse 20,1,1,2026-08-24T00:00:00.000
21,IW000021,Keystone InventoryWarehouse 21,1,1,2026-08-24T00:00:00.000
22,IW000022,Summit InventoryWarehouse 22,1,1,2026-08-24T00:00:00.000
23,IW000023,Junction InventoryWarehouse 23,1,1,2026-08-24T00:00:00.000
24,IW000024,Vertex InventoryWarehouse 24,1,1,2026-08-24T00:00:00.000
25,IW000025,Harbor InventoryWarehouse 25,1,1,2026-08-24T00:00:00.000
26,IW000026,Forge InventoryWarehouse 26,1,1,2026-08-24T00:00:00.000
27,IW000027,Atlas InventoryWarehouse 27,1,1,2026-08-24T00:00:00.000
28,IW000028,Harbor InventoryWarehouse 28,1,1,2026-08-24T00:00:00.000
29,IW000029,Forge InventoryWarehouse 29,1,1,2026-08-24T00:00:00.000
30,IW000030,Ion InventoryWarehouse 30,1,1,2026-08-24T00:00:00.000
31,IW000031,Keystone InventoryWarehouse 31,1,1,2026-08-24T00:00:00.000
32,IW000032,Riverton InventoryWarehouse 32,1,1,2026-08-24T00:00:00.000
33,IW000033,Willow InventoryWarehouse 33,1,1,2026-08-24T00:00:00.000
34,IW000034,Zenith InventoryWarehouse 34,1,1,2026-08-24T00:00:00.000
35,IW000035,Vertex InventoryWarehouse 35,1,1,2026-08-24T00:00:00.000
36,IW000036,Riverton InventoryWarehouse 36,1,1,2026-08-24T00:00:00.000
37,IW000037,Orion InventoryWarehouse 37,1,1,2026-08-24T00:00:00.000
38,IW000038,Orion InventoryWarehouse 38,1,1,2026-08-24T00:00:00.000
39,IW000039,Meridian InventoryWarehouse 39,1,1,2026-08-24T00:00:00.000
40,IW000040,Cedar InventoryWarehouse 40,1,1,2026-08-24T00:00:00.000
41,IW000041,Beacon InventoryWarehouse 41,1,1,2026-08-24T00:00:00.000
42,IW000042,Willow InventoryWarehouse 42,1,1,2026-08-24T00:00:00.000
43,IW000043,Cedar InventoryWarehouse 43,1,1,2026-08-24T00:00:00.000
44,IW000044,Ion InventoryWarehouse 44,1,1,2026-08-24T00:00:00.000
45,IW000045,Harbor InventoryWarehouse 45,1,1,2026-08-24T00:00:00.000
46,IW000046,Junction InventoryWarehouse 46,1,1,2026-08-24T00:00:00.000
47,IW000047,Atlas InventoryWarehouse 47,1,1,2026-08-24T00:00:00.000
48,IW000048,Riverton InventoryWarehouse 48,1,1,2026-08-24T00:00:00.000
49,IW000049,Ion InventoryWarehouse 49,1,1,2026-08-24T00:00:00.000
50,IW000050,Northstar InventoryWarehouse 50,1,1,2026-08-24T00:00:00.000
51,IW000051,Cedar InventoryWarehouse 51,1,1,2026-08-24T00:00:00.000
52,IW000052,Meridian InventoryWarehouse 52,1,1,2026-08-24T00:00:00.000
53,IW000053,Harbor InventoryWarehouse 53,1,1,2026-08-24T00:00:00.000
54,IW000054,Ion InventoryWarehouse 54,1,1,2026-08-24T00:00:00.000
55,IW000055,Delta InventoryWarehouse 55,1,1,2026-08-24T00:00:00.000
56,IW000056,Zenith InventoryWarehouse 56,1,1,2026-08-24T00:00:00.000
57,IW000057,Summit InventoryWarehouse 57,1,1,2026-08-24T00:00:00.000
58,IW000058,Cedar InventoryWarehouse 58,1,1,2026-08-24T00:00:00.000
59,IW000059,Beacon InventoryWarehouse 59,1,1,2026-08-24T00:00:00.000
60,IW000060,Summit InventoryWarehouse 60,1,1,2026-08-24T00:00:00.000
61,IW000061,Keystone InventoryWarehouse 61,1,1,2026-08-24T00:00:00.000
62,IW000062,Cedar InventoryWarehouse 62,1,1,2026-08-24T00:00:00.000
63,IW000063,Forge InventoryWarehouse 63,1,1,2026-08-24T00:00:00.000
64,IW000064,Unity InventoryWarehouse 64,1,1,2026-08-24T00:00:00.000
65,IW000065,Riverton InventoryWarehouse 65,1,1,2026-08-24T00:00:00.000
66,IW000066,Pioneer InventoryWarehouse 66,1,1,2026-08-24T00:00:00.000
67,IW000067,Liberty InventoryWarehouse 67,1,1,2026-08-24T00:00:00.000
68,IW000068,Granite InventoryWarehouse 68,1,1,2026-08-24T00:00:00.000
69,IW000069,Titan InventoryWarehouse 69,1,1,2026-08-24T00:00:00.000
70,IW000070,Evergreen InventoryWarehouse 70,1,1,2026-08-24T00:00:00.000
71,IW000071,Keystone InventoryWarehouse 71,1,1,2026-08-24T00:00:00.000
72,IW000072,Forge InventoryWarehouse 72,1,1,2026-08-24T00:00:00.000
73,IW000073,Quartz InventoryWarehouse 73,1,1,2026-08-24T00:00:00.000
74,IW000074,Keystone InventoryWarehouse 74,1,1,2026-08-24T00:00:00.000
75,IW000075,Keystone InventoryWarehouse 75,1,1,2026-08-24T00:00:00.000
76,IW000076,Meridian InventoryWarehouse 76,1,1,2026-08-24T00:00:00.000
77,IW000077,Evergreen InventoryWarehouse 77,1,1,2026-08-24T00:00:00.000
78,IW000078,Liberty InventoryWarehouse 78,1,1,2026-08-24T00:00:00.000
79,IW000079,Northstar InventoryWarehouse 79,1,1,2026-08-24T00:00:00.000
80,IW000080,Harbor InventoryWarehouse 80,1,1,2026-08-24T00:00:00.000
81,IW000081,Zenith InventoryWarehouse 81,1,1,2026-08-24T00:00:00.000
82,IW000082,Unity InventoryWarehouse 82,1,1,2026-08-24T00:00:00.000
83,IW000083,Meridian InventoryWarehouse 83,1,1,2026-08-24T00:00:00.000
84,IW000084,Cedar InventoryWarehouse 84,1,1,2026-08-24T00:00:00.000
85,IW000085,Beacon InventoryWarehouse 85,1,1,2026-08-24T00:00:00.000
86,IW000086,Zenith InventoryWarehouse 86,1,1,2026-08-24T00:00:00.000
87,IW000087,Forge InventoryWarehouse 87,1,1,2026-08-24T00:00:00.000
88,IW000088,Liberty InventoryWarehouse 88,1,1,2026-08-24T00:00:00.000
89,IW000089,Beacon InventoryWarehouse 89,1,1,2026-08-24T00:00:00.000
90,IW000090,Junction InventoryWarehouse 90,1,1,2026-08-24T00:00:00.000
91,IW000091,Ion InventoryWarehouse 91,1,1,2026-08-24T00:00:00.000
92,IW000092,Evergreen InventoryWarehouse 92,1,1,2026-08-24T00:00:00.000
93,IW000093,Titan InventoryWarehouse 93,1,1,2026-08-24T00:00:00.000
94,IW000094,Liberty InventoryWarehouse 94,1,1,2026-08-24T00:00:00.000
95,IW000095,Atlas InventoryWarehouse 95,1,1,2026-08-24T00:00:00.000
96,IW000096,Junction InventoryWarehouse 96,1,1,2026-08-24T00:00:00.000
97,IW000097,Atlas InventoryWarehouse 97,1,1,2026-08-24T00:00:00.000
98,IW000098,Quartz InventoryWarehouse 98,1,1,2026-08-24T00:00:00.000
99,IW000099,Zenith InventoryWarehouse 99,1,1,2026-08-24T00:00:00.000
100,IW000100,Pioneer InventoryWarehouse 100,1,1,2026-08-24T00:00:00.000
101,IW000101,Delta InventoryWarehouse 101,1,1,2026-08-24T00:00:00.000
102,IW000102,Liberty InventoryWarehouse 102,1,1,2026-08-24T00:00:00.000
103,IW000103,Northstar InventoryWarehouse 103,1,1,2026-08-24T00:00:00.000
104,IW000104,Zenith InventoryWarehouse 104,1,1,2026-08-24T00:00:00.000
105,IW000105,Riverton InventoryWarehouse 105,1,1,2026-08-24T00:00:00.000
106,IW000106,Quartz InventoryWarehouse 106,1,1,2026-08-24T00:00:00.000
107,IW000107,Orion InventoryWarehouse 107,1,1,2026-08-24T00:00:00.000
108,IW000108,Willow InventoryWarehouse 108,1,1,2026-08-24T00:00:00.000
109,IW000109,Summit InventoryWarehouse 109,1,1,2026-08-24T00:00:00.000
110,IW000110,Ion InventoryWarehouse 110,1,1,2026-08-24T00:00:00.000
111,IW000111,Evergreen InventoryWarehouse 111,1,1,2026-08-24T00:00:00.000
112,IW000112,Northstar InventoryWarehouse 112,1,1,2026-08-24T00:00:00.000
113,IW000113,Liberty InventoryWarehouse 113,1,1,2026-08-24T00:00:00.000
114,IW000114,Titan InventoryWarehouse 114,1,1,2026-08-24T00:00:00.000
