LaborCertificationKey,LaborCertificationCode,LaborSkillKey,LaborCertificationName,CertificationAuthority,ValidityMonths,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,LC000001,146,Orion LaborCertification 1,LaborCertification-CertificationAuthority-1,2,1,1,2026-08-24T00:00:00.000
2,LC000002,106,Quartz LaborCertification 2,LaborCertification-CertificationAuthority-2,3,1,1,2026-08-24T00:00:00.000
3,LC000003,344,Forge LaborCertification 3,LaborCertification-CertificationAuthority-3,4,1,1,2026-08-24T00:00:00.000
4,LC000004,272,Pioneer LaborCertification 4,LaborCertification-CertificationAuthority-4,5,1,1,2026-08-24T00:00:00.000
5,LC000005,42,Willow LaborCertification 5,LaborCertification-CertificationAuthority-5,6,1,1,2026-08-24T00:00:00.000
6,LC000006,125,Liberty LaborCertification 6,LaborCertification-CertificationAuthority-6,7,1,1,2026-08-24T00:00:00.000
7,LC000007,436,Unity LaborCertification 7,LaborCertification-CertificationAuthority-7,8,1,1,2026-08-24T00:00:00.000
8,LC000008,367,Vertex LaborCertification 8,LaborCertification-CertificationAuthority-8,9,1,1,2026-08-24T00:00:00.000
9,LC000009,142,Forge LaborCertification 9,LaborCertification-CertificationAuthority-9,10,1,1,2026-08-24T00:00:00.000
10,LC000010,493,Riverton LaborCertification 10,LaborCertification-CertificationAuthority-10,11,1,1,2026-08-24T00:00:00.000
11,LC000011,391,Cedar LaborCertification 11,LaborCertification-CertificationAuthority-11,12,1,1,2026-08-24T00:00:00.000
12,LC000012,456,Titan LaborCertification 12,LaborCertification-CertificationAuthority-12,1,1,1,2026-08-24T00:00:00.000
13,LC000013,310,Meridian LaborCertification 13,LaborCertification-CertificationAuthority-13,2,1,1,2026-08-24T00:00:00.000
14,LC000014,239,Cedar LaborCertification 14,LaborCertification-CertificationAuthority-14,3,1,1,2026-08-24T00:00:00.000
15,LC000015,228,Liberty LaborCertification 15,LaborCertification-CertificationAuthority-15,4,1,1,2026-08-24T00:00:00.000
16,LC000016,10,Meridian LaborCertification 16,LaborCertification-CertificationAuthority-16,5,1,1,2026-08-24T00:00:00.000
17,LC000017,486,Unity LaborCertification 17,LaborCertification-CertificationAuthority-17,6,1,1,2026-08-24T00:00:00.000
18,LC000018,214,Quartz LaborCertification 18,LaborCertification-CertificationAuthority-18,7,1,1,2026-08-24T00:00:00.000
19,LC000019,466,Meridian LaborCertification 19,LaborCertification-CertificationAuthority-19,8,1,1,2026-08-24T00:00:00.000
20,LC000020,444,Liberty LaborCertification 20,LaborCertification-CertificationAuthority-20,9,1,1,2026-08-24T00:00:00.000
21,LC000021,458,Keystone LaborCertification 21,LaborCertification-CertificationAuthority-21,10,1,1,2026-08-24T00:00:00.000
22,LC000022,57,Willow LaborCertification 22,LaborCertification-CertificationAuthority-22,11,1,1,2026-08-24T00:00:00.000
23,LC000023,183,Summit LaborCertification 23,LaborCertification-CertificationAuthority-23,12,1,1,2026-08-24T00:00:00.000
24,LC000024,176,Harbor LaborCertification 24,LaborCertification-CertificationAuthority-24,1,1,1,2026-08-24T00:00:00.000
25,LC000025,349,Delta LaborCertification 25,LaborCertification-CertificationAuthority-25,2,1,1,2026-08-24T00:00:00.000
26,LC000026,280,Ion LaborCertification 26,LaborCertification-CertificationAuthority-26,3,1,1,2026-08-24T00:00:00.000
27,LC000027,431,Pioneer LaborCertification 27,LaborCertification-CertificationAuthority-27,4,1,1,2026-08-24T00:00:00.000
28,LC000028,330,Keystone LaborCertification 28,LaborCertification-CertificationAuthority-28,5,1,1,2026-08-24T00:00:00.000
29,LC000029,431,Summit LaborCertification 29,LaborCertification-CertificationAuthority-29,6,1,1,2026-08-24T00:00:00.000
30,LC000030,176,Granite LaborCertification 30,LaborCertification-CertificationAuthority-30,7,1,1,2026-08-24T00:00:00.000
31,LC000031,471,Pioneer LaborCertification 31,LaborCertification-CertificationAuthority-31,8,1,1,2026-08-24T00:00:00.000
32,LC000032,379,Orion LaborCertification 32,LaborCertification-CertificationAuthority-32,9,1,1,2026-08-24T00:00:00.000
33,LC000033,162,Northstar LaborCertification 33,LaborCertification-CertificationAuthority-33,10,1,1,2026-08-24T00:00:00.000
34,LC000034,245,Titan LaborCertification 34,LaborCertification-CertificationAuthority-34,11,1,1,2026-08-24T00:00:00.000
35,LC000035,442,Atlas LaborCertification 35,LaborCertification-CertificationAuthority-35,12,1,1,2026-08-24T00:00:00.000
