LaborCostRateKey,LaborCostRateCode,LaborJobGradeKey,CostCenterKey,CurrencyKey,LaborPayTypeKey,HourlyCostAmount,OverheadCostAmount,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,0.0000,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LCR000001,30,60,5,10,11.3700,11.3700,2.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22f1ee605b0755058bf8a98e8e3b2ac822f1ee605b0755058bf8a98e8e3b2ac8
2,LCR000002,26,21,1,6,12.7400,12.7400,3.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5896192106fd5364ac57b2ac76fafb0e5896192106fd5364ac57b2ac76fafb0e
3,LCR000003,15,399,3,8,14.1100,14.1100,4.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23d5beece62d52ad86403cc410cbc92023d5beece62d52ad86403cc410cbc920
4,LCR000004,12,153,4,7,15.4800,15.4800,5.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68986dc9cebc5a71baa601e4e095c8ef68986dc9cebc5a71baa601e4e095c8ef
5,LCR000005,20,226,3,5,16.8500,16.8500,6.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61e1ad4cabfd576bad6f3629b4e8004961e1ad4cabfd576bad6f3629b4e80049
6,LCR000006,28,465,3,11,18.2200,18.2200,7.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,003c3f46bc0a5bd781505339b2b12a19003c3f46bc0a5bd781505339b2b12a19
7,LCR000007,23,314,2,8,19.5900,19.5900,8.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19d24a3184945ce9ab8ec66630c53a6219d24a3184945ce9ab8ec66630c53a62
8,LCR000008,23,97,4,8,20.9600,20.9600,9.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,486b5178eb4d5a318cfb9cb91955d1c3486b5178eb4d5a318cfb9cb91955d1c3
9,LCR000009,17,312,2,3,22.3300,22.3300,10.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ec767f4699e54fabfe0f5aac6b025cd7ec767f4699e54fabfe0f5aac6b025cd
10,LCR000010,8,191,3,1,23.7000,23.7000,11.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01363dd247c75434ae45534f2c70ec8801363dd247c75434ae45534f2c70ec88
