LaborJobFamilyKey,LaborJobFamilyCode,LaborJobFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,LJF000001,Beacon LaborJobFamily 1,1,1,2026-08-24T00:00:00.000
2,LJF000002,Orion LaborJobFamily 2,1,1,2026-08-24T00:00:00.000
3,LJF000003,Ion LaborJobFamily 3,1,1,2026-08-24T00:00:00.000
4,LJF000004,Riverton LaborJobFamily 4,1,1,2026-08-24T00:00:00.000
5,LJF000005,Riverton LaborJobFamily 5,1,1,2026-08-24T00:00:00.000
6,LJF000006,Orion LaborJobFamily 6,1,1,2026-08-24T00:00:00.000
7,LJF000007,Harbor LaborJobFamily 7,1,1,2026-08-24T00:00:00.000
8,LJF000008,Cedar LaborJobFamily 8,1,1,2026-08-24T00:00:00.000
9,LJF000009,Junction LaborJobFamily 9,1,1,2026-08-24T00:00:00.000
10,LJF000010,Harbor LaborJobFamily 10,1,1,2026-08-24T00:00:00.000
11,LJF000011,Harbor LaborJobFamily 11,1,1,2026-08-24T00:00:00.000
12,LJF000012,Liberty LaborJobFamily 12,1,1,2026-08-24T00:00:00.000
