LaborOvertimePolicyKey,OvertimePolicyCode,LaborJobGradeKey,LaborPayTypeKey,OvertimePolicyName,DailyThresholdHours,WeeklyThresholdHours,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0.00,0.00,0.0000,-1,0,1900-01-01T00:00:00.000
1,LOP000001,3,12,Orion LaborOvertimePolicy 1,2.00,2.00,2.0000,1,1,2026-08-24T00:00:00.000
2,LOP000002,27,4,Harbor LaborOvertimePolicy 2,3.00,3.00,3.0000,1,1,2026-08-24T00:00:00.000
3,LOP000003,23,7,Ion LaborOvertimePolicy 3,4.00,4.00,4.0000,1,1,2026-08-24T00:00:00.000
4,LOP000004,3,6,Orion LaborOvertimePolicy 4,5.00,5.00,5.0000,1,1,2026-08-24T00:00:00.000
5,LOP000005,23,10,Orion LaborOvertimePolicy 5,6.00,6.00,6.0000,1,1,2026-08-24T00:00:00.000
6,LOP000006,28,1,Unity LaborOvertimePolicy 6,7.00,7.00,7.0000,1,1,2026-08-24T00:00:00.000
7,LOP000007,1,12,Evergreen LaborOvertimePolicy 7,8.00,8.00,8.0000,1,1,2026-08-24T00:00:00.000
8,LOP000008,27,10,Meridian LaborOvertimePolicy 8,9.00,9.00,9.0000,1,1,2026-08-24T00:00:00.000
9,LOP000009,21,10,Harbor LaborOvertimePolicy 9,10.00,10.00,10.0000,1,1,2026-08-24T00:00:00.000
10,LOP000010,14,12,Keystone LaborOvertimePolicy 10,11.00,11.00,11.0000,1,1,2026-08-24T00:00:00.000
11,LOP000011,22,9,Quartz LaborOvertimePolicy 11,12.00,12.00,12.0000,1,1,2026-08-24T00:00:00.000
12,LOP000012,9,5,Beacon LaborOvertimePolicy 12,13.00,13.00,13.0000,1,1,2026-08-24T00:00:00.000
13,LOP000013,11,4,Titan LaborOvertimePolicy 13,14.00,14.00,14.0000,1,1,2026-08-24T00:00:00.000
14,LOP000014,6,3,Orion LaborOvertimePolicy 14,15.00,15.00,15.0000,1,1,2026-08-24T00:00:00.000
15,LOP000015,26,9,Vertex LaborOvertimePolicy 15,16.00,16.00,16.0000,1,1,2026-08-24T00:00:00.000
16,LOP000016,8,11,Harbor LaborOvertimePolicy 16,17.00,17.00,17.0000,1,1,2026-08-24T00:00:00.000
17,LOP000017,18,4,Granite LaborOvertimePolicy 17,18.00,18.00,18.0000,1,1,2026-08-24T00:00:00.000
18,LOP000018,16,4,Delta LaborOvertimePolicy 18,19.00,19.00,19.0000,1,1,2026-08-24T00:00:00.000
19,LOP000019,12,5,Granite LaborOvertimePolicy 19,20.00,20.00,20.0000,1,1,2026-08-24T00:00:00.000
20,LOP000020,27,11,Keystone LaborOvertimePolicy 20,21.00,21.00,21.0000,1,1,2026-08-24T00:00:00.000
21,LOP000021,13,8,Harbor LaborOvertimePolicy 21,22.00,22.00,22.0000,1,1,2026-08-24T00:00:00.000
22,LOP000022,19,1,Beacon LaborOvertimePolicy 22,23.00,23.00,23.0000,1,1,2026-08-24T00:00:00.000
23,LOP000023,13,10,Unity LaborOvertimePolicy 23,24.00,24.00,24.0000,1,1,2026-08-24T00:00:00.000
24,LOP000024,4,1,Delta LaborOvertimePolicy 24,1.00,1.00,25.0000,1,1,2026-08-24T00:00:00.000
25,LOP000025,19,4,Granite LaborOvertimePolicy 25,2.00,2.00,26.0000,1,1,2026-08-24T00:00:00.000
26,LOP000026,28,1,Keystone LaborOvertimePolicy 26,3.00,3.00,27.0000,1,1,2026-08-24T00:00:00.000
27,LOP000027,13,8,Meridian LaborOvertimePolicy 27,4.00,4.00,28.0000,1,1,2026-08-24T00:00:00.000
28,LOP000028,10,3,Orion LaborOvertimePolicy 28,5.00,5.00,29.0000,1,1,2026-08-24T00:00:00.000
29,LOP000029,13,1,Delta LaborOvertimePolicy 29,6.00,6.00,30.0000,1,1,2026-08-24T00:00:00.000
30,LOP000030,28,5,Summit LaborOvertimePolicy 30,7.00,7.00,31.0000,1,1,2026-08-24T00:00:00.000
31,LOP000031,32,3,Ion LaborOvertimePolicy 31,8.00,8.00,32.0000,1,1,2026-08-24T00:00:00.000
32,LOP000032,18,2,Vertex LaborOvertimePolicy 32,9.00,9.00,33.0000,1,1,2026-08-24T00:00:00.000
33,LOP000033,22,3,Keystone LaborOvertimePolicy 33,10.00,10.00,34.0000,1,1,2026-08-24T00:00:00.000
34,LOP000034,10,10,Pioneer LaborOvertimePolicy 34,11.00,11.00,35.0000,1,1,2026-08-24T00:00:00.000
35,LOP000035,14,5,Atlas LaborOvertimePolicy 35,12.00,12.00,36.0000,1,1,2026-08-24T00:00:00.000
36,LOP000036,29,4,Summit LaborOvertimePolicy 36,13.00,13.00,37.0000,1,1,2026-08-24T00:00:00.000
37,LOP000037,29,2,Willow LaborOvertimePolicy 37,14.00,14.00,38.0000,1,1,2026-08-24T00:00:00.000
38,LOP000038,25,1,Northstar LaborOvertimePolicy 38,15.00,15.00,39.0000,1,1,2026-08-24T00:00:00.000
39,LOP000039,33,5,Liberty LaborOvertimePolicy 39,16.00,16.00,40.0000,1,1,2026-08-24T00:00:00.000
40,LOP000040,9,10,Northstar LaborOvertimePolicy 40,17.00,17.00,41.0000,1,1,2026-08-24T00:00:00.000
41,LOP000041,30,6,Beacon LaborOvertimePolicy 41,18.00,18.00,42.0000,1,1,2026-08-24T00:00:00.000
42,LOP000042,16,5,Ion LaborOvertimePolicy 42,19.00,19.00,43.0000,1,1,2026-08-24T00:00:00.000
43,LOP000043,32,8,Keystone LaborOvertimePolicy 43,20.00,20.00,44.0000,1,1,2026-08-24T00:00:00.000
44,LOP000044,22,7,Orion LaborOvertimePolicy 44,21.00,21.00,45.0000,1,1,2026-08-24T00:00:00.000
45,LOP000045,15,2,Summit LaborOvertimePolicy 45,22.00,22.00,46.0000,1,1,2026-08-24T00:00:00.000
46,LOP000046,13,11,Forge LaborOvertimePolicy 46,23.00,23.00,47.0000,1,1,2026-08-24T00:00:00.000
47,LOP000047,24,7,Forge LaborOvertimePolicy 47,24.00,24.00,48.0000,1,1,2026-08-24T00:00:00.000
48,LOP000048,11,10,Unity LaborOvertimePolicy 48,1.00,1.00,49.0000,1,1,2026-08-24T00:00:00.000
49,LOP000049,12,7,Zenith LaborOvertimePolicy 49,2.00,2.00,50.0000,1,1,2026-08-24T00:00:00.000
50,LOP000050,13,3,Evergreen LaborOvertimePolicy 50,3.00,3.00,51.0000,1,1,2026-08-24T00:00:00.000
51,LOP000051,32,12,Keystone LaborOvertimePolicy 51,4.00,4.00,52.0000,1,1,2026-08-24T00:00:00.000
52,LOP000052,5,9,Northstar LaborOvertimePolicy 52,5.00,5.00,53.0000,1,1,2026-08-24T00:00:00.000
53,LOP000053,2,7,Forge LaborOvertimePolicy 53,6.00,6.00,54.0000,1,1,2026-08-24T00:00:00.000
54,LOP000054,27,6,Delta LaborOvertimePolicy 54,7.00,7.00,55.0000,1,1,2026-08-24T00:00:00.000
55,LOP000055,33,7,Keystone LaborOvertimePolicy 55,8.00,8.00,56.0000,1,1,2026-08-24T00:00:00.000
56,LOP000056,30,8,Willow LaborOvertimePolicy 56,9.00,9.00,57.0000,1,1,2026-08-24T00:00:00.000
57,LOP000057,16,3,Junction LaborOvertimePolicy 57,10.00,10.00,58.0000,1,1,2026-08-24T00:00:00.000
58,LOP000058,11,9,Delta LaborOvertimePolicy 58,11.00,11.00,59.0000,1,1,2026-08-24T00:00:00.000
59,LOP000059,21,8,Quartz LaborOvertimePolicy 59,12.00,12.00,60.0000,1,1,2026-08-24T00:00:00.000
60,LOP000060,12,9,Harbor LaborOvertimePolicy 60,13.00,13.00,61.0000,1,1,2026-08-24T00:00:00.000
