LaborPositionKey,PositionNumber,LaborJobGradeKey,PlantKey,CostCenterKey,PositionTitle,AuthorizedHeadcount,IsUnionEligible,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,N/A,0.00,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LP000001,10,139,290,LaborPosition-PositionTitle-1,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0440f4109f65b2fbca42fe5663ef05cd0440f4109f65b2fbca42fe5663ef05c
2,LP000002,22,266,154,LaborPosition-PositionTitle-2,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bed4529992b5cae915b9197a41b97ef7bed4529992b5cae915b9197a41b97ef
3,LP000003,4,39,430,LaborPosition-PositionTitle-3,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de4f58362a7e5afca99b552a23f87d02de4f58362a7e5afca99b552a23f87d02
4,LP000004,30,94,176,LaborPosition-PositionTitle-4,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,097dfacf0fa2591dab802962c0bb3b2c097dfacf0fa2591dab802962c0bb3b2c
5,LP000005,26,109,385,LaborPosition-PositionTitle-5,6.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9907100584465cb489725dffef4ae2859907100584465cb489725dffef4ae285
6,LP000006,22,34,178,LaborPosition-PositionTitle-6,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,871f3b1a0d1653e5af7c00ee6389516d871f3b1a0d1653e5af7c00ee6389516d
7,LP000007,1,340,445,LaborPosition-PositionTitle-7,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e93199085155f8490f37ff204dd80025e93199085155f8490f37ff204dd8002
8,LP000008,32,47,477,LaborPosition-PositionTitle-8,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,565f248bbbac58ae865e36678a18434f565f248bbbac58ae865e36678a18434f
9,LP000009,29,150,59,LaborPosition-PositionTitle-9,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8663b5a5bc365df7b1e32a9ac863605e8663b5a5bc365df7b1e32a9ac863605e
10,LP000010,25,338,474,LaborPosition-PositionTitle-10,11.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af444a25783f5e03a1b9fe4eef51bb2daf444a25783f5e03a1b9fe4eef51bb2d
11,LP000011,3,324,394,LaborPosition-PositionTitle-11,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3413cb6bdd8d56e49ce1eb623f47a7be3413cb6bdd8d56e49ce1eb623f47a7be
12,LP000012,26,221,110,LaborPosition-PositionTitle-12,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a037008099aa5332b318dea84b2e2ae8a037008099aa5332b318dea84b2e2ae8
13,LP000013,17,333,320,LaborPosition-PositionTitle-13,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,675688d9371d540781199ab4f3cad745675688d9371d540781199ab4f3cad745
14,LP000014,33,332,322,LaborPosition-PositionTitle-14,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a42f1ce257395397b06718ea8da7c17ea42f1ce257395397b06718ea8da7c17e
15,LP000015,16,6,75,LaborPosition-PositionTitle-15,16.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8af63793bb46548c975ff6c5f1627ffe8af63793bb46548c975ff6c5f1627ffe
16,LP000016,2,290,341,LaborPosition-PositionTitle-16,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,441766f896905864b88f930493ae8691441766f896905864b88f930493ae8691
17,LP000017,18,43,6,LaborPosition-PositionTitle-17,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25bf87609f415ebb82fc4da80634a5c325bf87609f415ebb82fc4da80634a5c3
18,LP000018,19,253,298,LaborPosition-PositionTitle-18,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0712d1afa9f15d64ba35658992c16f530712d1afa9f15d64ba35658992c16f53
19,LP000019,3,314,470,LaborPosition-PositionTitle-19,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afb0e22bfa8252b6914be9c3a0333459afb0e22bfa8252b6914be9c3a0333459
20,LP000020,28,216,246,LaborPosition-PositionTitle-20,21.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fec4b79f73653208838be6034a6e97c1fec4b79f73653208838be6034a6e97c
21,LP000021,31,117,461,LaborPosition-PositionTitle-21,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98ae08f28fd855bb85147e1c2d29d8c098ae08f28fd855bb85147e1c2d29d8c0
22,LP000022,23,178,288,LaborPosition-PositionTitle-22,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,558538620d015d16833f1a5abfac0a49558538620d015d16833f1a5abfac0a49
23,LP000023,32,339,326,LaborPosition-PositionTitle-23,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,482b0e985a925c50861ae85503adf3c9482b0e985a925c50861ae85503adf3c9
24,LP000024,15,265,359,LaborPosition-PositionTitle-24,25.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c016be19ae8c5f45ab968a2b0333aa32c016be19ae8c5f45ab968a2b0333aa32
25,LP000025,13,93,476,LaborPosition-PositionTitle-25,26.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,589f560010b95befb8d64244e852f49a589f560010b95befb8d64244e852f49a
26,LP000026,11,177,436,LaborPosition-PositionTitle-26,27.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5de575a7482c5e8bab7c0e448e0b72b45de575a7482c5e8bab7c0e448e0b72b4
27,LP000027,20,63,477,LaborPosition-PositionTitle-27,28.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd0dcd805d125eca875797e3cd542d0add0dcd805d125eca875797e3cd542d0a
28,LP000028,11,201,203,LaborPosition-PositionTitle-28,29.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8383c3f468b506bbd484015bc2da595b8383c3f468b506bbd484015bc2da595
29,LP000029,9,21,342,LaborPosition-PositionTitle-29,30.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed75ad8e6e3651c2b06ece118105d21ced75ad8e6e3651c2b06ece118105d21c
30,LP000030,6,42,217,LaborPosition-PositionTitle-30,31.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88b7c0cced905cf0a04c01dd9529768c88b7c0cced905cf0a04c01dd9529768c
31,LP000031,25,25,224,LaborPosition-PositionTitle-31,32.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,424f8fead0775c3882987a0cfab8d2b5424f8fead0775c3882987a0cfab8d2b5
