LaborRosterSlotKey,LaborRosterSlotCode,LaborShiftKey,LaborRosterSlotName,StartSecondOfDay,EndSecondOfDay,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,LRS000001,35,Liberty LaborRosterSlot 1,2,2,1,1,2026-08-24T00:00:00.000
2,LRS000002,166,Meridian LaborRosterSlot 2,3,3,1,1,2026-08-24T00:00:00.000
3,LRS000003,55,Unity LaborRosterSlot 3,4,4,1,1,2026-08-24T00:00:00.000
4,LRS000004,12,Titan LaborRosterSlot 4,5,5,1,1,2026-08-24T00:00:00.000
5,LRS000005,85,Unity LaborRosterSlot 5,6,6,1,1,2026-08-24T00:00:00.000
6,LRS000006,220,Atlas LaborRosterSlot 6,7,7,1,1,2026-08-24T00:00:00.000
7,LRS000007,131,Ion LaborRosterSlot 7,8,8,1,1,2026-08-24T00:00:00.000
8,LRS000008,23,Meridian LaborRosterSlot 8,9,9,1,1,2026-08-24T00:00:00.000
9,LRS000009,15,Forge LaborRosterSlot 9,10,10,1,1,2026-08-24T00:00:00.000
10,LRS000010,77,Granite LaborRosterSlot 10,11,11,1,1,2026-08-24T00:00:00.000
11,LRS000011,74,Pioneer LaborRosterSlot 11,12,12,1,1,2026-08-24T00:00:00.000
12,LRS000012,173,Zenith LaborRosterSlot 12,13,13,1,1,2026-08-24T00:00:00.000
13,LRS000013,175,Quartz LaborRosterSlot 13,14,14,1,1,2026-08-24T00:00:00.000
14,LRS000014,103,Zenith LaborRosterSlot 14,15,15,1,1,2026-08-24T00:00:00.000
15,LRS000015,147,Unity LaborRosterSlot 15,16,16,1,1,2026-08-24T00:00:00.000
16,LRS000016,200,Zenith LaborRosterSlot 16,17,17,1,1,2026-08-24T00:00:00.000
17,LRS000017,28,Titan LaborRosterSlot 17,18,18,1,1,2026-08-24T00:00:00.000
18,LRS000018,149,Pioneer LaborRosterSlot 18,19,19,1,1,2026-08-24T00:00:00.000
19,LRS000019,94,Pioneer LaborRosterSlot 19,20,20,1,1,2026-08-24T00:00:00.000
20,LRS000020,35,Orion LaborRosterSlot 20,21,21,1,1,2026-08-24T00:00:00.000
21,LRS000021,147,Meridian LaborRosterSlot 21,22,22,1,1,2026-08-24T00:00:00.000
22,LRS000022,175,Junction LaborRosterSlot 22,23,23,1,1,2026-08-24T00:00:00.000
23,LRS000023,32,Evergreen LaborRosterSlot 23,24,24,1,1,2026-08-24T00:00:00.000
24,LRS000024,155,Granite LaborRosterSlot 24,25,25,1,1,2026-08-24T00:00:00.000
25,LRS000025,176,Harbor LaborRosterSlot 25,26,26,1,1,2026-08-24T00:00:00.000
26,LRS000026,103,Riverton LaborRosterSlot 26,27,27,1,1,2026-08-24T00:00:00.000
27,LRS000027,76,Beacon LaborRosterSlot 27,28,28,1,1,2026-08-24T00:00:00.000
28,LRS000028,182,Liberty LaborRosterSlot 28,1,1,1,1,2026-08-24T00:00:00.000
29,LRS000029,66,Harbor LaborRosterSlot 29,2,2,1,1,2026-08-24T00:00:00.000
30,LRS000030,216,Liberty LaborRosterSlot 30,3,3,1,1,2026-08-24T00:00:00.000
31,LRS000031,121,Beacon LaborRosterSlot 31,4,4,1,1,2026-08-24T00:00:00.000
32,LRS000032,68,Meridian LaborRosterSlot 32,5,5,1,1,2026-08-24T00:00:00.000
33,LRS000033,191,Forge LaborRosterSlot 33,6,6,1,1,2026-08-24T00:00:00.000
34,LRS000034,41,Ion LaborRosterSlot 34,7,7,1,1,2026-08-24T00:00:00.000
35,LRS000035,38,Unity LaborRosterSlot 35,8,8,1,1,2026-08-24T00:00:00.000
36,LRS000036,39,Orion LaborRosterSlot 36,9,9,1,1,2026-08-24T00:00:00.000
37,LRS000037,77,Summit LaborRosterSlot 37,10,10,1,1,2026-08-24T00:00:00.000
38,LRS000038,143,Vertex LaborRosterSlot 38,11,11,1,1,2026-08-24T00:00:00.000
39,LRS000039,56,Cedar LaborRosterSlot 39,12,12,1,1,2026-08-24T00:00:00.000
40,LRS000040,147,Beacon LaborRosterSlot 40,13,13,1,1,2026-08-24T00:00:00.000
41,LRS000041,97,Northstar LaborRosterSlot 41,14,14,1,1,2026-08-24T00:00:00.000
42,LRS000042,202,Granite LaborRosterSlot 42,15,15,1,1,2026-08-24T00:00:00.000
43,LRS000043,118,Ion LaborRosterSlot 43,16,16,1,1,2026-08-24T00:00:00.000
44,LRS000044,132,Liberty LaborRosterSlot 44,17,17,1,1,2026-08-24T00:00:00.000
45,LRS000045,164,Beacon LaborRosterSlot 45,18,18,1,1,2026-08-24T00:00:00.000
46,LRS000046,138,Zenith LaborRosterSlot 46,19,19,1,1,2026-08-24T00:00:00.000
47,LRS000047,204,Titan LaborRosterSlot 47,20,20,1,1,2026-08-24T00:00:00.000
48,LRS000048,203,Riverton LaborRosterSlot 48,21,21,1,1,2026-08-24T00:00:00.000
49,LRS000049,144,Summit LaborRosterSlot 49,22,22,1,1,2026-08-24T00:00:00.000
50,LRS000050,130,Granite LaborRosterSlot 50,23,23,1,1,2026-08-24T00:00:00.000
51,LRS000051,169,Junction LaborRosterSlot 51,24,24,1,1,2026-08-24T00:00:00.000
52,LRS000052,85,Pioneer LaborRosterSlot 52,25,25,1,1,2026-08-24T00:00:00.000
53,LRS000053,121,Harbor LaborRosterSlot 53,26,26,1,1,2026-08-24T00:00:00.000
54,LRS000054,32,Vertex LaborRosterSlot 54,27,27,1,1,2026-08-24T00:00:00.000
55,LRS000055,11,Titan LaborRosterSlot 55,28,28,1,1,2026-08-24T00:00:00.000
56,LRS000056,19,Cedar LaborRosterSlot 56,1,1,1,1,2026-08-24T00:00:00.000
57,LRS000057,8,Quartz LaborRosterSlot 57,2,2,1,1,2026-08-24T00:00:00.000
58,LRS000058,174,Atlas LaborRosterSlot 58,3,3,1,1,2026-08-24T00:00:00.000
59,LRS000059,117,Northstar LaborRosterSlot 59,4,4,1,1,2026-08-24T00:00:00.000
60,LRS000060,170,Keystone LaborRosterSlot 60,5,5,1,1,2026-08-24T00:00:00.000
