LaborShiftKey,LaborShiftCode,LaborShiftRotationKey,LaborShiftName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LS000001,43,Ion LaborShift 1,1,1,2026-08-24T00:00:00.000
2,LS000002,37,Summit LaborShift 2,1,1,2026-08-24T00:00:00.000
3,LS000003,35,Zenith LaborShift 3,1,1,2026-08-24T00:00:00.000
4,LS000004,15,Riverton LaborShift 4,1,1,2026-08-24T00:00:00.000
5,LS000005,55,Evergreen LaborShift 5,1,1,2026-08-24T00:00:00.000
6,LS000006,5,Summit LaborShift 6,1,1,2026-08-24T00:00:00.000
7,LS000007,10,Keystone LaborShift 7,1,1,2026-08-24T00:00:00.000
8,LS000008,53,Orion LaborShift 8,1,1,2026-08-24T00:00:00.000
9,LS000009,27,Atlas LaborShift 9,1,1,2026-08-24T00:00:00.000
10,LS000010,39,Harbor LaborShift 10,1,1,2026-08-24T00:00:00.000
11,LS000011,40,Pioneer LaborShift 11,1,1,2026-08-24T00:00:00.000
12,LS000012,11,Vertex LaborShift 12,1,1,2026-08-24T00:00:00.000
13,LS000013,38,Willow LaborShift 13,1,1,2026-08-24T00:00:00.000
14,LS000014,25,Northstar LaborShift 14,1,1,2026-08-24T00:00:00.000
15,LS000015,3,Unity LaborShift 15,1,1,2026-08-24T00:00:00.000
16,LS000016,10,Beacon LaborShift 16,1,1,2026-08-24T00:00:00.000
17,LS000017,27,Atlas LaborShift 17,1,1,2026-08-24T00:00:00.000
18,LS000018,2,Forge LaborShift 18,1,1,2026-08-24T00:00:00.000
19,LS000019,55,Northstar LaborShift 19,1,1,2026-08-24T00:00:00.000
20,LS000020,35,Cedar LaborShift 20,1,1,2026-08-24T00:00:00.000
21,LS000021,53,Quartz LaborShift 21,1,1,2026-08-24T00:00:00.000
22,LS000022,34,Cedar LaborShift 22,1,1,2026-08-24T00:00:00.000
23,LS000023,23,Evergreen LaborShift 23,1,1,2026-08-24T00:00:00.000
24,LS000024,28,Atlas LaborShift 24,1,1,2026-08-24T00:00:00.000
25,LS000025,28,Northstar LaborShift 25,1,1,2026-08-24T00:00:00.000
26,LS000026,12,Delta LaborShift 26,1,1,2026-08-24T00:00:00.000
27,LS000027,48,Pioneer LaborShift 27,1,1,2026-08-24T00:00:00.000
28,LS000028,54,Liberty LaborShift 28,1,1,2026-08-24T00:00:00.000
29,LS000029,17,Pioneer LaborShift 29,1,1,2026-08-24T00:00:00.000
30,LS000030,23,Harbor LaborShift 30,1,1,2026-08-24T00:00:00.000
31,LS000031,2,Delta LaborShift 31,1,1,2026-08-24T00:00:00.000
32,LS000032,13,Liberty LaborShift 32,1,1,2026-08-24T00:00:00.000
33,LS000033,11,Pioneer LaborShift 33,1,1,2026-08-24T00:00:00.000
34,LS000034,1,Pioneer LaborShift 34,1,1,2026-08-24T00:00:00.000
35,LS000035,43,Northstar LaborShift 35,1,1,2026-08-24T00:00:00.000
36,LS000036,36,Riverton LaborShift 36,1,1,2026-08-24T00:00:00.000
37,LS000037,23,Cedar LaborShift 37,1,1,2026-08-24T00:00:00.000
38,LS000038,11,Quartz LaborShift 38,1,1,2026-08-24T00:00:00.000
39,LS000039,31,Vertex LaborShift 39,1,1,2026-08-24T00:00:00.000
40,LS000040,13,Keystone LaborShift 40,1,1,2026-08-24T00:00:00.000
