LaborShiftRotationKey,LaborShiftRotationCode,LaborShiftPatternKey,LaborShiftRotationName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LSR000001,12,Liberty LaborShiftRotation 1,1,1,2026-08-24T00:00:00.000
2,LSR000002,9,Evergreen LaborShiftRotation 2,1,1,2026-08-24T00:00:00.000
3,LSR000003,18,Unity LaborShiftRotation 3,1,1,2026-08-24T00:00:00.000
4,LSR000004,6,Titan LaborShiftRotation 4,1,1,2026-08-24T00:00:00.000
5,LSR000005,6,Vertex LaborShiftRotation 5,1,1,2026-08-24T00:00:00.000
6,LSR000006,1,Evergreen LaborShiftRotation 6,1,1,2026-08-24T00:00:00.000
7,LSR000007,17,Riverton LaborShiftRotation 7,1,1,2026-08-24T00:00:00.000
8,LSR000008,8,Vertex LaborShiftRotation 8,1,1,2026-08-24T00:00:00.000
9,LSR000009,3,Meridian LaborShiftRotation 9,1,1,2026-08-24T00:00:00.000
10,LSR000010,9,Summit LaborShiftRotation 10,1,1,2026-08-24T00:00:00.000
11,LSR000011,4,Granite LaborShiftRotation 11,1,1,2026-08-24T00:00:00.000
12,LSR000012,15,Zenith LaborShiftRotation 12,1,1,2026-08-24T00:00:00.000
13,LSR000013,7,Beacon LaborShiftRotation 13,1,1,2026-08-24T00:00:00.000
14,LSR000014,10,Titan LaborShiftRotation 14,1,1,2026-08-24T00:00:00.000
15,LSR000015,12,Liberty LaborShiftRotation 15,1,1,2026-08-24T00:00:00.000
16,LSR000016,18,Vertex LaborShiftRotation 16,1,1,2026-08-24T00:00:00.000
17,LSR000017,4,Northstar LaborShiftRotation 17,1,1,2026-08-24T00:00:00.000
18,LSR000018,18,Willow LaborShiftRotation 18,1,1,2026-08-24T00:00:00.000
19,LSR000019,12,Granite LaborShiftRotation 19,1,1,2026-08-24T00:00:00.000
20,LSR000020,8,Beacon LaborShiftRotation 20,1,1,2026-08-24T00:00:00.000
21,LSR000021,16,Keystone LaborShiftRotation 21,1,1,2026-08-24T00:00:00.000
22,LSR000022,6,Atlas LaborShiftRotation 22,1,1,2026-08-24T00:00:00.000
23,LSR000023,8,Keystone LaborShiftRotation 23,1,1,2026-08-24T00:00:00.000
24,LSR000024,11,Quartz LaborShiftRotation 24,1,1,2026-08-24T00:00:00.000
25,LSR000025,17,Northstar LaborShiftRotation 25,1,1,2026-08-24T00:00:00.000
26,LSR000026,14,Keystone LaborShiftRotation 26,1,1,2026-08-24T00:00:00.000
27,LSR000027,17,Unity LaborShiftRotation 27,1,1,2026-08-24T00:00:00.000
28,LSR000028,8,Northstar LaborShiftRotation 28,1,1,2026-08-24T00:00:00.000
29,LSR000029,4,Keystone LaborShiftRotation 29,1,1,2026-08-24T00:00:00.000
30,LSR000030,3,Cedar LaborShiftRotation 30,1,1,2026-08-24T00:00:00.000
31,LSR000031,9,Unity LaborShiftRotation 31,1,1,2026-08-24T00:00:00.000
32,LSR000032,12,Evergreen LaborShiftRotation 32,1,1,2026-08-24T00:00:00.000
33,LSR000033,9,Northstar LaborShiftRotation 33,1,1,2026-08-24T00:00:00.000
34,LSR000034,13,Liberty LaborShiftRotation 34,1,1,2026-08-24T00:00:00.000
35,LSR000035,15,Unity LaborShiftRotation 35,1,1,2026-08-24T00:00:00.000
36,LSR000036,16,Riverton LaborShiftRotation 36,1,1,2026-08-24T00:00:00.000
37,LSR000037,3,Granite LaborShiftRotation 37,1,1,2026-08-24T00:00:00.000
38,LSR000038,15,Northstar LaborShiftRotation 38,1,1,2026-08-24T00:00:00.000
39,LSR000039,8,Meridian LaborShiftRotation 39,1,1,2026-08-24T00:00:00.000
40,LSR000040,15,Willow LaborShiftRotation 40,1,1,2026-08-24T00:00:00.000
41,LSR000041,13,Unity LaborShiftRotation 41,1,1,2026-08-24T00:00:00.000
42,LSR000042,9,Summit LaborShiftRotation 42,1,1,2026-08-24T00:00:00.000
43,LSR000043,4,Evergreen LaborShiftRotation 43,1,1,2026-08-24T00:00:00.000
44,LSR000044,7,Riverton LaborShiftRotation 44,1,1,2026-08-24T00:00:00.000
45,LSR000045,10,Quartz LaborShiftRotation 45,1,1,2026-08-24T00:00:00.000
46,LSR000046,12,Willow LaborShiftRotation 46,1,1,2026-08-24T00:00:00.000
47,LSR000047,4,Zenith LaborShiftRotation 47,1,1,2026-08-24T00:00:00.000
48,LSR000048,16,Cedar LaborShiftRotation 48,1,1,2026-08-24T00:00:00.000
49,LSR000049,5,Forge LaborShiftRotation 49,1,1,2026-08-24T00:00:00.000
50,LSR000050,9,Northstar LaborShiftRotation 50,1,1,2026-08-24T00:00:00.000
51,LSR000051,18,Liberty LaborShiftRotation 51,1,1,2026-08-24T00:00:00.000
52,LSR000052,1,Harbor LaborShiftRotation 52,1,1,2026-08-24T00:00:00.000
53,LSR000053,14,Willow LaborShiftRotation 53,1,1,2026-08-24T00:00:00.000
54,LSR000054,17,Evergreen LaborShiftRotation 54,1,1,2026-08-24T00:00:00.000
55,LSR000055,9,Cedar LaborShiftRotation 55,1,1,2026-08-24T00:00:00.000
56,LSR000056,11,Atlas LaborShiftRotation 56,1,1,2026-08-24T00:00:00.000
57,LSR000057,8,Quartz LaborShiftRotation 57,1,1,2026-08-24T00:00:00.000
58,LSR000058,14,Beacon LaborShiftRotation 58,1,1,2026-08-24T00:00:00.000
59,LSR000059,14,Beacon LaborShiftRotation 59,1,1,2026-08-24T00:00:00.000
60,LSR000060,5,Pioneer LaborShiftRotation 60,1,1,2026-08-24T00:00:00.000
