LaborSkillKey,LaborSkillCode,LaborSkillCategoryKey,LaborSkillName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LS000001,62,Evergreen LaborSkill 1,1,1,2026-08-24T00:00:00.000
2,LS000002,65,Unity LaborSkill 2,1,1,2026-08-24T00:00:00.000
3,LS000003,37,Vertex LaborSkill 3,1,1,2026-08-24T00:00:00.000
4,LS000004,69,Northstar LaborSkill 4,1,1,2026-08-24T00:00:00.000
5,LS000005,14,Forge LaborSkill 5,1,1,2026-08-24T00:00:00.000
6,LS000006,68,Harbor LaborSkill 6,1,1,2026-08-24T00:00:00.000
7,LS000007,64,Junction LaborSkill 7,1,1,2026-08-24T00:00:00.000
8,LS000008,89,Willow LaborSkill 8,1,1,2026-08-24T00:00:00.000
9,LS000009,89,Titan LaborSkill 9,1,1,2026-08-24T00:00:00.000
10,LS000010,4,Willow LaborSkill 10,1,1,2026-08-24T00:00:00.000
11,LS000011,83,Orion LaborSkill 11,1,1,2026-08-24T00:00:00.000
12,LS000012,75,Orion LaborSkill 12,1,1,2026-08-24T00:00:00.000
13,LS000013,51,Willow LaborSkill 13,1,1,2026-08-24T00:00:00.000
14,LS000014,4,Unity LaborSkill 14,1,1,2026-08-24T00:00:00.000
15,LS000015,15,Pioneer LaborSkill 15,1,1,2026-08-24T00:00:00.000
16,LS000016,73,Meridian LaborSkill 16,1,1,2026-08-24T00:00:00.000
17,LS000017,26,Evergreen LaborSkill 17,1,1,2026-08-24T00:00:00.000
18,LS000018,48,Orion LaborSkill 18,1,1,2026-08-24T00:00:00.000
19,LS000019,54,Junction LaborSkill 19,1,1,2026-08-24T00:00:00.000
20,LS000020,62,Summit LaborSkill 20,1,1,2026-08-24T00:00:00.000
21,LS000021,88,Unity LaborSkill 21,1,1,2026-08-24T00:00:00.000
22,LS000022,55,Riverton LaborSkill 22,1,1,2026-08-24T00:00:00.000
23,LS000023,58,Meridian LaborSkill 23,1,1,2026-08-24T00:00:00.000
24,LS000024,72,Pioneer LaborSkill 24,1,1,2026-08-24T00:00:00.000
25,LS000025,58,Vertex LaborSkill 25,1,1,2026-08-24T00:00:00.000
26,LS000026,69,Forge LaborSkill 26,1,1,2026-08-24T00:00:00.000
27,LS000027,8,Harbor LaborSkill 27,1,1,2026-08-24T00:00:00.000
28,LS000028,26,Evergreen LaborSkill 28,1,1,2026-08-24T00:00:00.000
29,LS000029,22,Evergreen LaborSkill 29,1,1,2026-08-24T00:00:00.000
30,LS000030,44,Cedar LaborSkill 30,1,1,2026-08-24T00:00:00.000
31,LS000031,21,Northstar LaborSkill 31,1,1,2026-08-24T00:00:00.000
32,LS000032,40,Forge LaborSkill 32,1,1,2026-08-24T00:00:00.000
33,LS000033,31,Harbor LaborSkill 33,1,1,2026-08-24T00:00:00.000
34,LS000034,33,Junction LaborSkill 34,1,1,2026-08-24T00:00:00.000
35,LS000035,86,Unity LaborSkill 35,1,1,2026-08-24T00:00:00.000
36,LS000036,58,Harbor LaborSkill 36,1,1,2026-08-24T00:00:00.000
37,LS000037,82,Summit LaborSkill 37,1,1,2026-08-24T00:00:00.000
38,LS000038,15,Delta LaborSkill 38,1,1,2026-08-24T00:00:00.000
39,LS000039,62,Evergreen LaborSkill 39,1,1,2026-08-24T00:00:00.000
40,LS000040,38,Harbor LaborSkill 40,1,1,2026-08-24T00:00:00.000
41,LS000041,44,Granite LaborSkill 41,1,1,2026-08-24T00:00:00.000
42,LS000042,61,Unity LaborSkill 42,1,1,2026-08-24T00:00:00.000
43,LS000043,20,Ion LaborSkill 43,1,1,2026-08-24T00:00:00.000
44,LS000044,46,Harbor LaborSkill 44,1,1,2026-08-24T00:00:00.000
45,LS000045,37,Meridian LaborSkill 45,1,1,2026-08-24T00:00:00.000
46,LS000046,52,Harbor LaborSkill 46,1,1,2026-08-24T00:00:00.000
47,LS000047,37,Northstar LaborSkill 47,1,1,2026-08-24T00:00:00.000
48,LS000048,2,Orion LaborSkill 48,1,1,2026-08-24T00:00:00.000
49,LS000049,32,Ion LaborSkill 49,1,1,2026-08-24T00:00:00.000
50,LS000050,73,Cedar LaborSkill 50,1,1,2026-08-24T00:00:00.000
51,LS000051,1,Willow LaborSkill 51,1,1,2026-08-24T00:00:00.000
52,LS000052,3,Meridian LaborSkill 52,1,1,2026-08-24T00:00:00.000
53,LS000053,62,Cedar LaborSkill 53,1,1,2026-08-24T00:00:00.000
54,LS000054,56,Atlas LaborSkill 54,1,1,2026-08-24T00:00:00.000
55,LS000055,88,Harbor LaborSkill 55,1,1,2026-08-24T00:00:00.000
56,LS000056,51,Willow LaborSkill 56,1,1,2026-08-24T00:00:00.000
57,LS000057,20,Liberty LaborSkill 57,1,1,2026-08-24T00:00:00.000
58,LS000058,80,Delta LaborSkill 58,1,1,2026-08-24T00:00:00.000
59,LS000059,39,Ion LaborSkill 59,1,1,2026-08-24T00:00:00.000
60,LS000060,67,Keystone LaborSkill 60,1,1,2026-08-24T00:00:00.000
61,LS000061,80,Meridian LaborSkill 61,1,1,2026-08-24T00:00:00.000
62,LS000062,48,Forge LaborSkill 62,1,1,2026-08-24T00:00:00.000
63,LS000063,78,Junction LaborSkill 63,1,1,2026-08-24T00:00:00.000
64,LS000064,6,Riverton LaborSkill 64,1,1,2026-08-24T00:00:00.000
65,LS000065,74,Willow LaborSkill 65,1,1,2026-08-24T00:00:00.000
66,LS000066,57,Granite LaborSkill 66,1,1,2026-08-24T00:00:00.000
67,LS000067,88,Evergreen LaborSkill 67,1,1,2026-08-24T00:00:00.000
68,LS000068,77,Delta LaborSkill 68,1,1,2026-08-24T00:00:00.000
69,LS000069,42,Northstar LaborSkill 69,1,1,2026-08-24T00:00:00.000
70,LS000070,31,Junction LaborSkill 70,1,1,2026-08-24T00:00:00.000
71,LS000071,49,Riverton LaborSkill 71,1,1,2026-08-24T00:00:00.000
72,LS000072,16,Harbor LaborSkill 72,1,1,2026-08-24T00:00:00.000
73,LS000073,86,Quartz LaborSkill 73,1,1,2026-08-24T00:00:00.000
74,LS000074,26,Orion LaborSkill 74,1,1,2026-08-24T00:00:00.000
75,LS000075,28,Unity LaborSkill 75,1,1,2026-08-24T00:00:00.000
76,LS000076,59,Harbor LaborSkill 76,1,1,2026-08-24T00:00:00.000
77,LS000077,32,Forge LaborSkill 77,1,1,2026-08-24T00:00:00.000
78,LS000078,42,Granite LaborSkill 78,1,1,2026-08-24T00:00:00.000
79,LS000079,83,Pioneer LaborSkill 79,1,1,2026-08-24T00:00:00.000
80,LS000080,2,Granite LaborSkill 80,1,1,2026-08-24T00:00:00.000
81,LS000081,39,Orion LaborSkill 81,1,1,2026-08-24T00:00:00.000
82,LS000082,2,Delta LaborSkill 82,1,1,2026-08-24T00:00:00.000
83,LS000083,90,Atlas LaborSkill 83,1,1,2026-08-24T00:00:00.000
84,LS000084,25,Vertex LaborSkill 84,1,1,2026-08-24T00:00:00.000
85,LS000085,83,Ion LaborSkill 85,1,1,2026-08-24T00:00:00.000
86,LS000086,74,Northstar LaborSkill 86,1,1,2026-08-24T00:00:00.000
87,LS000087,77,Meridian LaborSkill 87,1,1,2026-08-24T00:00:00.000
88,LS000088,1,Unity LaborSkill 88,1,1,2026-08-24T00:00:00.000
89,LS000089,55,Delta LaborSkill 89,1,1,2026-08-24T00:00:00.000
90,LS000090,80,Forge LaborSkill 90,1,1,2026-08-24T00:00:00.000
91,LS000091,64,Titan LaborSkill 91,1,1,2026-08-24T00:00:00.000
92,LS000092,73,Unity LaborSkill 92,1,1,2026-08-24T00:00:00.000
93,LS000093,48,Vertex LaborSkill 93,1,1,2026-08-24T00:00:00.000
94,LS000094,2,Keystone LaborSkill 94,1,1,2026-08-24T00:00:00.000
95,LS000095,25,Ion LaborSkill 95,1,1,2026-08-24T00:00:00.000
96,LS000096,8,Beacon LaborSkill 96,1,1,2026-08-24T00:00:00.000
97,LS000097,22,Unity LaborSkill 97,1,1,2026-08-24T00:00:00.000
98,LS000098,79,Ion LaborSkill 98,1,1,2026-08-24T00:00:00.000
99,LS000099,82,Willow LaborSkill 99,1,1,2026-08-24T00:00:00.000
100,LS000100,7,Summit LaborSkill 100,1,1,2026-08-24T00:00:00.000
101,LS000101,67,Junction LaborSkill 101,1,1,2026-08-24T00:00:00.000
102,LS000102,39,Zenith LaborSkill 102,1,1,2026-08-24T00:00:00.000
103,LS000103,61,Atlas LaborSkill 103,1,1,2026-08-24T00:00:00.000
104,LS000104,33,Willow LaborSkill 104,1,1,2026-08-24T00:00:00.000
105,LS000105,47,Orion LaborSkill 105,1,1,2026-08-24T00:00:00.000
106,LS000106,26,Cedar LaborSkill 106,1,1,2026-08-24T00:00:00.000
107,LS000107,21,Cedar LaborSkill 107,1,1,2026-08-24T00:00:00.000
108,LS000108,74,Northstar LaborSkill 108,1,1,2026-08-24T00:00:00.000
109,LS000109,44,Summit LaborSkill 109,1,1,2026-08-24T00:00:00.000
110,LS000110,32,Ion LaborSkill 110,1,1,2026-08-24T00:00:00.000
111,LS000111,55,Atlas LaborSkill 111,1,1,2026-08-24T00:00:00.000
112,LS000112,70,Willow LaborSkill 112,1,1,2026-08-24T00:00:00.000
113,LS000113,70,Forge LaborSkill 113,1,1,2026-08-24T00:00:00.000
114,LS000114,12,Ion LaborSkill 114,1,1,2026-08-24T00:00:00.000
115,LS000115,90,Harbor LaborSkill 115,1,1,2026-08-24T00:00:00.000
116,LS000116,70,Keystone LaborSkill 116,1,1,2026-08-24T00:00:00.000
117,LS000117,80,Vertex LaborSkill 117,1,1,2026-08-24T00:00:00.000
118,LS000118,24,Titan LaborSkill 118,1,1,2026-08-24T00:00:00.000
119,LS000119,57,Keystone LaborSkill 119,1,1,2026-08-24T00:00:00.000
120,LS000120,31,Pioneer LaborSkill 120,1,1,2026-08-24T00:00:00.000
121,LS000121,27,Liberty LaborSkill 121,1,1,2026-08-24T00:00:00.000
122,LS000122,65,Zenith LaborSkill 122,1,1,2026-08-24T00:00:00.000
123,LS000123,7,Orion LaborSkill 123,1,1,2026-08-24T00:00:00.000
124,LS000124,89,Quartz LaborSkill 124,1,1,2026-08-24T00:00:00.000
125,LS000125,40,Orion LaborSkill 125,1,1,2026-08-24T00:00:00.000
126,LS000126,60,Atlas LaborSkill 126,1,1,2026-08-24T00:00:00.000
127,LS000127,62,Willow LaborSkill 127,1,1,2026-08-24T00:00:00.000
128,LS000128,52,Pioneer LaborSkill 128,1,1,2026-08-24T00:00:00.000
129,LS000129,35,Orion LaborSkill 129,1,1,2026-08-24T00:00:00.000
130,LS000130,81,Atlas LaborSkill 130,1,1,2026-08-24T00:00:00.000
131,LS000131,51,Orion LaborSkill 131,1,1,2026-08-24T00:00:00.000
132,LS000132,35,Pioneer LaborSkill 132,1,1,2026-08-24T00:00:00.000
133,LS000133,56,Willow LaborSkill 133,1,1,2026-08-24T00:00:00.000
134,LS000134,30,Riverton LaborSkill 134,1,1,2026-08-24T00:00:00.000
135,LS000135,73,Junction LaborSkill 135,1,1,2026-08-24T00:00:00.000
136,LS000136,25,Quartz LaborSkill 136,1,1,2026-08-24T00:00:00.000
137,LS000137,88,Summit LaborSkill 137,1,1,2026-08-24T00:00:00.000
138,LS000138,15,Delta LaborSkill 138,1,1,2026-08-24T00:00:00.000
139,LS000139,60,Unity LaborSkill 139,1,1,2026-08-24T00:00:00.000
140,LS000140,39,Atlas LaborSkill 140,1,1,2026-08-24T00:00:00.000
141,LS000141,52,Atlas LaborSkill 141,1,1,2026-08-24T00:00:00.000
142,LS000142,10,Harbor LaborSkill 142,1,1,2026-08-24T00:00:00.000
143,LS000143,65,Quartz LaborSkill 143,1,1,2026-08-24T00:00:00.000
144,LS000144,82,Orion LaborSkill 144,1,1,2026-08-24T00:00:00.000
145,LS000145,9,Harbor LaborSkill 145,1,1,2026-08-24T00:00:00.000
146,LS000146,78,Ion LaborSkill 146,1,1,2026-08-24T00:00:00.000
147,LS000147,51,Forge LaborSkill 147,1,1,2026-08-24T00:00:00.000
148,LS000148,44,Delta LaborSkill 148,1,1,2026-08-24T00:00:00.000
149,LS000149,5,Unity LaborSkill 149,1,1,2026-08-24T00:00:00.000
150,LS000150,40,Riverton LaborSkill 150,1,1,2026-08-24T00:00:00.000
151,LS000151,18,Harbor LaborSkill 151,1,1,2026-08-24T00:00:00.000
152,LS000152,66,Forge LaborSkill 152,1,1,2026-08-24T00:00:00.000
153,LS000153,48,Summit LaborSkill 153,1,1,2026-08-24T00:00:00.000
154,LS000154,55,Orion LaborSkill 154,1,1,2026-08-24T00:00:00.000
155,LS000155,88,Granite LaborSkill 155,1,1,2026-08-24T00:00:00.000
156,LS000156,42,Unity LaborSkill 156,1,1,2026-08-24T00:00:00.000
157,LS000157,51,Meridian LaborSkill 157,1,1,2026-08-24T00:00:00.000
