LaborTeamKey,LaborTeamCode,LaborCrewKey,LaborTeamName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LT000001,304,Cedar LaborTeam 1,1,1,2026-08-24T00:00:00.000
2,LT000002,460,Keystone LaborTeam 2,1,1,2026-08-24T00:00:00.000
3,LT000003,119,Forge LaborTeam 3,1,1,2026-08-24T00:00:00.000
4,LT000004,264,Titan LaborTeam 4,1,1,2026-08-24T00:00:00.000
5,LT000005,322,Titan LaborTeam 5,1,1,2026-08-24T00:00:00.000
6,LT000006,290,Ion LaborTeam 6,1,1,2026-08-24T00:00:00.000
7,LT000007,350,Orion LaborTeam 7,1,1,2026-08-24T00:00:00.000
8,LT000008,23,Zenith LaborTeam 8,1,1,2026-08-24T00:00:00.000
9,LT000009,164,Riverton LaborTeam 9,1,1,2026-08-24T00:00:00.000
10,LT000010,396,Junction LaborTeam 10,1,1,2026-08-24T00:00:00.000
11,LT000011,426,Delta LaborTeam 11,1,1,2026-08-24T00:00:00.000
12,LT000012,271,Granite LaborTeam 12,1,1,2026-08-24T00:00:00.000
13,LT000013,233,Keystone LaborTeam 13,1,1,2026-08-24T00:00:00.000
14,LT000014,303,Forge LaborTeam 14,1,1,2026-08-24T00:00:00.000
15,LT000015,85,Forge LaborTeam 15,1,1,2026-08-24T00:00:00.000
16,LT000016,499,Northstar LaborTeam 16,1,1,2026-08-24T00:00:00.000
17,LT000017,53,Quartz LaborTeam 17,1,1,2026-08-24T00:00:00.000
18,LT000018,20,Summit LaborTeam 18,1,1,2026-08-24T00:00:00.000
19,LT000019,74,Pioneer LaborTeam 19,1,1,2026-08-24T00:00:00.000
20,LT000020,74,Willow LaborTeam 20,1,1,2026-08-24T00:00:00.000
21,LT000021,15,Vertex LaborTeam 21,1,1,2026-08-24T00:00:00.000
22,LT000022,151,Zenith LaborTeam 22,1,1,2026-08-24T00:00:00.000
23,LT000023,58,Riverton LaborTeam 23,1,1,2026-08-24T00:00:00.000
24,LT000024,152,Forge LaborTeam 24,1,1,2026-08-24T00:00:00.000
25,LT000025,4,Titan LaborTeam 25,1,1,2026-08-24T00:00:00.000
26,LT000026,254,Cedar LaborTeam 26,1,1,2026-08-24T00:00:00.000
27,LT000027,160,Unity LaborTeam 27,1,1,2026-08-24T00:00:00.000
28,LT000028,132,Ion LaborTeam 28,1,1,2026-08-24T00:00:00.000
29,LT000029,122,Harbor LaborTeam 29,1,1,2026-08-24T00:00:00.000
30,LT000030,283,Riverton LaborTeam 30,1,1,2026-08-24T00:00:00.000
31,LT000031,400,Keystone LaborTeam 31,1,1,2026-08-24T00:00:00.000
32,LT000032,372,Granite LaborTeam 32,1,1,2026-08-24T00:00:00.000
33,LT000033,401,Ion LaborTeam 33,1,1,2026-08-24T00:00:00.000
34,LT000034,299,Zenith LaborTeam 34,1,1,2026-08-24T00:00:00.000
35,LT000035,444,Summit LaborTeam 35,1,1,2026-08-24T00:00:00.000
36,LT000036,394,Granite LaborTeam 36,1,1,2026-08-24T00:00:00.000
37,LT000037,147,Ion LaborTeam 37,1,1,2026-08-24T00:00:00.000
38,LT000038,182,Granite LaborTeam 38,1,1,2026-08-24T00:00:00.000
39,LT000039,206,Northstar LaborTeam 39,1,1,2026-08-24T00:00:00.000
40,LT000040,476,Forge LaborTeam 40,1,1,2026-08-24T00:00:00.000
41,LT000041,73,Riverton LaborTeam 41,1,1,2026-08-24T00:00:00.000
42,LT000042,78,Atlas LaborTeam 42,1,1,2026-08-24T00:00:00.000
43,LT000043,124,Orion LaborTeam 43,1,1,2026-08-24T00:00:00.000
44,LT000044,157,Quartz LaborTeam 44,1,1,2026-08-24T00:00:00.000
45,LT000045,208,Orion LaborTeam 45,1,1,2026-08-24T00:00:00.000
46,LT000046,294,Vertex LaborTeam 46,1,1,2026-08-24T00:00:00.000
47,LT000047,358,Vertex LaborTeam 47,1,1,2026-08-24T00:00:00.000
48,LT000048,485,Harbor LaborTeam 48,1,1,2026-08-24T00:00:00.000
49,LT000049,125,Beacon LaborTeam 49,1,1,2026-08-24T00:00:00.000
50,LT000050,157,Atlas LaborTeam 50,1,1,2026-08-24T00:00:00.000
