LogisticsCarrierServiceKey,LogisticsCarrierServiceCode,LogisticsCarrierKey,LogisticsCarrierServiceName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LCS000001,173,Riverton LogisticsCarrierService 1,1,1,2026-08-24T00:00:00.000
2,LCS000002,454,Zenith LogisticsCarrierService 2,1,1,2026-08-24T00:00:00.000
3,LCS000003,168,Atlas LogisticsCarrierService 3,1,1,2026-08-24T00:00:00.000
4,LCS000004,170,Summit LogisticsCarrierService 4,1,1,2026-08-24T00:00:00.000
5,LCS000005,337,Cedar LogisticsCarrierService 5,1,1,2026-08-24T00:00:00.000
6,LCS000006,350,Harbor LogisticsCarrierService 6,1,1,2026-08-24T00:00:00.000
7,LCS000007,46,Orion LogisticsCarrierService 7,1,1,2026-08-24T00:00:00.000
8,LCS000008,491,Junction LogisticsCarrierService 8,1,1,2026-08-24T00:00:00.000
9,LCS000009,178,Titan LogisticsCarrierService 9,1,1,2026-08-24T00:00:00.000
10,LCS000010,472,Forge LogisticsCarrierService 10,1,1,2026-08-24T00:00:00.000
11,LCS000011,433,Forge LogisticsCarrierService 11,1,1,2026-08-24T00:00:00.000
12,LCS000012,269,Evergreen LogisticsCarrierService 12,1,1,2026-08-24T00:00:00.000
13,LCS000013,139,Beacon LogisticsCarrierService 13,1,1,2026-08-24T00:00:00.000
14,LCS000014,87,Meridian LogisticsCarrierService 14,1,1,2026-08-24T00:00:00.000
15,LCS000015,227,Pioneer LogisticsCarrierService 15,1,1,2026-08-24T00:00:00.000
16,LCS000016,119,Atlas LogisticsCarrierService 16,1,1,2026-08-24T00:00:00.000
17,LCS000017,284,Riverton LogisticsCarrierService 17,1,1,2026-08-24T00:00:00.000
18,LCS000018,32,Ion LogisticsCarrierService 18,1,1,2026-08-24T00:00:00.000
19,LCS000019,37,Unity LogisticsCarrierService 19,1,1,2026-08-24T00:00:00.000
20,LCS000020,387,Summit LogisticsCarrierService 20,1,1,2026-08-24T00:00:00.000
