LogisticsDeliveryKey,DeliveryNumber,CustomerKey,ShipFromPlantKey,OriginLogisticsDockDoorKey,LogisticsShipmentStatusKey,PriorityKey,DeliveryName,RequestedDeliveryDate,DeliveryPriorityScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LD000001,367,35,141,13,1,Junction LogisticsDelivery 1,2020-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcc4211f283050299bac9df57597a6ecdcc4211f283050299bac9df57597a6ec
2,LD000002,155,198,229,2,1,Liberty LogisticsDelivery 2,2020-01-03,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,819369c0b11a59c0821b8abf45843b30819369c0b11a59c0821b8abf45843b30
3,LD000003,484,287,486,10,2,Atlas LogisticsDelivery 3,2020-01-04,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48322d471eb75a5e9aa9b15f6ca97eed48322d471eb75a5e9aa9b15f6ca97eed
4,LD000004,198,142,229,2,4,Summit LogisticsDelivery 4,2020-01-05,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a5ff30437b759a4a6a7ccbcef727a661a5ff30437b759a4a6a7ccbcef727a66
5,LD000005,212,48,326,8,3,Vertex LogisticsDelivery 5,2020-01-06,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8302b1c6fcb05284aa600a3d60d3ddc28302b1c6fcb05284aa600a3d60d3ddc2
6,LD000006,15,103,56,4,2,Riverton LogisticsDelivery 6,2020-01-07,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fbdf8e817a551df85ce99f4ddb81a197fbdf8e817a551df85ce99f4ddb81a19
7,LD000007,409,12,148,8,3,Unity LogisticsDelivery 7,2020-01-08,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14d7048fe168509a94f05acbd8cec90814d7048fe168509a94f05acbd8cec908
8,LD000008,381,49,308,2,2,Quartz LogisticsDelivery 8,2020-01-09,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37164091aee554dab608088a6615acda37164091aee554dab608088a6615acda
9,LD000009,442,339,284,8,1,Northstar LogisticsDelivery 9,2020-01-10,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4981517e058d5aafa1688e8a23e4c5c44981517e058d5aafa1688e8a23e4c5c4
