LogisticsNetworkKey,LogisticsNetworkCode,LogisticsNetworkName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,LN000001,Orion LogisticsNetwork 1,1,1,2026-08-24T00:00:00.000
2,LN000002,Keystone LogisticsNetwork 2,1,1,2026-08-24T00:00:00.000
3,LN000003,Willow LogisticsNetwork 3,1,1,2026-08-24T00:00:00.000
4,LN000004,Forge LogisticsNetwork 4,1,1,2026-08-24T00:00:00.000
5,LN000005,Granite LogisticsNetwork 5,1,1,2026-08-24T00:00:00.000
6,LN000006,Summit LogisticsNetwork 6,1,1,2026-08-24T00:00:00.000
7,LN000007,Harbor LogisticsNetwork 7,1,1,2026-08-24T00:00:00.000
8,LN000008,Titan LogisticsNetwork 8,1,1,2026-08-24T00:00:00.000
9,LN000009,Quartz LogisticsNetwork 9,1,1,2026-08-24T00:00:00.000
10,LN000010,Harbor LogisticsNetwork 10,1,1,2026-08-24T00:00:00.000
