LogisticsTariffHeadingKey,LogisticsTariffHeadingCode,LogisticsTariffChapterKey,LogisticsTariffHeadingName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTH000001,88,Harbor LogisticsTariffHeading 1,1,1,2026-08-24T00:00:00.000
2,LTH000002,28,Keystone LogisticsTariffHeading 2,1,1,2026-08-24T00:00:00.000
3,LTH000003,82,Quartz LogisticsTariffHeading 3,1,1,2026-08-24T00:00:00.000
4,LTH000004,93,Titan LogisticsTariffHeading 4,1,1,2026-08-24T00:00:00.000
5,LTH000005,6,Keystone LogisticsTariffHeading 5,1,1,2026-08-24T00:00:00.000
6,LTH000006,33,Unity LogisticsTariffHeading 6,1,1,2026-08-24T00:00:00.000
7,LTH000007,62,Delta LogisticsTariffHeading 7,1,1,2026-08-24T00:00:00.000
8,LTH000008,54,Riverton LogisticsTariffHeading 8,1,1,2026-08-24T00:00:00.000
9,LTH000009,78,Evergreen LogisticsTariffHeading 9,1,1,2026-08-24T00:00:00.000
10,LTH000010,9,Harbor LogisticsTariffHeading 10,1,1,2026-08-24T00:00:00.000
11,LTH000011,61,Summit LogisticsTariffHeading 11,1,1,2026-08-24T00:00:00.000
12,LTH000012,1,Pioneer LogisticsTariffHeading 12,1,1,2026-08-24T00:00:00.000
13,LTH000013,70,Forge LogisticsTariffHeading 13,1,1,2026-08-24T00:00:00.000
14,LTH000014,10,Willow LogisticsTariffHeading 14,1,1,2026-08-24T00:00:00.000
15,LTH000015,51,Meridian LogisticsTariffHeading 15,1,1,2026-08-24T00:00:00.000
16,LTH000016,68,Forge LogisticsTariffHeading 16,1,1,2026-08-24T00:00:00.000
17,LTH000017,78,Willow LogisticsTariffHeading 17,1,1,2026-08-24T00:00:00.000
18,LTH000018,56,Delta LogisticsTariffHeading 18,1,1,2026-08-24T00:00:00.000
19,LTH000019,34,Riverton LogisticsTariffHeading 19,1,1,2026-08-24T00:00:00.000
20,LTH000020,78,Keystone LogisticsTariffHeading 20,1,1,2026-08-24T00:00:00.000
21,LTH000021,35,Evergreen LogisticsTariffHeading 21,1,1,2026-08-24T00:00:00.000
22,LTH000022,40,Evergreen LogisticsTariffHeading 22,1,1,2026-08-24T00:00:00.000
23,LTH000023,51,Ion LogisticsTariffHeading 23,1,1,2026-08-24T00:00:00.000
24,LTH000024,31,Evergreen LogisticsTariffHeading 24,1,1,2026-08-24T00:00:00.000
25,LTH000025,70,Unity LogisticsTariffHeading 25,1,1,2026-08-24T00:00:00.000
26,LTH000026,97,Liberty LogisticsTariffHeading 26,1,1,2026-08-24T00:00:00.000
27,LTH000027,3,Cedar LogisticsTariffHeading 27,1,1,2026-08-24T00:00:00.000
28,LTH000028,36,Forge LogisticsTariffHeading 28,1,1,2026-08-24T00:00:00.000
29,LTH000029,72,Vertex LogisticsTariffHeading 29,1,1,2026-08-24T00:00:00.000
30,LTH000030,14,Delta LogisticsTariffHeading 30,1,1,2026-08-24T00:00:00.000
31,LTH000031,42,Pioneer LogisticsTariffHeading 31,1,1,2026-08-24T00:00:00.000
32,LTH000032,80,Atlas LogisticsTariffHeading 32,1,1,2026-08-24T00:00:00.000
33,LTH000033,72,Delta LogisticsTariffHeading 33,1,1,2026-08-24T00:00:00.000
34,LTH000034,28,Titan LogisticsTariffHeading 34,1,1,2026-08-24T00:00:00.000
35,LTH000035,31,Granite LogisticsTariffHeading 35,1,1,2026-08-24T00:00:00.000
36,LTH000036,58,Harbor LogisticsTariffHeading 36,1,1,2026-08-24T00:00:00.000
37,LTH000037,12,Ion LogisticsTariffHeading 37,1,1,2026-08-24T00:00:00.000
38,LTH000038,79,Zenith LogisticsTariffHeading 38,1,1,2026-08-24T00:00:00.000
39,LTH000039,99,Zenith LogisticsTariffHeading 39,1,1,2026-08-24T00:00:00.000
40,LTH000040,95,Keystone LogisticsTariffHeading 40,1,1,2026-08-24T00:00:00.000
41,LTH000041,6,Riverton LogisticsTariffHeading 41,1,1,2026-08-24T00:00:00.000
42,LTH000042,42,Zenith LogisticsTariffHeading 42,1,1,2026-08-24T00:00:00.000
43,LTH000043,55,Beacon LogisticsTariffHeading 43,1,1,2026-08-24T00:00:00.000
44,LTH000044,14,Pioneer LogisticsTariffHeading 44,1,1,2026-08-24T00:00:00.000
45,LTH000045,46,Northstar LogisticsTariffHeading 45,1,1,2026-08-24T00:00:00.000
46,LTH000046,88,Harbor LogisticsTariffHeading 46,1,1,2026-08-24T00:00:00.000
47,LTH000047,67,Zenith LogisticsTariffHeading 47,1,1,2026-08-24T00:00:00.000
48,LTH000048,31,Cedar LogisticsTariffHeading 48,1,1,2026-08-24T00:00:00.000
49,LTH000049,87,Unity LogisticsTariffHeading 49,1,1,2026-08-24T00:00:00.000
50,LTH000050,30,Beacon LogisticsTariffHeading 50,1,1,2026-08-24T00:00:00.000
51,LTH000051,38,Quartz LogisticsTariffHeading 51,1,1,2026-08-24T00:00:00.000
52,LTH000052,35,Beacon LogisticsTariffHeading 52,1,1,2026-08-24T00:00:00.000
53,LTH000053,67,Delta LogisticsTariffHeading 53,1,1,2026-08-24T00:00:00.000
54,LTH000054,37,Zenith LogisticsTariffHeading 54,1,1,2026-08-24T00:00:00.000
55,LTH000055,28,Willow LogisticsTariffHeading 55,1,1,2026-08-24T00:00:00.000
56,LTH000056,95,Pioneer LogisticsTariffHeading 56,1,1,2026-08-24T00:00:00.000
57,LTH000057,100,Beacon LogisticsTariffHeading 57,1,1,2026-08-24T00:00:00.000
58,LTH000058,22,Forge LogisticsTariffHeading 58,1,1,2026-08-24T00:00:00.000
59,LTH000059,52,Vertex LogisticsTariffHeading 59,1,1,2026-08-24T00:00:00.000
60,LTH000060,61,Keystone LogisticsTariffHeading 60,1,1,2026-08-24T00:00:00.000
61,LTH000061,78,Unity LogisticsTariffHeading 61,1,1,2026-08-24T00:00:00.000
62,LTH000062,77,Evergreen LogisticsTariffHeading 62,1,1,2026-08-24T00:00:00.000
63,LTH000063,55,Meridian LogisticsTariffHeading 63,1,1,2026-08-24T00:00:00.000
64,LTH000064,10,Granite LogisticsTariffHeading 64,1,1,2026-08-24T00:00:00.000
65,LTH000065,91,Junction LogisticsTariffHeading 65,1,1,2026-08-24T00:00:00.000
66,LTH000066,92,Atlas LogisticsTariffHeading 66,1,1,2026-08-24T00:00:00.000
67,LTH000067,100,Quartz LogisticsTariffHeading 67,1,1,2026-08-24T00:00:00.000
68,LTH000068,57,Evergreen LogisticsTariffHeading 68,1,1,2026-08-24T00:00:00.000
69,LTH000069,93,Zenith LogisticsTariffHeading 69,1,1,2026-08-24T00:00:00.000
70,LTH000070,22,Pioneer LogisticsTariffHeading 70,1,1,2026-08-24T00:00:00.000
71,LTH000071,56,Orion LogisticsTariffHeading 71,1,1,2026-08-24T00:00:00.000
72,LTH000072,59,Liberty LogisticsTariffHeading 72,1,1,2026-08-24T00:00:00.000
73,LTH000073,22,Forge LogisticsTariffHeading 73,1,1,2026-08-24T00:00:00.000
74,LTH000074,72,Forge LogisticsTariffHeading 74,1,1,2026-08-24T00:00:00.000
75,LTH000075,50,Riverton LogisticsTariffHeading 75,1,1,2026-08-24T00:00:00.000
76,LTH000076,89,Beacon LogisticsTariffHeading 76,1,1,2026-08-24T00:00:00.000
77,LTH000077,26,Delta LogisticsTariffHeading 77,1,1,2026-08-24T00:00:00.000
78,LTH000078,84,Pioneer LogisticsTariffHeading 78,1,1,2026-08-24T00:00:00.000
79,LTH000079,83,Delta LogisticsTariffHeading 79,1,1,2026-08-24T00:00:00.000
80,LTH000080,100,Forge LogisticsTariffHeading 80,1,1,2026-08-24T00:00:00.000
81,LTH000081,54,Quartz LogisticsTariffHeading 81,1,1,2026-08-24T00:00:00.000
82,LTH000082,88,Ion LogisticsTariffHeading 82,1,1,2026-08-24T00:00:00.000
83,LTH000083,68,Pioneer LogisticsTariffHeading 83,1,1,2026-08-24T00:00:00.000
84,LTH000084,3,Forge LogisticsTariffHeading 84,1,1,2026-08-24T00:00:00.000
85,LTH000085,43,Forge LogisticsTariffHeading 85,1,1,2026-08-24T00:00:00.000
86,LTH000086,71,Ion LogisticsTariffHeading 86,1,1,2026-08-24T00:00:00.000
87,LTH000087,31,Beacon LogisticsTariffHeading 87,1,1,2026-08-24T00:00:00.000
88,LTH000088,14,Vertex LogisticsTariffHeading 88,1,1,2026-08-24T00:00:00.000
89,LTH000089,26,Forge LogisticsTariffHeading 89,1,1,2026-08-24T00:00:00.000
90,LTH000090,2,Willow LogisticsTariffHeading 90,1,1,2026-08-24T00:00:00.000
91,LTH000091,14,Granite LogisticsTariffHeading 91,1,1,2026-08-24T00:00:00.000
92,LTH000092,20,Riverton LogisticsTariffHeading 92,1,1,2026-08-24T00:00:00.000
93,LTH000093,73,Beacon LogisticsTariffHeading 93,1,1,2026-08-24T00:00:00.000
94,LTH000094,39,Summit LogisticsTariffHeading 94,1,1,2026-08-24T00:00:00.000
95,LTH000095,74,Northstar LogisticsTariffHeading 95,1,1,2026-08-24T00:00:00.000
96,LTH000096,46,Beacon LogisticsTariffHeading 96,1,1,2026-08-24T00:00:00.000
97,LTH000097,90,Keystone LogisticsTariffHeading 97,1,1,2026-08-24T00:00:00.000
98,LTH000098,97,Titan LogisticsTariffHeading 98,1,1,2026-08-24T00:00:00.000
99,LTH000099,5,Forge LogisticsTariffHeading 99,1,1,2026-08-24T00:00:00.000
100,LTH000100,31,Unity LogisticsTariffHeading 100,1,1,2026-08-24T00:00:00.000
101,LTH000101,53,Beacon LogisticsTariffHeading 101,1,1,2026-08-24T00:00:00.000
102,LTH000102,27,Pioneer LogisticsTariffHeading 102,1,1,2026-08-24T00:00:00.000
103,LTH000103,53,Unity LogisticsTariffHeading 103,1,1,2026-08-24T00:00:00.000
104,LTH000104,13,Evergreen LogisticsTariffHeading 104,1,1,2026-08-24T00:00:00.000
105,LTH000105,93,Unity LogisticsTariffHeading 105,1,1,2026-08-24T00:00:00.000
106,LTH000106,99,Forge LogisticsTariffHeading 106,1,1,2026-08-24T00:00:00.000
107,LTH000107,86,Evergreen LogisticsTariffHeading 107,1,1,2026-08-24T00:00:00.000
108,LTH000108,69,Granite LogisticsTariffHeading 108,1,1,2026-08-24T00:00:00.000
109,LTH000109,88,Summit LogisticsTariffHeading 109,1,1,2026-08-24T00:00:00.000
110,LTH000110,89,Titan LogisticsTariffHeading 110,1,1,2026-08-24T00:00:00.000
111,LTH000111,79,Pioneer LogisticsTariffHeading 111,1,1,2026-08-24T00:00:00.000
