LogisticsTariffSubheadingKey,LogisticsTariffSubheadingCode,LogisticsTariffHeadingKey,LogisticsTariffSubheadingName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTS000001,391,Unity LogisticsTariffSubheading 1,1,1,2026-08-24T00:00:00.000
2,LTS000002,346,Evergreen LogisticsTariffSubheading 2,1,1,2026-08-24T00:00:00.000
3,LTS000003,485,Evergreen LogisticsTariffSubheading 3,1,1,2026-08-24T00:00:00.000
4,LTS000004,203,Ion LogisticsTariffSubheading 4,1,1,2026-08-24T00:00:00.000
5,LTS000005,324,Unity LogisticsTariffSubheading 5,1,1,2026-08-24T00:00:00.000
6,LTS000006,482,Titan LogisticsTariffSubheading 6,1,1,2026-08-24T00:00:00.000
7,LTS000007,155,Beacon LogisticsTariffSubheading 7,1,1,2026-08-24T00:00:00.000
8,LTS000008,172,Willow LogisticsTariffSubheading 8,1,1,2026-08-24T00:00:00.000
9,LTS000009,482,Cedar LogisticsTariffSubheading 9,1,1,2026-08-24T00:00:00.000
10,LTS000010,181,Northstar LogisticsTariffSubheading 10,1,1,2026-08-24T00:00:00.000
11,LTS000011,103,Cedar LogisticsTariffSubheading 11,1,1,2026-08-24T00:00:00.000
12,LTS000012,419,Forge LogisticsTariffSubheading 12,1,1,2026-08-24T00:00:00.000
13,LTS000013,295,Delta LogisticsTariffSubheading 13,1,1,2026-08-24T00:00:00.000
14,LTS000014,254,Atlas LogisticsTariffSubheading 14,1,1,2026-08-24T00:00:00.000
15,LTS000015,397,Forge LogisticsTariffSubheading 15,1,1,2026-08-24T00:00:00.000
16,LTS000016,236,Pioneer LogisticsTariffSubheading 16,1,1,2026-08-24T00:00:00.000
17,LTS000017,202,Liberty LogisticsTariffSubheading 17,1,1,2026-08-24T00:00:00.000
18,LTS000018,51,Unity LogisticsTariffSubheading 18,1,1,2026-08-24T00:00:00.000
19,LTS000019,292,Delta LogisticsTariffSubheading 19,1,1,2026-08-24T00:00:00.000
20,LTS000020,146,Granite LogisticsTariffSubheading 20,1,1,2026-08-24T00:00:00.000
