LogisticsTransportLaneKey,LogisticsTransportLaneCode,LogisticsTradeCorridorKey,LogisticsTransportLaneName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LTL000001,174,Northstar LogisticsTransportLane 1,1,1,2026-08-24T00:00:00.000
2,LTL000002,251,Cedar LogisticsTransportLane 2,1,1,2026-08-24T00:00:00.000
3,LTL000003,125,Summit LogisticsTransportLane 3,1,1,2026-08-24T00:00:00.000
4,LTL000004,257,Willow LogisticsTransportLane 4,1,1,2026-08-24T00:00:00.000
5,LTL000005,123,Quartz LogisticsTransportLane 5,1,1,2026-08-24T00:00:00.000
6,LTL000006,273,Harbor LogisticsTransportLane 6,1,1,2026-08-24T00:00:00.000
7,LTL000007,106,Junction LogisticsTransportLane 7,1,1,2026-08-24T00:00:00.000
8,LTL000008,276,Harbor LogisticsTransportLane 8,1,1,2026-08-24T00:00:00.000
9,LTL000009,206,Northstar LogisticsTransportLane 9,1,1,2026-08-24T00:00:00.000
10,LTL000010,33,Northstar LogisticsTransportLane 10,1,1,2026-08-24T00:00:00.000
11,LTL000011,184,Pioneer LogisticsTransportLane 11,1,1,2026-08-24T00:00:00.000
12,LTL000012,300,Beacon LogisticsTransportLane 12,1,1,2026-08-24T00:00:00.000
13,LTL000013,94,Riverton LogisticsTransportLane 13,1,1,2026-08-24T00:00:00.000
14,LTL000014,154,Riverton LogisticsTransportLane 14,1,1,2026-08-24T00:00:00.000
15,LTL000015,94,Vertex LogisticsTransportLane 15,1,1,2026-08-24T00:00:00.000
16,LTL000016,41,Zenith LogisticsTransportLane 16,1,1,2026-08-24T00:00:00.000
17,LTL000017,239,Forge LogisticsTransportLane 17,1,1,2026-08-24T00:00:00.000
18,LTL000018,50,Liberty LogisticsTransportLane 18,1,1,2026-08-24T00:00:00.000
19,LTL000019,63,Quartz LogisticsTransportLane 19,1,1,2026-08-24T00:00:00.000
20,LTL000020,290,Unity LogisticsTransportLane 20,1,1,2026-08-24T00:00:00.000
21,LTL000021,47,Beacon LogisticsTransportLane 21,1,1,2026-08-24T00:00:00.000
22,LTL000022,292,Liberty LogisticsTransportLane 22,1,1,2026-08-24T00:00:00.000
23,LTL000023,221,Cedar LogisticsTransportLane 23,1,1,2026-08-24T00:00:00.000
24,LTL000024,281,Meridian LogisticsTransportLane 24,1,1,2026-08-24T00:00:00.000
25,LTL000025,72,Northstar LogisticsTransportLane 25,1,1,2026-08-24T00:00:00.000
26,LTL000026,128,Pioneer LogisticsTransportLane 26,1,1,2026-08-24T00:00:00.000
27,LTL000027,117,Evergreen LogisticsTransportLane 27,1,1,2026-08-24T00:00:00.000
28,LTL000028,74,Summit LogisticsTransportLane 28,1,1,2026-08-24T00:00:00.000
29,LTL000029,196,Pioneer LogisticsTransportLane 29,1,1,2026-08-24T00:00:00.000
30,LTL000030,224,Willow LogisticsTransportLane 30,1,1,2026-08-24T00:00:00.000
31,LTL000031,208,Quartz LogisticsTransportLane 31,1,1,2026-08-24T00:00:00.000
32,LTL000032,67,Pioneer LogisticsTransportLane 32,1,1,2026-08-24T00:00:00.000
33,LTL000033,257,Granite LogisticsTransportLane 33,1,1,2026-08-24T00:00:00.000
34,LTL000034,9,Riverton LogisticsTransportLane 34,1,1,2026-08-24T00:00:00.000
35,LTL000035,253,Willow LogisticsTransportLane 35,1,1,2026-08-24T00:00:00.000
36,LTL000036,34,Evergreen LogisticsTransportLane 36,1,1,2026-08-24T00:00:00.000
37,LTL000037,228,Northstar LogisticsTransportLane 37,1,1,2026-08-24T00:00:00.000
38,LTL000038,160,Unity LogisticsTransportLane 38,1,1,2026-08-24T00:00:00.000
39,LTL000039,206,Delta LogisticsTransportLane 39,1,1,2026-08-24T00:00:00.000
40,LTL000040,295,Forge LogisticsTransportLane 40,1,1,2026-08-24T00:00:00.000
41,LTL000041,94,Quartz LogisticsTransportLane 41,1,1,2026-08-24T00:00:00.000
42,LTL000042,220,Keystone LogisticsTransportLane 42,1,1,2026-08-24T00:00:00.000
43,LTL000043,93,Cedar LogisticsTransportLane 43,1,1,2026-08-24T00:00:00.000
44,LTL000044,87,Northstar LogisticsTransportLane 44,1,1,2026-08-24T00:00:00.000
45,LTL000045,141,Atlas LogisticsTransportLane 45,1,1,2026-08-24T00:00:00.000
46,LTL000046,175,Summit LogisticsTransportLane 46,1,1,2026-08-24T00:00:00.000
47,LTL000047,33,Pioneer LogisticsTransportLane 47,1,1,2026-08-24T00:00:00.000
48,LTL000048,262,Ion LogisticsTransportLane 48,1,1,2026-08-24T00:00:00.000
49,LTL000049,1,Quartz LogisticsTransportLane 49,1,1,2026-08-24T00:00:00.000
