LogisticsTransportLoadKey,TransportLoadNumber,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,PlannerEmployeeKey,LogisticsShipmentStatusKey,TransportLoadName,PlannedDepartureDate,PlannedArrivalDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,LTL000001,89,293,116,9,Junction LogisticsTransportLoad 1,2020-01-02,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccbc399bca055e22b2a921657c4a8dd7ccbc399bca055e22b2a921657c4a8dd7
2,LTL000002,410,415,95,3,Delta LogisticsTransportLoad 2,2020-01-03,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47f682a089935118892f61744c3c046047f682a089935118892f61744c3c0460
3,LTL000003,45,289,274,14,Zenith LogisticsTransportLoad 3,2020-01-04,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,299db3cb0c205c67986226b468073160299db3cb0c205c67986226b468073160
4,LTL000004,292,161,130,14,Unity LogisticsTransportLoad 4,2020-01-05,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9453132a8e6f5023a5afba46800afe5e9453132a8e6f5023a5afba46800afe5e
5,LTL000005,249,196,23,11,Keystone LogisticsTransportLoad 5,2020-01-06,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09b5006f473d57a3987958e56ff4b43609b5006f473d57a3987958e56ff4b436
6,LTL000006,5,480,393,2,Harbor LogisticsTransportLoad 6,2020-01-07,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04755a085d03526294c1f7533bb6449304755a085d03526294c1f7533bb64493
7,LTL000007,203,180,398,10,Beacon LogisticsTransportLoad 7,2020-01-08,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70d70724497f5fbe8aa2c9ef4c69c5ce70d70724497f5fbe8aa2c9ef4c69c5ce
8,LTL000008,307,10,444,7,Granite LogisticsTransportLoad 8,2020-01-09,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,109b1fa48cf55965ba20dfc4309d6dc2109b1fa48cf55965ba20dfc4309d6dc2
9,LTL000009,372,236,392,8,Junction LogisticsTransportLoad 9,2020-01-10,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,357b1669ffcf50acb3ed3511cb96625b357b1669ffcf50acb3ed3511cb96625b
10,LTL000010,363,420,467,12,Atlas LogisticsTransportLoad 10,2020-01-11,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,369afbbfa1045c3a9a859cb60398b807369afbbfa1045c3a9a859cb60398b807
11,LTL000011,261,59,305,8,Granite LogisticsTransportLoad 11,2020-01-12,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e49778f396857b3b9d02cdc89cabddf4e49778f396857b3b9d02cdc89cabddf
12,LTL000012,97,270,104,5,Liberty LogisticsTransportLoad 12,2020-01-13,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f76ecf860045949ab76a4d351eb04b67f76ecf860045949ab76a4d351eb04b6
13,LTL000013,101,383,144,12,Summit LogisticsTransportLoad 13,2020-01-14,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6810494eb1015fb4994b566fd8d3d87c6810494eb1015fb4994b566fd8d3d87c
14,LTL000014,323,263,150,4,Liberty LogisticsTransportLoad 14,2020-01-15,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c19696445bee56c2b7c3fed4500a993bc19696445bee56c2b7c3fed4500a993b
15,LTL000015,446,366,103,14,Quartz LogisticsTransportLoad 15,2020-01-16,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d42e994977c251f18b63fa8e0edea161d42e994977c251f18b63fa8e0edea161
16,LTL000016,208,146,461,8,Atlas LogisticsTransportLoad 16,2020-01-17,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85505e20f500547088772cbf8a07aa4685505e20f500547088772cbf8a07aa46
17,LTL000017,214,337,-1,8,Beacon LogisticsTransportLoad 17,2020-01-18,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eeab2877b4175a2cb0318d0cb8729b27eeab2877b4175a2cb0318d0cb8729b27
18,LTL000018,70,270,278,8,Liberty LogisticsTransportLoad 18,2020-01-19,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,125cf20071625f93a67934eb6626721c125cf20071625f93a67934eb6626721c
19,LTL000019,343,224,271,1,Atlas LogisticsTransportLoad 19,2020-01-20,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80e8bdfb2b44519fb03dccda6b3511cd80e8bdfb2b44519fb03dccda6b3511cd
20,LTL000020,494,46,489,9,Liberty LogisticsTransportLoad 20,2020-01-21,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d88b1fae22f05beda2f8d47e1f4539f1d88b1fae22f05beda2f8d47e1f4539f1
21,LTL000021,134,375,25,1,Vertex LogisticsTransportLoad 21,2020-01-22,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2214381fe1545f74809905cbe81852902214381fe1545f74809905cbe8185290
22,LTL000022,371,334,271,4,Zenith LogisticsTransportLoad 22,2020-01-23,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8afc15916915f6091a050dc21215b63e8afc15916915f6091a050dc21215b63
23,LTL000023,232,435,419,10,Willow LogisticsTransportLoad 23,2020-01-24,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d88ba78820e544a8100ac65389996be6d88ba78820e544a8100ac65389996be
24,LTL000024,10,74,179,6,Junction LogisticsTransportLoad 24,2020-01-25,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfacc6440b0c5b89956af4a8e9cb98b0cfacc6440b0c5b89956af4a8e9cb98b0
25,LTL000025,330,193,190,2,Harbor LogisticsTransportLoad 25,2020-01-26,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a00e242dc6b252c7a79ad43aa9f4c967a00e242dc6b252c7a79ad43aa9f4c967
26,LTL000026,163,206,166,1,Orion LogisticsTransportLoad 26,2020-01-27,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ddcba2d3a265cbc95765f23d632cb289ddcba2d3a265cbc95765f23d632cb28
27,LTL000027,462,484,194,11,Atlas LogisticsTransportLoad 27,2020-01-28,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea1ca58de8f55d369492a6b3b8d4408eea1ca58de8f55d369492a6b3b8d4408e
28,LTL000028,74,285,270,5,Titan LogisticsTransportLoad 28,2020-01-29,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f844cacecd1a517296cc01c664306be7f844cacecd1a517296cc01c664306be7
29,LTL000029,22,32,294,4,Willow LogisticsTransportLoad 29,2020-01-30,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d77b50bcbc3561c835884a08bafc7338d77b50bcbc3561c835884a08bafc733
30,LTL000030,195,121,217,5,Zenith LogisticsTransportLoad 30,2020-01-31,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba1f4e4fa4ad5071b4f3aa6066bf7e50ba1f4e4fa4ad5071b4f3aa6066bf7e50
31,LTL000031,106,411,145,2,Meridian LogisticsTransportLoad 31,2020-02-01,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eba72b2cc95556a19cbb8fc5f3c224ffeba72b2cc95556a19cbb8fc5f3c224ff
32,LTL000032,124,216,470,12,Keystone LogisticsTransportLoad 32,2020-02-02,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33669d4a09e85cac99d779e614c1ab7633669d4a09e85cac99d779e614c1ab76
