MachineKey,MachineNumber,AssetKey,WorkCenterKey,PlantKey,MachineStationKey,MachineCapacityRatingKey,RecordStatusKey,MachineName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,M000001,314,216,73,75,402,3,Orion Machine 1,M000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f09897d34c8a582ea548f055734d6251f09897d34c8a582ea548f055734d6251
2,M000002,208,296,338,430,221,2,Northstar Machine 2,M000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb92e240b1d7593a80db67bfee38bb62fb92e240b1d7593a80db67bfee38bb62
3,M000003,344,82,14,481,127,3,Delta Machine 3,M000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08558399c5a254a9b60f877cd9bdfd1708558399c5a254a9b60f877cd9bdfd17
4,M000004,276,388,41,28,341,4,Ion Machine 4,M000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44c24711c29b5cb7b735b58935b6bfff44c24711c29b5cb7b735b58935b6bfff
5,M000005,37,78,46,56,167,1,Delta Machine 5,M000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,110b4177f7ac53a19a6b86183f3ad885110b4177f7ac53a19a6b86183f3ad885
6,M000006,305,83,44,12,31,2,Willow Machine 6,M000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cccb77fe82857f9952ebf998eaa08187cccb77fe82857f9952ebf998eaa0818
7,M000007,485,49,17,316,112,2,Cedar Machine 7,M000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b13e42b6cb2d5db59bb153d84c43a86eb13e42b6cb2d5db59bb153d84c43a86e
8,M000008,463,68,259,380,64,3,Vertex Machine 8,M000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d4c2c0ed4e055219b8b8a82e90c5f258d4c2c0ed4e055219b8b8a82e90c5f25
9,M000009,62,200,89,469,338,1,Forge Machine 9,M000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52d93b857ab25718a880ff634eb1382f52d93b857ab25718a880ff634eb1382f
10,M000010,283,285,117,181,237,1,Orion Machine 10,M000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f187aa9f4083526089ea0fe50822008af187aa9f4083526089ea0fe50822008a
11,M000011,462,330,157,69,31,1,Meridian Machine 11,M000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44ab5c4f1b045509a532e26caf97cdfe44ab5c4f1b045509a532e26caf97cdfe
12,M000012,266,77,301,335,231,4,Liberty Machine 12,M000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aee2a6e166b45682ac569a7170b1f96faee2a6e166b45682ac569a7170b1f96f
