MachineAreaKey,MachineAreaCode,MachineShopKey,MachineAreaName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MA000001,12,Ion MachineArea 1,1,1,2026-08-24T00:00:00.000
2,MA000002,5,Willow MachineArea 2,1,1,2026-08-24T00:00:00.000
3,MA000003,13,Zenith MachineArea 3,1,1,2026-08-24T00:00:00.000
4,MA000004,12,Cedar MachineArea 4,1,1,2026-08-24T00:00:00.000
5,MA000005,12,Beacon MachineArea 5,1,1,2026-08-24T00:00:00.000
6,MA000006,18,Junction MachineArea 6,1,1,2026-08-24T00:00:00.000
7,MA000007,8,Quartz MachineArea 7,1,1,2026-08-24T00:00:00.000
8,MA000008,8,Meridian MachineArea 8,1,1,2026-08-24T00:00:00.000
9,MA000009,11,Keystone MachineArea 9,1,1,2026-08-24T00:00:00.000
10,MA000010,18,Willow MachineArea 10,1,1,2026-08-24T00:00:00.000
11,MA000011,6,Keystone MachineArea 11,1,1,2026-08-24T00:00:00.000
12,MA000012,13,Beacon MachineArea 12,1,1,2026-08-24T00:00:00.000
13,MA000013,14,Northstar MachineArea 13,1,1,2026-08-24T00:00:00.000
14,MA000014,13,Harbor MachineArea 14,1,1,2026-08-24T00:00:00.000
15,MA000015,1,Zenith MachineArea 15,1,1,2026-08-24T00:00:00.000
16,MA000016,16,Beacon MachineArea 16,1,1,2026-08-24T00:00:00.000
17,MA000017,1,Atlas MachineArea 17,1,1,2026-08-24T00:00:00.000
18,MA000018,7,Liberty MachineArea 18,1,1,2026-08-24T00:00:00.000
19,MA000019,20,Summit MachineArea 19,1,1,2026-08-24T00:00:00.000
20,MA000020,6,Pioneer MachineArea 20,1,1,2026-08-24T00:00:00.000
21,MA000021,15,Keystone MachineArea 21,1,1,2026-08-24T00:00:00.000
22,MA000022,13,Atlas MachineArea 22,1,1,2026-08-24T00:00:00.000
23,MA000023,6,Atlas MachineArea 23,1,1,2026-08-24T00:00:00.000
24,MA000024,9,Granite MachineArea 24,1,1,2026-08-24T00:00:00.000
25,MA000025,18,Harbor MachineArea 25,1,1,2026-08-24T00:00:00.000
26,MA000026,11,Granite MachineArea 26,1,1,2026-08-24T00:00:00.000
27,MA000027,4,Ion MachineArea 27,1,1,2026-08-24T00:00:00.000
28,MA000028,9,Quartz MachineArea 28,1,1,2026-08-24T00:00:00.000
29,MA000029,5,Atlas MachineArea 29,1,1,2026-08-24T00:00:00.000
30,MA000030,5,Northstar MachineArea 30,1,1,2026-08-24T00:00:00.000
31,MA000031,15,Cedar MachineArea 31,1,1,2026-08-24T00:00:00.000
32,MA000032,4,Ion MachineArea 32,1,1,2026-08-24T00:00:00.000
33,MA000033,3,Atlas MachineArea 33,1,1,2026-08-24T00:00:00.000
34,MA000034,1,Keystone MachineArea 34,1,1,2026-08-24T00:00:00.000
35,MA000035,16,Junction MachineArea 35,1,1,2026-08-24T00:00:00.000
36,MA000036,16,Beacon MachineArea 36,1,1,2026-08-24T00:00:00.000
37,MA000037,12,Keystone MachineArea 37,1,1,2026-08-24T00:00:00.000
38,MA000038,17,Cedar MachineArea 38,1,1,2026-08-24T00:00:00.000
39,MA000039,6,Zenith MachineArea 39,1,1,2026-08-24T00:00:00.000
40,MA000040,16,Junction MachineArea 40,1,1,2026-08-24T00:00:00.000
41,MA000041,10,Harbor MachineArea 41,1,1,2026-08-24T00:00:00.000
42,MA000042,6,Atlas MachineArea 42,1,1,2026-08-24T00:00:00.000
43,MA000043,4,Orion MachineArea 43,1,1,2026-08-24T00:00:00.000
44,MA000044,15,Orion MachineArea 44,1,1,2026-08-24T00:00:00.000
45,MA000045,2,Beacon MachineArea 45,1,1,2026-08-24T00:00:00.000
46,MA000046,3,Titan MachineArea 46,1,1,2026-08-24T00:00:00.000
47,MA000047,15,Titan MachineArea 47,1,1,2026-08-24T00:00:00.000
48,MA000048,2,Willow MachineArea 48,1,1,2026-08-24T00:00:00.000
49,MA000049,14,Orion MachineArea 49,1,1,2026-08-24T00:00:00.000
50,MA000050,9,Cedar MachineArea 50,1,1,2026-08-24T00:00:00.000
51,MA000051,9,Willow MachineArea 51,1,1,2026-08-24T00:00:00.000
52,MA000052,5,Cedar MachineArea 52,1,1,2026-08-24T00:00:00.000
53,MA000053,2,Harbor MachineArea 53,1,1,2026-08-24T00:00:00.000
54,MA000054,20,Keystone MachineArea 54,1,1,2026-08-24T00:00:00.000
55,MA000055,6,Evergreen MachineArea 55,1,1,2026-08-24T00:00:00.000
56,MA000056,19,Meridian MachineArea 56,1,1,2026-08-24T00:00:00.000
57,MA000057,1,Riverton MachineArea 57,1,1,2026-08-24T00:00:00.000
58,MA000058,1,Orion MachineArea 58,1,1,2026-08-24T00:00:00.000
59,MA000059,11,Beacon MachineArea 59,1,1,2026-08-24T00:00:00.000
60,MA000060,17,Pioneer MachineArea 60,1,1,2026-08-24T00:00:00.000
61,MA000061,3,Orion MachineArea 61,1,1,2026-08-24T00:00:00.000
62,MA000062,13,Northstar MachineArea 62,1,1,2026-08-24T00:00:00.000
63,MA000063,3,Cedar MachineArea 63,1,1,2026-08-24T00:00:00.000
64,MA000064,20,Titan MachineArea 64,1,1,2026-08-24T00:00:00.000
65,MA000065,2,Vertex MachineArea 65,1,1,2026-08-24T00:00:00.000
66,MA000066,18,Unity MachineArea 66,1,1,2026-08-24T00:00:00.000
67,MA000067,15,Forge MachineArea 67,1,1,2026-08-24T00:00:00.000
68,MA000068,17,Cedar MachineArea 68,1,1,2026-08-24T00:00:00.000
69,MA000069,5,Evergreen MachineArea 69,1,1,2026-08-24T00:00:00.000
70,MA000070,17,Junction MachineArea 70,1,1,2026-08-24T00:00:00.000
71,MA000071,7,Unity MachineArea 71,1,1,2026-08-24T00:00:00.000
72,MA000072,14,Granite MachineArea 72,1,1,2026-08-24T00:00:00.000
73,MA000073,7,Pioneer MachineArea 73,1,1,2026-08-24T00:00:00.000
74,MA000074,2,Meridian MachineArea 74,1,1,2026-08-24T00:00:00.000
75,MA000075,10,Atlas MachineArea 75,1,1,2026-08-24T00:00:00.000
76,MA000076,9,Keystone MachineArea 76,1,1,2026-08-24T00:00:00.000
77,MA000077,9,Northstar MachineArea 77,1,1,2026-08-24T00:00:00.000
78,MA000078,19,Atlas MachineArea 78,1,1,2026-08-24T00:00:00.000
79,MA000079,20,Liberty MachineArea 79,1,1,2026-08-24T00:00:00.000
80,MA000080,18,Northstar MachineArea 80,1,1,2026-08-24T00:00:00.000
