MachineCapacityBandKey,MachineCapacityBandCode,MachineCapacityClassKey,MachineCapacityBandName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MCB000001,60,Junction MachineCapacityBand 1,1,1,2026-08-24T00:00:00.000
2,MCB000002,49,Harbor MachineCapacityBand 2,1,1,2026-08-24T00:00:00.000
3,MCB000003,43,Vertex MachineCapacityBand 3,1,1,2026-08-24T00:00:00.000
4,MCB000004,31,Titan MachineCapacityBand 4,1,1,2026-08-24T00:00:00.000
5,MCB000005,55,Summit MachineCapacityBand 5,1,1,2026-08-24T00:00:00.000
6,MCB000006,17,Unity MachineCapacityBand 6,1,1,2026-08-24T00:00:00.000
7,MCB000007,45,Northstar MachineCapacityBand 7,1,1,2026-08-24T00:00:00.000
8,MCB000008,51,Harbor MachineCapacityBand 8,1,1,2026-08-24T00:00:00.000
9,MCB000009,46,Ion MachineCapacityBand 9,1,1,2026-08-24T00:00:00.000
10,MCB000010,50,Liberty MachineCapacityBand 10,1,1,2026-08-24T00:00:00.000
11,MCB000011,42,Liberty MachineCapacityBand 11,1,1,2026-08-24T00:00:00.000
12,MCB000012,46,Delta MachineCapacityBand 12,1,1,2026-08-24T00:00:00.000
13,MCB000013,7,Beacon MachineCapacityBand 13,1,1,2026-08-24T00:00:00.000
14,MCB000014,25,Delta MachineCapacityBand 14,1,1,2026-08-24T00:00:00.000
15,MCB000015,52,Orion MachineCapacityBand 15,1,1,2026-08-24T00:00:00.000
16,MCB000016,39,Beacon MachineCapacityBand 16,1,1,2026-08-24T00:00:00.000
17,MCB000017,25,Willow MachineCapacityBand 17,1,1,2026-08-24T00:00:00.000
18,MCB000018,26,Cedar MachineCapacityBand 18,1,1,2026-08-24T00:00:00.000
19,MCB000019,11,Titan MachineCapacityBand 19,1,1,2026-08-24T00:00:00.000
20,MCB000020,43,Atlas MachineCapacityBand 20,1,1,2026-08-24T00:00:00.000
21,MCB000021,48,Beacon MachineCapacityBand 21,1,1,2026-08-24T00:00:00.000
