MachineCellKey,MachineCellCode,MachineAreaKey,MachineCellName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MC000001,48,Vertex MachineCell 1,1,1,2026-08-24T00:00:00.000
2,MC000002,43,Harbor MachineCell 2,1,1,2026-08-24T00:00:00.000
3,MC000003,55,Quartz MachineCell 3,1,1,2026-08-24T00:00:00.000
4,MC000004,14,Liberty MachineCell 4,1,1,2026-08-24T00:00:00.000
5,MC000005,55,Junction MachineCell 5,1,1,2026-08-24T00:00:00.000
6,MC000006,22,Meridian MachineCell 6,1,1,2026-08-24T00:00:00.000
7,MC000007,69,Keystone MachineCell 7,1,1,2026-08-24T00:00:00.000
8,MC000008,50,Atlas MachineCell 8,1,1,2026-08-24T00:00:00.000
9,MC000009,22,Delta MachineCell 9,1,1,2026-08-24T00:00:00.000
10,MC000010,56,Pioneer MachineCell 10,1,1,2026-08-24T00:00:00.000
11,MC000011,58,Junction MachineCell 11,1,1,2026-08-24T00:00:00.000
12,MC000012,75,Delta MachineCell 12,1,1,2026-08-24T00:00:00.000
13,MC000013,71,Evergreen MachineCell 13,1,1,2026-08-24T00:00:00.000
14,MC000014,12,Riverton MachineCell 14,1,1,2026-08-24T00:00:00.000
15,MC000015,56,Orion MachineCell 15,1,1,2026-08-24T00:00:00.000
16,MC000016,38,Atlas MachineCell 16,1,1,2026-08-24T00:00:00.000
17,MC000017,2,Liberty MachineCell 17,1,1,2026-08-24T00:00:00.000
18,MC000018,13,Orion MachineCell 18,1,1,2026-08-24T00:00:00.000
19,MC000019,3,Harbor MachineCell 19,1,1,2026-08-24T00:00:00.000
20,MC000020,11,Vertex MachineCell 20,1,1,2026-08-24T00:00:00.000
21,MC000021,15,Pioneer MachineCell 21,1,1,2026-08-24T00:00:00.000
22,MC000022,20,Willow MachineCell 22,1,1,2026-08-24T00:00:00.000
23,MC000023,60,Granite MachineCell 23,1,1,2026-08-24T00:00:00.000
24,MC000024,44,Orion MachineCell 24,1,1,2026-08-24T00:00:00.000
25,MC000025,52,Pioneer MachineCell 25,1,1,2026-08-24T00:00:00.000
26,MC000026,55,Ion MachineCell 26,1,1,2026-08-24T00:00:00.000
27,MC000027,24,Ion MachineCell 27,1,1,2026-08-24T00:00:00.000
28,MC000028,74,Pioneer MachineCell 28,1,1,2026-08-24T00:00:00.000
29,MC000029,4,Atlas MachineCell 29,1,1,2026-08-24T00:00:00.000
30,MC000030,73,Orion MachineCell 30,1,1,2026-08-24T00:00:00.000
31,MC000031,55,Orion MachineCell 31,1,1,2026-08-24T00:00:00.000
32,MC000032,73,Delta MachineCell 32,1,1,2026-08-24T00:00:00.000
33,MC000033,30,Northstar MachineCell 33,1,1,2026-08-24T00:00:00.000
34,MC000034,59,Ion MachineCell 34,1,1,2026-08-24T00:00:00.000
