MachineSensorTagKey,SensorTagName,MachineKey,MachineStationKey,MachineSensorTypeKey,UnitOfMeasureKey,MachineSensorTagName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,Unknown,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,Quartz MachineSensorTag 1,256,391,5,7,Quartz MachineSensorTag 1,MST000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,512b4017c11b5c35a60fa0c3bf970fbf512b4017c11b5c35a60fa0c3bf970fbf
2,Granite MachineSensorTag 2,268,119,10,3,Northstar MachineSensorTag 2,MST000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f704387d41e75925987d604f8d44c441f704387d41e75925987d604f8d44c441
3,Vertex MachineSensorTag 3,482,92,6,6,Evergreen MachineSensorTag 3,MST000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff03afa2140f50c280fe0658a6c27b0bff03afa2140f50c280fe0658a6c27b0b
4,Northstar MachineSensorTag 4,384,369,7,4,Keystone MachineSensorTag 4,MST000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c739369a9b95b7f92ae3e9167252b5f1c739369a9b95b7f92ae3e9167252b5f
5,Zenith MachineSensorTag 5,446,186,2,7,Atlas MachineSensorTag 5,MST000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f2609a6cda250eea7c09d9239f9c85e1f2609a6cda250eea7c09d9239f9c85e
6,Summit MachineSensorTag 6,207,392,7,1,Pioneer MachineSensorTag 6,MST000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f46c5a22283553bd8ad18386baf331e0f46c5a22283553bd8ad18386baf331e0
7,Harbor MachineSensorTag 7,110,120,10,4,Zenith MachineSensorTag 7,MST000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f606ae97de7520f83442963e0cdf6be8f606ae97de7520f83442963e0cdf6be
8,Vertex MachineSensorTag 8,375,210,10,2,Unity MachineSensorTag 8,MST000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,713d6c90d4df504ab86244914344b7b0713d6c90d4df504ab86244914344b7b0
9,Zenith MachineSensorTag 9,200,85,4,7,Delta MachineSensorTag 9,MST000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b75fa11d19165b259962fd20de16b2acb75fa11d19165b259962fd20de16b2ac
10,Granite MachineSensorTag 10,300,218,10,7,Unity MachineSensorTag 10,MST000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12215a6355fc5e849184fbe86aeca64612215a6355fc5e849184fbe86aeca646
11,Willow MachineSensorTag 11,437,270,6,3,Granite MachineSensorTag 11,MST000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ae7dd9d0423576fbb0f6f39e281d1758ae7dd9d0423576fbb0f6f39e281d175
12,Titan MachineSensorTag 12,210,490,8,1,Beacon MachineSensorTag 12,MST000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,726b32622dc954a8b45fba13ac32da1b726b32622dc954a8b45fba13ac32da1b
13,Orion MachineSensorTag 13,185,130,11,3,Beacon MachineSensorTag 13,MST000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,054b95a5453154479b94da642bd1ccb9054b95a5453154479b94da642bd1ccb9
14,Titan MachineSensorTag 14,454,265,5,7,Beacon MachineSensorTag 14,MST000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,daaa7e9253ba5c1c82a895521c896aa9daaa7e9253ba5c1c82a895521c896aa9
15,Quartz MachineSensorTag 15,392,210,11,4,Zenith MachineSensorTag 15,MST000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,061d0a6c01a95ccba15c045b9adc4e1c061d0a6c01a95ccba15c045b9adc4e1c
16,Granite MachineSensorTag 16,1,391,1,4,Quartz MachineSensorTag 16,MST000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,247b3f9a42c459ecaed98b4cf399e63b247b3f9a42c459ecaed98b4cf399e63b
17,Harbor MachineSensorTag 17,432,190,10,3,Harbor MachineSensorTag 17,MST000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebf542ad8417548bb886d6da5292c388ebf542ad8417548bb886d6da5292c388
18,Atlas MachineSensorTag 18,261,430,3,1,Atlas MachineSensorTag 18,MST000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dfa1b82418459518b5a6bdddcc3187f2dfa1b82418459518b5a6bdddcc3187f
19,Pioneer MachineSensorTag 19,137,105,9,1,Summit MachineSensorTag 19,MST000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a51b3355c8b050978f9dc85c15829ef4a51b3355c8b050978f9dc85c15829ef4
20,Harbor MachineSensorTag 20,201,232,3,7,Junction MachineSensorTag 20,MST000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebf4b03b4fc855ffa70f32a08be669c5ebf4b03b4fc855ffa70f32a08be669c5
21,Delta MachineSensorTag 21,428,298,6,7,Zenith MachineSensorTag 21,MST000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa404e1ce79b5f23a73332125c71a9bafa404e1ce79b5f23a73332125c71a9ba
22,Zenith MachineSensorTag 22,467,354,5,5,Atlas MachineSensorTag 22,MST000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7ed62fb375453c484abfee814a59f28b7ed62fb375453c484abfee814a59f28
23,Junction MachineSensorTag 23,356,236,11,1,Atlas MachineSensorTag 23,MST000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3559a5298d985f7bbba76b53e315995a3559a5298d985f7bbba76b53e315995a
24,Zenith MachineSensorTag 24,284,380,8,7,Evergreen MachineSensorTag 24,MST000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da8feb62bdae5a9c9d9e22cd875c562bda8feb62bdae5a9c9d9e22cd875c562b
25,Junction MachineSensorTag 25,64,340,8,2,Forge MachineSensorTag 25,MST000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,febace5f46d45a71a3eb4a2497eea91bfebace5f46d45a71a3eb4a2497eea91b
26,Vertex MachineSensorTag 26,151,184,11,7,Meridian MachineSensorTag 26,MST000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bd14a5ebddd5d1c9c94e9c97f51e49b0bd14a5ebddd5d1c9c94e9c97f51e49b
27,Delta MachineSensorTag 27,275,170,9,2,Orion MachineSensorTag 27,MST000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38be1a37a177504a8d1dc80281f850b638be1a37a177504a8d1dc80281f850b6
28,Atlas MachineSensorTag 28,338,307,12,5,Zenith MachineSensorTag 28,MST000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15643cd6f3905c2d951df0c5b1099a7315643cd6f3905c2d951df0c5b1099a73
29,Riverton MachineSensorTag 29,375,471,6,1,Zenith MachineSensorTag 29,MST000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e630b0c7826c5b57aa74e54762c11ad1e630b0c7826c5b57aa74e54762c11ad1
30,Delta MachineSensorTag 30,372,302,5,2,Granite MachineSensorTag 30,MST000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76c5c040ab78536cbfedb5d6a051e66176c5c040ab78536cbfedb5d6a051e661
31,Titan MachineSensorTag 31,376,61,9,3,Meridian MachineSensorTag 31,MST000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3c506a0e1ff55559737a1caf82377dbd3c506a0e1ff55559737a1caf82377db
32,Meridian MachineSensorTag 32,225,364,9,2,Northstar MachineSensorTag 32,MST000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ee6d2e861e757198960c77a74f9c5391ee6d2e861e757198960c77a74f9c539
33,Unity MachineSensorTag 33,55,158,2,3,Northstar MachineSensorTag 33,MST000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afef4acd0c9a522d9f5cc46afa1bf759afef4acd0c9a522d9f5cc46afa1bf759
34,Vertex MachineSensorTag 34,239,308,8,6,Junction MachineSensorTag 34,MST000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,602f376e116a5476881bc105c2381aea602f376e116a5476881bc105c2381aea
35,Granite MachineSensorTag 35,492,108,12,5,Summit MachineSensorTag 35,MST000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e38ad47adba05190aa845f81bc490f83e38ad47adba05190aa845f81bc490f83
36,Titan MachineSensorTag 36,273,369,1,7,Harbor MachineSensorTag 36,MST000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8411309044df5cf68df54d28d9d018e38411309044df5cf68df54d28d9d018e3
37,Titan MachineSensorTag 37,475,136,4,5,Junction MachineSensorTag 37,MST000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2957cba524a55d0a8a1781156b6aaf7a2957cba524a55d0a8a1781156b6aaf7a
38,Orion MachineSensorTag 38,381,230,1,6,Unity MachineSensorTag 38,MST000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,170024e82a8d53749224ad54bba432f9170024e82a8d53749224ad54bba432f9
39,Junction MachineSensorTag 39,423,213,4,7,Harbor MachineSensorTag 39,MST000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86451ccb74315ea1974b9407c31719bf86451ccb74315ea1974b9407c31719bf
40,Keystone MachineSensorTag 40,434,72,7,5,Delta MachineSensorTag 40,MST000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0fd3b449c435d739420c2aefa9963aba0fd3b449c435d739420c2aefa9963ab
41,Vertex MachineSensorTag 41,405,449,9,1,Cedar MachineSensorTag 41,MST000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25eb4e09ea5e5955a4bc2f45c6ef8d7a25eb4e09ea5e5955a4bc2f45c6ef8d7a
42,Evergreen MachineSensorTag 42,445,452,7,7,Zenith MachineSensorTag 42,MST000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,798c4c373b2e5c6c98e18a8ae6f1d7c6798c4c373b2e5c6c98e18a8ae6f1d7c6
