MachineShopKey,MachineShopCode,MachineShopName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,MS000001,Quartz MachineShop 1,1,1,2026-08-24T00:00:00.000
2,MS000002,Summit MachineShop 2,1,1,2026-08-24T00:00:00.000
3,MS000003,Beacon MachineShop 3,1,1,2026-08-24T00:00:00.000
4,MS000004,Cedar MachineShop 4,1,1,2026-08-24T00:00:00.000
5,MS000005,Delta MachineShop 5,1,1,2026-08-24T00:00:00.000
6,MS000006,Zenith MachineShop 6,1,1,2026-08-24T00:00:00.000
7,MS000007,Cedar MachineShop 7,1,1,2026-08-24T00:00:00.000
8,MS000008,Granite MachineShop 8,1,1,2026-08-24T00:00:00.000
9,MS000009,Willow MachineShop 9,1,1,2026-08-24T00:00:00.000
10,MS000010,Meridian MachineShop 10,1,1,2026-08-24T00:00:00.000
11,MS000011,Evergreen MachineShop 11,1,1,2026-08-24T00:00:00.000
12,MS000012,Northstar MachineShop 12,1,1,2026-08-24T00:00:00.000
13,MS000013,Unity MachineShop 13,1,1,2026-08-24T00:00:00.000
14,MS000014,Riverton MachineShop 14,1,1,2026-08-24T00:00:00.000
15,MS000015,Delta MachineShop 15,1,1,2026-08-24T00:00:00.000
16,MS000016,Summit MachineShop 16,1,1,2026-08-24T00:00:00.000
17,MS000017,Harbor MachineShop 17,1,1,2026-08-24T00:00:00.000
18,MS000018,Zenith MachineShop 18,1,1,2026-08-24T00:00:00.000
19,MS000019,Quartz MachineShop 19,1,1,2026-08-24T00:00:00.000
20,MS000020,Delta MachineShop 20,1,1,2026-08-24T00:00:00.000
