MachineStateKey,MachineStateCode,MachineStateReasonKey,MachineStateTypeKey,MachineStateName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000
1,MS000001,334,7,Northstar MachineState 1,MS000001,1,11.3700,1,1,2026-08-24T00:00:00.000
2,MS000002,394,6,Ion MachineState 2,MS000002,1,12.7400,1,1,2026-08-24T00:00:00.000
3,MS000003,411,6,Summit MachineState 3,MS000003,1,14.1100,1,1,2026-08-24T00:00:00.000
4,MS000004,215,9,Vertex MachineState 4,MS000004,1,15.4800,1,1,2026-08-24T00:00:00.000
5,MS000005,6,7,Zenith MachineState 5,MS000005,0,16.8500,1,1,2026-08-24T00:00:00.000
6,MS000006,180,8,Delta MachineState 6,MS000006,1,18.2200,1,1,2026-08-24T00:00:00.000
7,MS000007,78,7,Ion MachineState 7,MS000007,1,19.5900,1,1,2026-08-24T00:00:00.000
8,MS000008,430,1,Harbor MachineState 8,MS000008,1,20.9600,1,1,2026-08-24T00:00:00.000
9,MS000009,373,12,Liberty MachineState 9,MS000009,1,22.3300,1,1,2026-08-24T00:00:00.000
10,MS000010,57,8,Granite MachineState 10,MS000010,0,23.7000,1,1,2026-08-24T00:00:00.000
11,MS000011,27,3,Evergreen MachineState 11,MS000011,1,25.0700,1,1,2026-08-24T00:00:00.000
12,MS000012,147,8,Delta MachineState 12,MS000012,1,26.4400,1,1,2026-08-24T00:00:00.000
13,MS000013,495,11,Orion MachineState 13,MS000013,1,27.8100,1,1,2026-08-24T00:00:00.000
14,MS000014,313,12,Northstar MachineState 14,MS000014,1,29.1800,1,1,2026-08-24T00:00:00.000
15,MS000015,381,8,Willow MachineState 15,MS000015,0,30.5500,1,1,2026-08-24T00:00:00.000
16,MS000016,68,4,Granite MachineState 16,MS000016,1,31.9200,1,1,2026-08-24T00:00:00.000
17,MS000017,135,12,Quartz MachineState 17,MS000017,1,33.2900,1,1,2026-08-24T00:00:00.000
18,MS000018,169,12,Vertex MachineState 18,MS000018,1,34.6600,1,1,2026-08-24T00:00:00.000
19,MS000019,500,9,Vertex MachineState 19,MS000019,1,36.0300,1,1,2026-08-24T00:00:00.000
20,MS000020,482,4,Junction MachineState 20,MS000020,0,37.4000,1,1,2026-08-24T00:00:00.000
21,MS000021,34,9,Willow MachineState 21,MS000021,1,38.7700,1,1,2026-08-24T00:00:00.000
22,MS000022,61,6,Evergreen MachineState 22,MS000022,1,40.1400,1,1,2026-08-24T00:00:00.000
23,MS000023,359,10,Cedar MachineState 23,MS000023,1,41.5100,1,1,2026-08-24T00:00:00.000
24,MS000024,397,11,Cedar MachineState 24,MS000024,1,42.8800,1,1,2026-08-24T00:00:00.000
25,MS000025,17,1,Keystone MachineState 25,MS000025,0,44.2500,1,1,2026-08-24T00:00:00.000
26,MS000026,8,12,Zenith MachineState 26,MS000026,1,45.6200,1,1,2026-08-24T00:00:00.000
27,MS000027,362,2,Meridian MachineState 27,MS000027,1,46.9900,1,1,2026-08-24T00:00:00.000
28,MS000028,46,8,Beacon MachineState 28,MS000028,1,48.3600,1,1,2026-08-24T00:00:00.000
