MachineStateClassKey,MachineStateClassCode,MachineStateFamilyKey,MachineStateClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MSC000001,6,Willow MachineStateClass 1,1,1,2026-08-24T00:00:00.000
2,MSC000002,4,Cedar MachineStateClass 2,1,1,2026-08-24T00:00:00.000
3,MSC000003,1,Beacon MachineStateClass 3,1,1,2026-08-24T00:00:00.000
4,MSC000004,2,Titan MachineStateClass 4,1,1,2026-08-24T00:00:00.000
5,MSC000005,7,Titan MachineStateClass 5,1,1,2026-08-24T00:00:00.000
6,MSC000006,5,Ion MachineStateClass 6,1,1,2026-08-24T00:00:00.000
7,MSC000007,1,Pioneer MachineStateClass 7,1,1,2026-08-24T00:00:00.000
8,MSC000008,2,Atlas MachineStateClass 8,1,1,2026-08-24T00:00:00.000
9,MSC000009,1,Orion MachineStateClass 9,1,1,2026-08-24T00:00:00.000
10,MSC000010,8,Harbor MachineStateClass 10,1,1,2026-08-24T00:00:00.000
11,MSC000011,7,Vertex MachineStateClass 11,1,1,2026-08-24T00:00:00.000
12,MSC000012,5,Liberty MachineStateClass 12,1,1,2026-08-24T00:00:00.000
13,MSC000013,7,Delta MachineStateClass 13,1,1,2026-08-24T00:00:00.000
14,MSC000014,4,Atlas MachineStateClass 14,1,1,2026-08-24T00:00:00.000
15,MSC000015,7,Atlas MachineStateClass 15,1,1,2026-08-24T00:00:00.000
16,MSC000016,1,Vertex MachineStateClass 16,1,1,2026-08-24T00:00:00.000
17,MSC000017,7,Delta MachineStateClass 17,1,1,2026-08-24T00:00:00.000
18,MSC000018,6,Northstar MachineStateClass 18,1,1,2026-08-24T00:00:00.000
19,MSC000019,1,Riverton MachineStateClass 19,1,1,2026-08-24T00:00:00.000
20,MSC000020,5,Titan MachineStateClass 20,1,1,2026-08-24T00:00:00.000
21,MSC000021,2,Quartz MachineStateClass 21,1,1,2026-08-24T00:00:00.000
22,MSC000022,1,Junction MachineStateClass 22,1,1,2026-08-24T00:00:00.000
23,MSC000023,7,Evergreen MachineStateClass 23,1,1,2026-08-24T00:00:00.000
24,MSC000024,8,Riverton MachineStateClass 24,1,1,2026-08-24T00:00:00.000
25,MSC000025,2,Keystone MachineStateClass 25,1,1,2026-08-24T00:00:00.000
26,MSC000026,1,Orion MachineStateClass 26,1,1,2026-08-24T00:00:00.000
27,MSC000027,6,Evergreen MachineStateClass 27,1,1,2026-08-24T00:00:00.000
28,MSC000028,8,Cedar MachineStateClass 28,1,1,2026-08-24T00:00:00.000
29,MSC000029,8,Zenith MachineStateClass 29,1,1,2026-08-24T00:00:00.000
30,MSC000030,5,Unity MachineStateClass 30,1,1,2026-08-24T00:00:00.000
31,MSC000031,1,Delta MachineStateClass 31,1,1,2026-08-24T00:00:00.000
32,MSC000032,1,Willow MachineStateClass 32,1,1,2026-08-24T00:00:00.000
33,MSC000033,6,Atlas MachineStateClass 33,1,1,2026-08-24T00:00:00.000
34,MSC000034,1,Ion MachineStateClass 34,1,1,2026-08-24T00:00:00.000
35,MSC000035,4,Harbor MachineStateClass 35,1,1,2026-08-24T00:00:00.000
36,MSC000036,6,Evergreen MachineStateClass 36,1,1,2026-08-24T00:00:00.000
