MachineStateReasonGroupKey,MachineStateReasonGroupCode,MachineStateClassKey,MachineStateReasonGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MSRG000001,15,Liberty MachineStateReasonGroup 1,1,1,2026-08-24T00:00:00.000
2,MSRG000002,16,Willow MachineStateReasonGroup 2,1,1,2026-08-24T00:00:00.000
3,MSRG000003,28,Riverton MachineStateReasonGroup 3,1,1,2026-08-24T00:00:00.000
4,MSRG000004,1,Granite MachineStateReasonGroup 4,1,1,2026-08-24T00:00:00.000
5,MSRG000005,31,Willow MachineStateReasonGroup 5,1,1,2026-08-24T00:00:00.000
6,MSRG000006,28,Keystone MachineStateReasonGroup 6,1,1,2026-08-24T00:00:00.000
7,MSRG000007,13,Atlas MachineStateReasonGroup 7,1,1,2026-08-24T00:00:00.000
8,MSRG000008,6,Summit MachineStateReasonGroup 8,1,1,2026-08-24T00:00:00.000
9,MSRG000009,31,Junction MachineStateReasonGroup 9,1,1,2026-08-24T00:00:00.000
10,MSRG000010,21,Riverton MachineStateReasonGroup 10,1,1,2026-08-24T00:00:00.000
11,MSRG000011,27,Quartz MachineStateReasonGroup 11,1,1,2026-08-24T00:00:00.000
12,MSRG000012,8,Junction MachineStateReasonGroup 12,1,1,2026-08-24T00:00:00.000
13,MSRG000013,9,Vertex MachineStateReasonGroup 13,1,1,2026-08-24T00:00:00.000
14,MSRG000014,27,Orion MachineStateReasonGroup 14,1,1,2026-08-24T00:00:00.000
15,MSRG000015,14,Willow MachineStateReasonGroup 15,1,1,2026-08-24T00:00:00.000
16,MSRG000016,20,Orion MachineStateReasonGroup 16,1,1,2026-08-24T00:00:00.000
17,MSRG000017,4,Evergreen MachineStateReasonGroup 17,1,1,2026-08-24T00:00:00.000
18,MSRG000018,21,Delta MachineStateReasonGroup 18,1,1,2026-08-24T00:00:00.000
19,MSRG000019,30,Cedar MachineStateReasonGroup 19,1,1,2026-08-24T00:00:00.000
20,MSRG000020,22,Granite MachineStateReasonGroup 20,1,1,2026-08-24T00:00:00.000
21,MSRG000021,17,Titan MachineStateReasonGroup 21,1,1,2026-08-24T00:00:00.000
22,MSRG000022,26,Meridian MachineStateReasonGroup 22,1,1,2026-08-24T00:00:00.000
23,MSRG000023,3,Meridian MachineStateReasonGroup 23,1,1,2026-08-24T00:00:00.000
24,MSRG000024,9,Forge MachineStateReasonGroup 24,1,1,2026-08-24T00:00:00.000
25,MSRG000025,30,Unity MachineStateReasonGroup 25,1,1,2026-08-24T00:00:00.000
26,MSRG000026,29,Quartz MachineStateReasonGroup 26,1,1,2026-08-24T00:00:00.000
27,MSRG000027,30,Meridian MachineStateReasonGroup 27,1,1,2026-08-24T00:00:00.000
28,MSRG000028,34,Quartz MachineStateReasonGroup 28,1,1,2026-08-24T00:00:00.000
29,MSRG000029,19,Liberty MachineStateReasonGroup 29,1,1,2026-08-24T00:00:00.000
30,MSRG000030,24,Cedar MachineStateReasonGroup 30,1,1,2026-08-24T00:00:00.000
31,MSRG000031,8,Cedar MachineStateReasonGroup 31,1,1,2026-08-24T00:00:00.000
32,MSRG000032,13,Northstar MachineStateReasonGroup 32,1,1,2026-08-24T00:00:00.000
33,MSRG000033,27,Delta MachineStateReasonGroup 33,1,1,2026-08-24T00:00:00.000
34,MSRG000034,10,Riverton MachineStateReasonGroup 34,1,1,2026-08-24T00:00:00.000
35,MSRG000035,13,Cedar MachineStateReasonGroup 35,1,1,2026-08-24T00:00:00.000
36,MSRG000036,5,Summit MachineStateReasonGroup 36,1,1,2026-08-24T00:00:00.000
37,MSRG000037,31,Ion MachineStateReasonGroup 37,1,1,2026-08-24T00:00:00.000
38,MSRG000038,9,Ion MachineStateReasonGroup 38,1,1,2026-08-24T00:00:00.000
39,MSRG000039,12,Vertex MachineStateReasonGroup 39,1,1,2026-08-24T00:00:00.000
40,MSRG000040,34,Beacon MachineStateReasonGroup 40,1,1,2026-08-24T00:00:00.000
41,MSRG000041,5,Atlas MachineStateReasonGroup 41,1,1,2026-08-24T00:00:00.000
42,MSRG000042,22,Atlas MachineStateReasonGroup 42,1,1,2026-08-24T00:00:00.000
43,MSRG000043,32,Unity MachineStateReasonGroup 43,1,1,2026-08-24T00:00:00.000
44,MSRG000044,20,Beacon MachineStateReasonGroup 44,1,1,2026-08-24T00:00:00.000
45,MSRG000045,8,Vertex MachineStateReasonGroup 45,1,1,2026-08-24T00:00:00.000
46,MSRG000046,23,Liberty MachineStateReasonGroup 46,1,1,2026-08-24T00:00:00.000
47,MSRG000047,15,Keystone MachineStateReasonGroup 47,1,1,2026-08-24T00:00:00.000
48,MSRG000048,5,Quartz MachineStateReasonGroup 48,1,1,2026-08-24T00:00:00.000
49,MSRG000049,14,Harbor MachineStateReasonGroup 49,1,1,2026-08-24T00:00:00.000
50,MSRG000050,19,Orion MachineStateReasonGroup 50,1,1,2026-08-24T00:00:00.000
51,MSRG000051,9,Summit MachineStateReasonGroup 51,1,1,2026-08-24T00:00:00.000
52,MSRG000052,8,Delta MachineStateReasonGroup 52,1,1,2026-08-24T00:00:00.000
53,MSRG000053,14,Atlas MachineStateReasonGroup 53,1,1,2026-08-24T00:00:00.000
54,MSRG000054,25,Titan MachineStateReasonGroup 54,1,1,2026-08-24T00:00:00.000
55,MSRG000055,22,Granite MachineStateReasonGroup 55,1,1,2026-08-24T00:00:00.000
56,MSRG000056,7,Meridian MachineStateReasonGroup 56,1,1,2026-08-24T00:00:00.000
57,MSRG000057,14,Forge MachineStateReasonGroup 57,1,1,2026-08-24T00:00:00.000
58,MSRG000058,23,Meridian MachineStateReasonGroup 58,1,1,2026-08-24T00:00:00.000
59,MSRG000059,25,Summit MachineStateReasonGroup 59,1,1,2026-08-24T00:00:00.000
60,MSRG000060,31,Ion MachineStateReasonGroup 60,1,1,2026-08-24T00:00:00.000
61,MSRG000061,31,Northstar MachineStateReasonGroup 61,1,1,2026-08-24T00:00:00.000
62,MSRG000062,10,Beacon MachineStateReasonGroup 62,1,1,2026-08-24T00:00:00.000
63,MSRG000063,17,Vertex MachineStateReasonGroup 63,1,1,2026-08-24T00:00:00.000
64,MSRG000064,6,Riverton MachineStateReasonGroup 64,1,1,2026-08-24T00:00:00.000
65,MSRG000065,32,Pioneer MachineStateReasonGroup 65,1,1,2026-08-24T00:00:00.000
66,MSRG000066,30,Northstar MachineStateReasonGroup 66,1,1,2026-08-24T00:00:00.000
67,MSRG000067,27,Titan MachineStateReasonGroup 67,1,1,2026-08-24T00:00:00.000
68,MSRG000068,20,Delta MachineStateReasonGroup 68,1,1,2026-08-24T00:00:00.000
69,MSRG000069,20,Delta MachineStateReasonGroup 69,1,1,2026-08-24T00:00:00.000
70,MSRG000070,34,Riverton MachineStateReasonGroup 70,1,1,2026-08-24T00:00:00.000
71,MSRG000071,33,Keystone MachineStateReasonGroup 71,1,1,2026-08-24T00:00:00.000
72,MSRG000072,4,Vertex MachineStateReasonGroup 72,1,1,2026-08-24T00:00:00.000
73,MSRG000073,24,Atlas MachineStateReasonGroup 73,1,1,2026-08-24T00:00:00.000
74,MSRG000074,16,Meridian MachineStateReasonGroup 74,1,1,2026-08-24T00:00:00.000
75,MSRG000075,8,Meridian MachineStateReasonGroup 75,1,1,2026-08-24T00:00:00.000
76,MSRG000076,19,Unity MachineStateReasonGroup 76,1,1,2026-08-24T00:00:00.000
77,MSRG000077,21,Riverton MachineStateReasonGroup 77,1,1,2026-08-24T00:00:00.000
78,MSRG000078,13,Atlas MachineStateReasonGroup 78,1,1,2026-08-24T00:00:00.000
79,MSRG000079,1,Evergreen MachineStateReasonGroup 79,1,1,2026-08-24T00:00:00.000
80,MSRG000080,10,Atlas MachineStateReasonGroup 80,1,1,2026-08-24T00:00:00.000
81,MSRG000081,21,Evergreen MachineStateReasonGroup 81,1,1,2026-08-24T00:00:00.000
82,MSRG000082,17,Meridian MachineStateReasonGroup 82,1,1,2026-08-24T00:00:00.000
83,MSRG000083,25,Vertex MachineStateReasonGroup 83,1,1,2026-08-24T00:00:00.000
84,MSRG000084,13,Riverton MachineStateReasonGroup 84,1,1,2026-08-24T00:00:00.000
85,MSRG000085,36,Cedar MachineStateReasonGroup 85,1,1,2026-08-24T00:00:00.000
86,MSRG000086,28,Pioneer MachineStateReasonGroup 86,1,1,2026-08-24T00:00:00.000
87,MSRG000087,19,Harbor MachineStateReasonGroup 87,1,1,2026-08-24T00:00:00.000
88,MSRG000088,1,Northstar MachineStateReasonGroup 88,1,1,2026-08-24T00:00:00.000
89,MSRG000089,18,Northstar MachineStateReasonGroup 89,1,1,2026-08-24T00:00:00.000
90,MSRG000090,18,Titan MachineStateReasonGroup 90,1,1,2026-08-24T00:00:00.000
91,MSRG000091,12,Liberty MachineStateReasonGroup 91,1,1,2026-08-24T00:00:00.000
