MachineUtilityMeterKey,UtilityMeterNumber,MachineKey,PlantKey,MachineUtilityTypeKey,UnitOfMeasureKey,MachineUtilityMeterName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MUM000001,390,199,2,4,Ion MachineUtilityMeter 1,MUM000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7a42a6f3b6e5711acbeda72672a2de2c7a42a6f3b6e5711acbeda72672a2de2
2,MUM000002,72,76,10,1,Granite MachineUtilityMeter 2,MUM000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a2b06f7d05b5e2d9623219c8c9214273a2b06f7d05b5e2d9623219c8c921427
3,MUM000003,144,282,5,4,Riverton MachineUtilityMeter 3,MUM000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6fb6e19f6985be2819a9a8e5b83fbdaa6fb6e19f6985be2819a9a8e5b83fbda
4,MUM000004,411,283,2,3,Liberty MachineUtilityMeter 4,MUM000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a1e312f5d695436a90527b07a19289c7a1e312f5d695436a90527b07a19289c
5,MUM000005,124,274,7,1,Delta MachineUtilityMeter 5,MUM000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9f414acd7f55cf59b9f404cc9c3598aa9f414acd7f55cf59b9f404cc9c3598a
6,MUM000006,53,243,1,3,Unity MachineUtilityMeter 6,MUM000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c00e5ed4b19d5e6c9c788dff426228bcc00e5ed4b19d5e6c9c788dff426228bc
7,MUM000007,115,195,8,7,Ion MachineUtilityMeter 7,MUM000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd1127a9978959a199da942d991e109ebd1127a9978959a199da942d991e109e
8,MUM000008,2,114,2,2,Orion MachineUtilityMeter 8,MUM000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d86fc59fbe515043a139688f3f46cf31d86fc59fbe515043a139688f3f46cf31
9,MUM000009,410,199,7,5,Summit MachineUtilityMeter 9,MUM000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00a390bdafee59e6812b44917a09c0fe00a390bdafee59e6812b44917a09c0fe
10,MUM000010,445,267,9,4,Quartz MachineUtilityMeter 10,MUM000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30e4cbc5232350b3af44d5566dda35d330e4cbc5232350b3af44d5566dda35d3
11,MUM000011,326,208,12,5,Granite MachineUtilityMeter 11,MUM000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80c4cca45a4957c28a08715e7751a4fc80c4cca45a4957c28a08715e7751a4fc
12,MUM000012,371,124,1,1,Granite MachineUtilityMeter 12,MUM000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21751d59bed0522e97cdbee0add3928b21751d59bed0522e97cdbee0add3928b
13,MUM000013,31,190,5,6,Willow MachineUtilityMeter 13,MUM000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,912927ddb9a450109ecee1c411593301912927ddb9a450109ecee1c411593301
14,MUM000014,110,311,3,3,Vertex MachineUtilityMeter 14,MUM000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cd61a0a6ea25a70a69c4b79e64f11922cd61a0a6ea25a70a69c4b79e64f1192
15,MUM000015,307,294,5,7,Northstar MachineUtilityMeter 15,MUM000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fed223f6ab5258f8a47b90af573df94efed223f6ab5258f8a47b90af573df94e
16,MUM000016,215,283,3,6,Titan MachineUtilityMeter 16,MUM000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e105cb4588b35ab3b22a7668d13cd2b1e105cb4588b35ab3b22a7668d13cd2b1
