MaintenanceAssetSubClassKey,MaintenanceAssetSubClassCode,MaintenanceAssetClassKey,MaintenanceAssetSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MASC000001,47,Ion MaintenanceAssetSubClass 1,1,1,2026-08-24T00:00:00.000
2,MASC000002,61,Delta MaintenanceAssetSubClass 2,1,1,2026-08-24T00:00:00.000
3,MASC000003,3,Granite MaintenanceAssetSubClass 3,1,1,2026-08-24T00:00:00.000
4,MASC000004,20,Quartz MaintenanceAssetSubClass 4,1,1,2026-08-24T00:00:00.000
5,MASC000005,86,Summit MaintenanceAssetSubClass 5,1,1,2026-08-24T00:00:00.000
6,MASC000006,89,Meridian MaintenanceAssetSubClass 6,1,1,2026-08-24T00:00:00.000
7,MASC000007,38,Keystone MaintenanceAssetSubClass 7,1,1,2026-08-24T00:00:00.000
8,MASC000008,32,Keystone MaintenanceAssetSubClass 8,1,1,2026-08-24T00:00:00.000
9,MASC000009,58,Meridian MaintenanceAssetSubClass 9,1,1,2026-08-24T00:00:00.000
10,MASC000010,88,Orion MaintenanceAssetSubClass 10,1,1,2026-08-24T00:00:00.000
11,MASC000011,57,Pioneer MaintenanceAssetSubClass 11,1,1,2026-08-24T00:00:00.000
12,MASC000012,56,Meridian MaintenanceAssetSubClass 12,1,1,2026-08-24T00:00:00.000
13,MASC000013,28,Atlas MaintenanceAssetSubClass 13,1,1,2026-08-24T00:00:00.000
14,MASC000014,46,Evergreen MaintenanceAssetSubClass 14,1,1,2026-08-24T00:00:00.000
15,MASC000015,17,Liberty MaintenanceAssetSubClass 15,1,1,2026-08-24T00:00:00.000
16,MASC000016,34,Titan MaintenanceAssetSubClass 16,1,1,2026-08-24T00:00:00.000
17,MASC000017,18,Zenith MaintenanceAssetSubClass 17,1,1,2026-08-24T00:00:00.000
18,MASC000018,27,Quartz MaintenanceAssetSubClass 18,1,1,2026-08-24T00:00:00.000
19,MASC000019,73,Liberty MaintenanceAssetSubClass 19,1,1,2026-08-24T00:00:00.000
20,MASC000020,2,Titan MaintenanceAssetSubClass 20,1,1,2026-08-24T00:00:00.000
21,MASC000021,41,Harbor MaintenanceAssetSubClass 21,1,1,2026-08-24T00:00:00.000
22,MASC000022,8,Liberty MaintenanceAssetSubClass 22,1,1,2026-08-24T00:00:00.000
23,MASC000023,30,Orion MaintenanceAssetSubClass 23,1,1,2026-08-24T00:00:00.000
24,MASC000024,93,Vertex MaintenanceAssetSubClass 24,1,1,2026-08-24T00:00:00.000
25,MASC000025,59,Riverton MaintenanceAssetSubClass 25,1,1,2026-08-24T00:00:00.000
26,MASC000026,76,Keystone MaintenanceAssetSubClass 26,1,1,2026-08-24T00:00:00.000
27,MASC000027,50,Keystone MaintenanceAssetSubClass 27,1,1,2026-08-24T00:00:00.000
28,MASC000028,85,Zenith MaintenanceAssetSubClass 28,1,1,2026-08-24T00:00:00.000
29,MASC000029,28,Vertex MaintenanceAssetSubClass 29,1,1,2026-08-24T00:00:00.000
30,MASC000030,2,Forge MaintenanceAssetSubClass 30,1,1,2026-08-24T00:00:00.000
31,MASC000031,79,Delta MaintenanceAssetSubClass 31,1,1,2026-08-24T00:00:00.000
32,MASC000032,91,Summit MaintenanceAssetSubClass 32,1,1,2026-08-24T00:00:00.000
33,MASC000033,93,Delta MaintenanceAssetSubClass 33,1,1,2026-08-24T00:00:00.000
34,MASC000034,1,Beacon MaintenanceAssetSubClass 34,1,1,2026-08-24T00:00:00.000
35,MASC000035,91,Junction MaintenanceAssetSubClass 35,1,1,2026-08-24T00:00:00.000
36,MASC000036,70,Northstar MaintenanceAssetSubClass 36,1,1,2026-08-24T00:00:00.000
37,MASC000037,89,Forge MaintenanceAssetSubClass 37,1,1,2026-08-24T00:00:00.000
38,MASC000038,17,Orion MaintenanceAssetSubClass 38,1,1,2026-08-24T00:00:00.000
39,MASC000039,45,Cedar MaintenanceAssetSubClass 39,1,1,2026-08-24T00:00:00.000
40,MASC000040,90,Titan MaintenanceAssetSubClass 40,1,1,2026-08-24T00:00:00.000
41,MASC000041,44,Keystone MaintenanceAssetSubClass 41,1,1,2026-08-24T00:00:00.000
42,MASC000042,14,Evergreen MaintenanceAssetSubClass 42,1,1,2026-08-24T00:00:00.000
43,MASC000043,14,Pioneer MaintenanceAssetSubClass 43,1,1,2026-08-24T00:00:00.000
44,MASC000044,85,Riverton MaintenanceAssetSubClass 44,1,1,2026-08-24T00:00:00.000
45,MASC000045,6,Beacon MaintenanceAssetSubClass 45,1,1,2026-08-24T00:00:00.000
46,MASC000046,59,Zenith MaintenanceAssetSubClass 46,1,1,2026-08-24T00:00:00.000
47,MASC000047,57,Quartz MaintenanceAssetSubClass 47,1,1,2026-08-24T00:00:00.000
48,MASC000048,85,Granite MaintenanceAssetSubClass 48,1,1,2026-08-24T00:00:00.000
49,MASC000049,55,Beacon MaintenanceAssetSubClass 49,1,1,2026-08-24T00:00:00.000
50,MASC000050,86,Pioneer MaintenanceAssetSubClass 50,1,1,2026-08-24T00:00:00.000
51,MASC000051,96,Beacon MaintenanceAssetSubClass 51,1,1,2026-08-24T00:00:00.000
52,MASC000052,18,Willow MaintenanceAssetSubClass 52,1,1,2026-08-24T00:00:00.000
53,MASC000053,30,Orion MaintenanceAssetSubClass 53,1,1,2026-08-24T00:00:00.000
54,MASC000054,33,Evergreen MaintenanceAssetSubClass 54,1,1,2026-08-24T00:00:00.000
55,MASC000055,17,Evergreen MaintenanceAssetSubClass 55,1,1,2026-08-24T00:00:00.000
56,MASC000056,64,Vertex MaintenanceAssetSubClass 56,1,1,2026-08-24T00:00:00.000
57,MASC000057,74,Keystone MaintenanceAssetSubClass 57,1,1,2026-08-24T00:00:00.000
58,MASC000058,72,Willow MaintenanceAssetSubClass 58,1,1,2026-08-24T00:00:00.000
59,MASC000059,81,Northstar MaintenanceAssetSubClass 59,1,1,2026-08-24T00:00:00.000
60,MASC000060,39,Evergreen MaintenanceAssetSubClass 60,1,1,2026-08-24T00:00:00.000
61,MASC000061,50,Unity MaintenanceAssetSubClass 61,1,1,2026-08-24T00:00:00.000
62,MASC000062,92,Quartz MaintenanceAssetSubClass 62,1,1,2026-08-24T00:00:00.000
63,MASC000063,97,Harbor MaintenanceAssetSubClass 63,1,1,2026-08-24T00:00:00.000
64,MASC000064,14,Unity MaintenanceAssetSubClass 64,1,1,2026-08-24T00:00:00.000
65,MASC000065,86,Ion MaintenanceAssetSubClass 65,1,1,2026-08-24T00:00:00.000
66,MASC000066,47,Vertex MaintenanceAssetSubClass 66,1,1,2026-08-24T00:00:00.000
67,MASC000067,45,Evergreen MaintenanceAssetSubClass 67,1,1,2026-08-24T00:00:00.000
68,MASC000068,29,Riverton MaintenanceAssetSubClass 68,1,1,2026-08-24T00:00:00.000
69,MASC000069,46,Atlas MaintenanceAssetSubClass 69,1,1,2026-08-24T00:00:00.000
70,MASC000070,16,Quartz MaintenanceAssetSubClass 70,1,1,2026-08-24T00:00:00.000
71,MASC000071,73,Meridian MaintenanceAssetSubClass 71,1,1,2026-08-24T00:00:00.000
72,MASC000072,34,Harbor MaintenanceAssetSubClass 72,1,1,2026-08-24T00:00:00.000
73,MASC000073,56,Riverton MaintenanceAssetSubClass 73,1,1,2026-08-24T00:00:00.000
74,MASC000074,77,Titan MaintenanceAssetSubClass 74,1,1,2026-08-24T00:00:00.000
75,MASC000075,2,Pioneer MaintenanceAssetSubClass 75,1,1,2026-08-24T00:00:00.000
76,MASC000076,64,Atlas MaintenanceAssetSubClass 76,1,1,2026-08-24T00:00:00.000
77,MASC000077,100,Granite MaintenanceAssetSubClass 77,1,1,2026-08-24T00:00:00.000
78,MASC000078,46,Evergreen MaintenanceAssetSubClass 78,1,1,2026-08-24T00:00:00.000
79,MASC000079,55,Delta MaintenanceAssetSubClass 79,1,1,2026-08-24T00:00:00.000
80,MASC000080,85,Granite MaintenanceAssetSubClass 80,1,1,2026-08-24T00:00:00.000
81,MASC000081,10,Willow MaintenanceAssetSubClass 81,1,1,2026-08-24T00:00:00.000
82,MASC000082,29,Zenith MaintenanceAssetSubClass 82,1,1,2026-08-24T00:00:00.000
83,MASC000083,62,Forge MaintenanceAssetSubClass 83,1,1,2026-08-24T00:00:00.000
84,MASC000084,93,Quartz MaintenanceAssetSubClass 84,1,1,2026-08-24T00:00:00.000
85,MASC000085,58,Harbor MaintenanceAssetSubClass 85,1,1,2026-08-24T00:00:00.000
86,MASC000086,100,Delta MaintenanceAssetSubClass 86,1,1,2026-08-24T00:00:00.000
87,MASC000087,93,Orion MaintenanceAssetSubClass 87,1,1,2026-08-24T00:00:00.000
88,MASC000088,9,Evergreen MaintenanceAssetSubClass 88,1,1,2026-08-24T00:00:00.000
89,MASC000089,79,Delta MaintenanceAssetSubClass 89,1,1,2026-08-24T00:00:00.000
90,MASC000090,89,Cedar MaintenanceAssetSubClass 90,1,1,2026-08-24T00:00:00.000
91,MASC000091,7,Forge MaintenanceAssetSubClass 91,1,1,2026-08-24T00:00:00.000
92,MASC000092,81,Atlas MaintenanceAssetSubClass 92,1,1,2026-08-24T00:00:00.000
93,MASC000093,21,Meridian MaintenanceAssetSubClass 93,1,1,2026-08-24T00:00:00.000
94,MASC000094,28,Delta MaintenanceAssetSubClass 94,1,1,2026-08-24T00:00:00.000
95,MASC000095,83,Meridian MaintenanceAssetSubClass 95,1,1,2026-08-24T00:00:00.000
96,MASC000096,63,Delta MaintenanceAssetSubClass 96,1,1,2026-08-24T00:00:00.000
97,MASC000097,9,Riverton MaintenanceAssetSubClass 97,1,1,2026-08-24T00:00:00.000
98,MASC000098,3,Summit MaintenanceAssetSubClass 98,1,1,2026-08-24T00:00:00.000
99,MASC000099,47,Vertex MaintenanceAssetSubClass 99,1,1,2026-08-24T00:00:00.000
100,MASC000100,35,Orion MaintenanceAssetSubClass 100,1,1,2026-08-24T00:00:00.000
101,MASC000101,35,Cedar MaintenanceAssetSubClass 101,1,1,2026-08-24T00:00:00.000
102,MASC000102,99,Unity MaintenanceAssetSubClass 102,1,1,2026-08-24T00:00:00.000
103,MASC000103,45,Meridian MaintenanceAssetSubClass 103,1,1,2026-08-24T00:00:00.000
104,MASC000104,7,Orion MaintenanceAssetSubClass 104,1,1,2026-08-24T00:00:00.000
105,MASC000105,35,Cedar MaintenanceAssetSubClass 105,1,1,2026-08-24T00:00:00.000
106,MASC000106,17,Evergreen MaintenanceAssetSubClass 106,1,1,2026-08-24T00:00:00.000
107,MASC000107,54,Quartz MaintenanceAssetSubClass 107,1,1,2026-08-24T00:00:00.000
108,MASC000108,98,Delta MaintenanceAssetSubClass 108,1,1,2026-08-24T00:00:00.000
109,MASC000109,25,Ion MaintenanceAssetSubClass 109,1,1,2026-08-24T00:00:00.000
110,MASC000110,14,Titan MaintenanceAssetSubClass 110,1,1,2026-08-24T00:00:00.000
111,MASC000111,33,Zenith MaintenanceAssetSubClass 111,1,1,2026-08-24T00:00:00.000
112,MASC000112,73,Liberty MaintenanceAssetSubClass 112,1,1,2026-08-24T00:00:00.000
113,MASC000113,13,Zenith MaintenanceAssetSubClass 113,1,1,2026-08-24T00:00:00.000
114,MASC000114,86,Evergreen MaintenanceAssetSubClass 114,1,1,2026-08-24T00:00:00.000
115,MASC000115,98,Titan MaintenanceAssetSubClass 115,1,1,2026-08-24T00:00:00.000
116,MASC000116,96,Quartz MaintenanceAssetSubClass 116,1,1,2026-08-24T00:00:00.000
117,MASC000117,44,Granite MaintenanceAssetSubClass 117,1,1,2026-08-24T00:00:00.000
118,MASC000118,30,Riverton MaintenanceAssetSubClass 118,1,1,2026-08-24T00:00:00.000
119,MASC000119,100,Cedar MaintenanceAssetSubClass 119,1,1,2026-08-24T00:00:00.000
120,MASC000120,57,Delta MaintenanceAssetSubClass 120,1,1,2026-08-24T00:00:00.000
121,MASC000121,76,Vertex MaintenanceAssetSubClass 121,1,1,2026-08-24T00:00:00.000
122,MASC000122,24,Quartz MaintenanceAssetSubClass 122,1,1,2026-08-24T00:00:00.000
123,MASC000123,2,Junction MaintenanceAssetSubClass 123,1,1,2026-08-24T00:00:00.000
124,MASC000124,31,Summit MaintenanceAssetSubClass 124,1,1,2026-08-24T00:00:00.000
125,MASC000125,7,Harbor MaintenanceAssetSubClass 125,1,1,2026-08-24T00:00:00.000
126,MASC000126,35,Titan MaintenanceAssetSubClass 126,1,1,2026-08-24T00:00:00.000
127,MASC000127,25,Evergreen MaintenanceAssetSubClass 127,1,1,2026-08-24T00:00:00.000
128,MASC000128,30,Meridian MaintenanceAssetSubClass 128,1,1,2026-08-24T00:00:00.000
129,MASC000129,30,Summit MaintenanceAssetSubClass 129,1,1,2026-08-24T00:00:00.000
130,MASC000130,47,Junction MaintenanceAssetSubClass 130,1,1,2026-08-24T00:00:00.000
131,MASC000131,100,Atlas MaintenanceAssetSubClass 131,1,1,2026-08-24T00:00:00.000
132,MASC000132,46,Summit MaintenanceAssetSubClass 132,1,1,2026-08-24T00:00:00.000
133,MASC000133,36,Summit MaintenanceAssetSubClass 133,1,1,2026-08-24T00:00:00.000
134,MASC000134,56,Beacon MaintenanceAssetSubClass 134,1,1,2026-08-24T00:00:00.000
135,MASC000135,75,Ion MaintenanceAssetSubClass 135,1,1,2026-08-24T00:00:00.000
136,MASC000136,68,Delta MaintenanceAssetSubClass 136,1,1,2026-08-24T00:00:00.000
137,MASC000137,33,Willow MaintenanceAssetSubClass 137,1,1,2026-08-24T00:00:00.000
138,MASC000138,93,Granite MaintenanceAssetSubClass 138,1,1,2026-08-24T00:00:00.000
139,MASC000139,53,Delta MaintenanceAssetSubClass 139,1,1,2026-08-24T00:00:00.000
140,MASC000140,35,Riverton MaintenanceAssetSubClass 140,1,1,2026-08-24T00:00:00.000
141,MASC000141,75,Meridian MaintenanceAssetSubClass 141,1,1,2026-08-24T00:00:00.000
142,MASC000142,85,Titan MaintenanceAssetSubClass 142,1,1,2026-08-24T00:00:00.000
143,MASC000143,20,Harbor MaintenanceAssetSubClass 143,1,1,2026-08-24T00:00:00.000
144,MASC000144,97,Summit MaintenanceAssetSubClass 144,1,1,2026-08-24T00:00:00.000
145,MASC000145,14,Junction MaintenanceAssetSubClass 145,1,1,2026-08-24T00:00:00.000
146,MASC000146,22,Delta MaintenanceAssetSubClass 146,1,1,2026-08-24T00:00:00.000
147,MASC000147,12,Harbor MaintenanceAssetSubClass 147,1,1,2026-08-24T00:00:00.000
148,MASC000148,18,Northstar MaintenanceAssetSubClass 148,1,1,2026-08-24T00:00:00.000
149,MASC000149,8,Harbor MaintenanceAssetSubClass 149,1,1,2026-08-24T00:00:00.000
150,MASC000150,76,Harbor MaintenanceAssetSubClass 150,1,1,2026-08-24T00:00:00.000
151,MASC000151,39,Ion MaintenanceAssetSubClass 151,1,1,2026-08-24T00:00:00.000
152,MASC000152,37,Liberty MaintenanceAssetSubClass 152,1,1,2026-08-24T00:00:00.000
153,MASC000153,99,Orion MaintenanceAssetSubClass 153,1,1,2026-08-24T00:00:00.000
154,MASC000154,33,Northstar MaintenanceAssetSubClass 154,1,1,2026-08-24T00:00:00.000
155,MASC000155,32,Harbor MaintenanceAssetSubClass 155,1,1,2026-08-24T00:00:00.000
156,MASC000156,2,Northstar MaintenanceAssetSubClass 156,1,1,2026-08-24T00:00:00.000
157,MASC000157,72,Pioneer MaintenanceAssetSubClass 157,1,1,2026-08-24T00:00:00.000
158,MASC000158,24,Zenith MaintenanceAssetSubClass 158,1,1,2026-08-24T00:00:00.000
159,MASC000159,30,Pioneer MaintenanceAssetSubClass 159,1,1,2026-08-24T00:00:00.000
160,MASC000160,74,Orion MaintenanceAssetSubClass 160,1,1,2026-08-24T00:00:00.000
161,MASC000161,24,Unity MaintenanceAssetSubClass 161,1,1,2026-08-24T00:00:00.000
162,MASC000162,55,Forge MaintenanceAssetSubClass 162,1,1,2026-08-24T00:00:00.000
163,MASC000163,29,Evergreen MaintenanceAssetSubClass 163,1,1,2026-08-24T00:00:00.000
164,MASC000164,18,Orion MaintenanceAssetSubClass 164,1,1,2026-08-24T00:00:00.000
165,MASC000165,44,Meridian MaintenanceAssetSubClass 165,1,1,2026-08-24T00:00:00.000
166,MASC000166,13,Zenith MaintenanceAssetSubClass 166,1,1,2026-08-24T00:00:00.000
167,MASC000167,37,Junction MaintenanceAssetSubClass 167,1,1,2026-08-24T00:00:00.000
168,MASC000168,31,Quartz MaintenanceAssetSubClass 168,1,1,2026-08-24T00:00:00.000
169,MASC000169,96,Harbor MaintenanceAssetSubClass 169,1,1,2026-08-24T00:00:00.000
170,MASC000170,98,Zenith MaintenanceAssetSubClass 170,1,1,2026-08-24T00:00:00.000
171,MASC000171,23,Willow MaintenanceAssetSubClass 171,1,1,2026-08-24T00:00:00.000
172,MASC000172,28,Summit MaintenanceAssetSubClass 172,1,1,2026-08-24T00:00:00.000
173,MASC000173,95,Forge MaintenanceAssetSubClass 173,1,1,2026-08-24T00:00:00.000
174,MASC000174,77,Junction MaintenanceAssetSubClass 174,1,1,2026-08-24T00:00:00.000
175,MASC000175,14,Willow MaintenanceAssetSubClass 175,1,1,2026-08-24T00:00:00.000
176,MASC000176,47,Pioneer MaintenanceAssetSubClass 176,1,1,2026-08-24T00:00:00.000
177,MASC000177,20,Beacon MaintenanceAssetSubClass 177,1,1,2026-08-24T00:00:00.000
178,MASC000178,35,Harbor MaintenanceAssetSubClass 178,1,1,2026-08-24T00:00:00.000
179,MASC000179,96,Evergreen MaintenanceAssetSubClass 179,1,1,2026-08-24T00:00:00.000
180,MASC000180,73,Harbor MaintenanceAssetSubClass 180,1,1,2026-08-24T00:00:00.000
181,MASC000181,76,Beacon MaintenanceAssetSubClass 181,1,1,2026-08-24T00:00:00.000
182,MASC000182,36,Harbor MaintenanceAssetSubClass 182,1,1,2026-08-24T00:00:00.000
183,MASC000183,17,Vertex MaintenanceAssetSubClass 183,1,1,2026-08-24T00:00:00.000
184,MASC000184,53,Liberty MaintenanceAssetSubClass 184,1,1,2026-08-24T00:00:00.000
185,MASC000185,40,Quartz MaintenanceAssetSubClass 185,1,1,2026-08-24T00:00:00.000
186,MASC000186,40,Willow MaintenanceAssetSubClass 186,1,1,2026-08-24T00:00:00.000
187,MASC000187,97,Junction MaintenanceAssetSubClass 187,1,1,2026-08-24T00:00:00.000
188,MASC000188,37,Titan MaintenanceAssetSubClass 188,1,1,2026-08-24T00:00:00.000
189,MASC000189,75,Orion MaintenanceAssetSubClass 189,1,1,2026-08-24T00:00:00.000
190,MASC000190,79,Quartz MaintenanceAssetSubClass 190,1,1,2026-08-24T00:00:00.000
191,MASC000191,25,Pioneer MaintenanceAssetSubClass 191,1,1,2026-08-24T00:00:00.000
192,MASC000192,26,Summit MaintenanceAssetSubClass 192,1,1,2026-08-24T00:00:00.000
193,MASC000193,7,Titan MaintenanceAssetSubClass 193,1,1,2026-08-24T00:00:00.000
194,MASC000194,96,Liberty MaintenanceAssetSubClass 194,1,1,2026-08-24T00:00:00.000
195,MASC000195,31,Willow MaintenanceAssetSubClass 195,1,1,2026-08-24T00:00:00.000
196,MASC000196,5,Cedar MaintenanceAssetSubClass 196,1,1,2026-08-24T00:00:00.000
197,MASC000197,20,Junction MaintenanceAssetSubClass 197,1,1,2026-08-24T00:00:00.000
198,MASC000198,70,Ion MaintenanceAssetSubClass 198,1,1,2026-08-24T00:00:00.000
199,MASC000199,19,Unity MaintenanceAssetSubClass 199,1,1,2026-08-24T00:00:00.000
200,MASC000200,39,Unity MaintenanceAssetSubClass 200,1,1,2026-08-24T00:00:00.000
201,MASC000201,83,Delta MaintenanceAssetSubClass 201,1,1,2026-08-24T00:00:00.000
202,MASC000202,89,Harbor MaintenanceAssetSubClass 202,1,1,2026-08-24T00:00:00.000
203,MASC000203,62,Atlas MaintenanceAssetSubClass 203,1,1,2026-08-24T00:00:00.000
204,MASC000204,10,Pioneer MaintenanceAssetSubClass 204,1,1,2026-08-24T00:00:00.000
205,MASC000205,10,Pioneer MaintenanceAssetSubClass 205,1,1,2026-08-24T00:00:00.000
206,MASC000206,42,Granite MaintenanceAssetSubClass 206,1,1,2026-08-24T00:00:00.000
207,MASC000207,19,Vertex MaintenanceAssetSubClass 207,1,1,2026-08-24T00:00:00.000
208,MASC000208,32,Unity MaintenanceAssetSubClass 208,1,1,2026-08-24T00:00:00.000
209,MASC000209,90,Forge MaintenanceAssetSubClass 209,1,1,2026-08-24T00:00:00.000
210,MASC000210,44,Liberty MaintenanceAssetSubClass 210,1,1,2026-08-24T00:00:00.000
211,MASC000211,51,Riverton MaintenanceAssetSubClass 211,1,1,2026-08-24T00:00:00.000
212,MASC000212,72,Ion MaintenanceAssetSubClass 212,1,1,2026-08-24T00:00:00.000
213,MASC000213,78,Delta MaintenanceAssetSubClass 213,1,1,2026-08-24T00:00:00.000
