MaintenanceCrewRoleKey,MaintenanceCrewRoleCode,MaintenanceSkillGroupKey,MaintenanceCrewRoleName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MCR000001,69,Unity MaintenanceCrewRole 1,1,1,2026-08-24T00:00:00.000
2,MCR000002,30,Titan MaintenanceCrewRole 2,1,1,2026-08-24T00:00:00.000
3,MCR000003,60,Pioneer MaintenanceCrewRole 3,1,1,2026-08-24T00:00:00.000
4,MCR000004,148,Granite MaintenanceCrewRole 4,1,1,2026-08-24T00:00:00.000
5,MCR000005,100,Keystone MaintenanceCrewRole 5,1,1,2026-08-24T00:00:00.000
6,MCR000006,138,Ion MaintenanceCrewRole 6,1,1,2026-08-24T00:00:00.000
7,MCR000007,136,Pioneer MaintenanceCrewRole 7,1,1,2026-08-24T00:00:00.000
8,MCR000008,59,Orion MaintenanceCrewRole 8,1,1,2026-08-24T00:00:00.000
9,MCR000009,19,Junction MaintenanceCrewRole 9,1,1,2026-08-24T00:00:00.000
10,MCR000010,119,Titan MaintenanceCrewRole 10,1,1,2026-08-24T00:00:00.000
11,MCR000011,9,Meridian MaintenanceCrewRole 11,1,1,2026-08-24T00:00:00.000
12,MCR000012,48,Summit MaintenanceCrewRole 12,1,1,2026-08-24T00:00:00.000
13,MCR000013,119,Riverton MaintenanceCrewRole 13,1,1,2026-08-24T00:00:00.000
14,MCR000014,131,Evergreen MaintenanceCrewRole 14,1,1,2026-08-24T00:00:00.000
15,MCR000015,128,Unity MaintenanceCrewRole 15,1,1,2026-08-24T00:00:00.000
16,MCR000016,109,Junction MaintenanceCrewRole 16,1,1,2026-08-24T00:00:00.000
17,MCR000017,160,Granite MaintenanceCrewRole 17,1,1,2026-08-24T00:00:00.000
18,MCR000018,99,Harbor MaintenanceCrewRole 18,1,1,2026-08-24T00:00:00.000
19,MCR000019,59,Keystone MaintenanceCrewRole 19,1,1,2026-08-24T00:00:00.000
20,MCR000020,130,Harbor MaintenanceCrewRole 20,1,1,2026-08-24T00:00:00.000
21,MCR000021,157,Delta MaintenanceCrewRole 21,1,1,2026-08-24T00:00:00.000
22,MCR000022,68,Riverton MaintenanceCrewRole 22,1,1,2026-08-24T00:00:00.000
23,MCR000023,120,Orion MaintenanceCrewRole 23,1,1,2026-08-24T00:00:00.000
24,MCR000024,131,Delta MaintenanceCrewRole 24,1,1,2026-08-24T00:00:00.000
25,MCR000025,113,Orion MaintenanceCrewRole 25,1,1,2026-08-24T00:00:00.000
26,MCR000026,60,Pioneer MaintenanceCrewRole 26,1,1,2026-08-24T00:00:00.000
27,MCR000027,111,Granite MaintenanceCrewRole 27,1,1,2026-08-24T00:00:00.000
28,MCR000028,160,Quartz MaintenanceCrewRole 28,1,1,2026-08-24T00:00:00.000
29,MCR000029,172,Willow MaintenanceCrewRole 29,1,1,2026-08-24T00:00:00.000
30,MCR000030,71,Vertex MaintenanceCrewRole 30,1,1,2026-08-24T00:00:00.000
31,MCR000031,145,Zenith MaintenanceCrewRole 31,1,1,2026-08-24T00:00:00.000
32,MCR000032,104,Beacon MaintenanceCrewRole 32,1,1,2026-08-24T00:00:00.000
