MaintenancePmPlanKey,PmPlanNumber,AssetKey,MaintenancePlanClassKey,UnitOfMeasureKey,MaintenanceWorkTypeKey,RecordStatusKey,MaintenancePmPlanName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MPP000001,214,23,7,2,1,Meridian MaintenancePmPlan 1,MPP000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0d25b677f6f52fab1e9fe699df69156c0d25b677f6f52fab1e9fe699df69156
2,MPP000002,286,31,4,4,4,Atlas MaintenancePmPlan 2,MPP000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1996b19ca395bbba0e8ee43f21171b9d1996b19ca395bbba0e8ee43f21171b9
3,MPP000003,35,25,1,12,1,Evergreen MaintenancePmPlan 3,MPP000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca632934f6545a648b6f44c4577913f1ca632934f6545a648b6f44c4577913f1
4,MPP000004,204,53,2,1,4,Evergreen MaintenancePmPlan 4,MPP000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a9fdc3f1f99594fa6261673ef953b1e1a9fdc3f1f99594fa6261673ef953b1e
5,MPP000005,119,81,2,4,1,Meridian MaintenancePmPlan 5,MPP000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15447ab3fc335ad6840906872e76b35c15447ab3fc335ad6840906872e76b35c
6,MPP000006,329,52,3,9,2,Meridian MaintenancePmPlan 6,MPP000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,245c3a13a85450f8b0bf09e5ec472800245c3a13a85450f8b0bf09e5ec472800
7,MPP000007,293,48,5,3,2,Ion MaintenancePmPlan 7,MPP000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7003452bcf95bf0b391762339ed79c5c7003452bcf95bf0b391762339ed79c5
8,MPP000008,168,48,2,1,3,Zenith MaintenancePmPlan 8,MPP000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3820f7c2126b5931802ca31579fe99823820f7c2126b5931802ca31579fe9982
9,MPP000009,78,22,7,1,4,Delta MaintenancePmPlan 9,MPP000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f59d8e1ae7e8524f8dddc52b540730f8f59d8e1ae7e8524f8dddc52b540730f8
10,MPP000010,226,44,2,6,1,Liberty MaintenancePmPlan 10,MPP000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2f64a1c6ec4587cb0eedd38983dadedf2f64a1c6ec4587cb0eedd38983daded
11,MPP000011,421,21,4,12,2,Ion MaintenancePmPlan 11,MPP000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6744912dfc4d5565b8bd59ba672b54cc6744912dfc4d5565b8bd59ba672b54cc
12,MPP000012,498,49,5,4,2,Junction MaintenancePmPlan 12,MPP000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce8f668b335258bebc2fc4dc518a3829ce8f668b335258bebc2fc4dc518a3829
13,MPP000013,169,89,1,5,4,Ion MaintenancePmPlan 13,MPP000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,502f89cb7abd586197cd062659b2df0c502f89cb7abd586197cd062659b2df0c
14,MPP000014,197,75,4,6,3,Keystone MaintenancePmPlan 14,MPP000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b92c71ac3cc5892ae2c21c0cf2428389b92c71ac3cc5892ae2c21c0cf242838
15,MPP000015,56,56,4,9,2,Zenith MaintenancePmPlan 15,MPP000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e93a00cccf2d5a0ba64a10170bf94988e93a00cccf2d5a0ba64a10170bf94988
16,MPP000016,188,84,4,5,4,Orion MaintenancePmPlan 16,MPP000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bba5f48d5631536581ac9640c9d0af2ebba5f48d5631536581ac9640c9d0af2e
17,MPP000017,-1,62,4,3,4,Junction MaintenancePmPlan 17,MPP000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919d6def68115bec843e6f4b4cc4f258919d6def68115bec843e6f4b4cc4f258
18,MPP000018,310,60,2,1,1,Orion MaintenancePmPlan 18,MPP000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bae5470bf885e4a9b756acf80c3578f7bae5470bf885e4a9b756acf80c3578f
19,MPP000019,439,20,4,6,1,Liberty MaintenancePmPlan 19,MPP000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3656ca7cc71a5bbba0e01524462ce2c23656ca7cc71a5bbba0e01524462ce2c2
