MaintenanceSkillGroupKey,MaintenanceSkillGroupCode,MaintenanceTradeKey,MaintenanceSkillGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MSG000001,6,Granite MaintenanceSkillGroup 1,1,1,2026-08-24T00:00:00.000
2,MSG000002,8,Junction MaintenanceSkillGroup 2,1,1,2026-08-24T00:00:00.000
3,MSG000003,14,Riverton MaintenanceSkillGroup 3,1,1,2026-08-24T00:00:00.000
4,MSG000004,12,Delta MaintenanceSkillGroup 4,1,1,2026-08-24T00:00:00.000
5,MSG000005,15,Quartz MaintenanceSkillGroup 5,1,1,2026-08-24T00:00:00.000
6,MSG000006,39,Forge MaintenanceSkillGroup 6,1,1,2026-08-24T00:00:00.000
7,MSG000007,8,Ion MaintenanceSkillGroup 7,1,1,2026-08-24T00:00:00.000
8,MSG000008,39,Meridian MaintenanceSkillGroup 8,1,1,2026-08-24T00:00:00.000
9,MSG000009,28,Beacon MaintenanceSkillGroup 9,1,1,2026-08-24T00:00:00.000
10,MSG000010,19,Titan MaintenanceSkillGroup 10,1,1,2026-08-24T00:00:00.000
11,MSG000011,33,Granite MaintenanceSkillGroup 11,1,1,2026-08-24T00:00:00.000
12,MSG000012,1,Zenith MaintenanceSkillGroup 12,1,1,2026-08-24T00:00:00.000
13,MSG000013,2,Evergreen MaintenanceSkillGroup 13,1,1,2026-08-24T00:00:00.000
14,MSG000014,11,Summit MaintenanceSkillGroup 14,1,1,2026-08-24T00:00:00.000
15,MSG000015,42,Beacon MaintenanceSkillGroup 15,1,1,2026-08-24T00:00:00.000
16,MSG000016,6,Riverton MaintenanceSkillGroup 16,1,1,2026-08-24T00:00:00.000
17,MSG000017,24,Delta MaintenanceSkillGroup 17,1,1,2026-08-24T00:00:00.000
18,MSG000018,19,Granite MaintenanceSkillGroup 18,1,1,2026-08-24T00:00:00.000
19,MSG000019,17,Riverton MaintenanceSkillGroup 19,1,1,2026-08-24T00:00:00.000
20,MSG000020,34,Willow MaintenanceSkillGroup 20,1,1,2026-08-24T00:00:00.000
21,MSG000021,7,Evergreen MaintenanceSkillGroup 21,1,1,2026-08-24T00:00:00.000
22,MSG000022,13,Northstar MaintenanceSkillGroup 22,1,1,2026-08-24T00:00:00.000
23,MSG000023,27,Quartz MaintenanceSkillGroup 23,1,1,2026-08-24T00:00:00.000
24,MSG000024,31,Summit MaintenanceSkillGroup 24,1,1,2026-08-24T00:00:00.000
25,MSG000025,36,Beacon MaintenanceSkillGroup 25,1,1,2026-08-24T00:00:00.000
26,MSG000026,39,Evergreen MaintenanceSkillGroup 26,1,1,2026-08-24T00:00:00.000
27,MSG000027,23,Summit MaintenanceSkillGroup 27,1,1,2026-08-24T00:00:00.000
28,MSG000028,14,Harbor MaintenanceSkillGroup 28,1,1,2026-08-24T00:00:00.000
29,MSG000029,18,Northstar MaintenanceSkillGroup 29,1,1,2026-08-24T00:00:00.000
30,MSG000030,1,Summit MaintenanceSkillGroup 30,1,1,2026-08-24T00:00:00.000
31,MSG000031,38,Forge MaintenanceSkillGroup 31,1,1,2026-08-24T00:00:00.000
32,MSG000032,41,Vertex MaintenanceSkillGroup 32,1,1,2026-08-24T00:00:00.000
33,MSG000033,20,Granite MaintenanceSkillGroup 33,1,1,2026-08-24T00:00:00.000
34,MSG000034,8,Summit MaintenanceSkillGroup 34,1,1,2026-08-24T00:00:00.000
35,MSG000035,19,Cedar MaintenanceSkillGroup 35,1,1,2026-08-24T00:00:00.000
36,MSG000036,40,Cedar MaintenanceSkillGroup 36,1,1,2026-08-24T00:00:00.000
37,MSG000037,7,Titan MaintenanceSkillGroup 37,1,1,2026-08-24T00:00:00.000
38,MSG000038,38,Forge MaintenanceSkillGroup 38,1,1,2026-08-24T00:00:00.000
39,MSG000039,4,Harbor MaintenanceSkillGroup 39,1,1,2026-08-24T00:00:00.000
40,MSG000040,25,Liberty MaintenanceSkillGroup 40,1,1,2026-08-24T00:00:00.000
41,MSG000041,21,Liberty MaintenanceSkillGroup 41,1,1,2026-08-24T00:00:00.000
42,MSG000042,37,Willow MaintenanceSkillGroup 42,1,1,2026-08-24T00:00:00.000
43,MSG000043,22,Keystone MaintenanceSkillGroup 43,1,1,2026-08-24T00:00:00.000
44,MSG000044,4,Summit MaintenanceSkillGroup 44,1,1,2026-08-24T00:00:00.000
45,MSG000045,10,Evergreen MaintenanceSkillGroup 45,1,1,2026-08-24T00:00:00.000
46,MSG000046,19,Harbor MaintenanceSkillGroup 46,1,1,2026-08-24T00:00:00.000
47,MSG000047,29,Delta MaintenanceSkillGroup 47,1,1,2026-08-24T00:00:00.000
48,MSG000048,28,Riverton MaintenanceSkillGroup 48,1,1,2026-08-24T00:00:00.000
49,MSG000049,19,Northstar MaintenanceSkillGroup 49,1,1,2026-08-24T00:00:00.000
50,MSG000050,21,Forge MaintenanceSkillGroup 50,1,1,2026-08-24T00:00:00.000
51,MSG000051,6,Harbor MaintenanceSkillGroup 51,1,1,2026-08-24T00:00:00.000
52,MSG000052,33,Keystone MaintenanceSkillGroup 52,1,1,2026-08-24T00:00:00.000
53,MSG000053,24,Quartz MaintenanceSkillGroup 53,1,1,2026-08-24T00:00:00.000
54,MSG000054,15,Beacon MaintenanceSkillGroup 54,1,1,2026-08-24T00:00:00.000
55,MSG000055,9,Titan MaintenanceSkillGroup 55,1,1,2026-08-24T00:00:00.000
56,MSG000056,38,Harbor MaintenanceSkillGroup 56,1,1,2026-08-24T00:00:00.000
57,MSG000057,41,Ion MaintenanceSkillGroup 57,1,1,2026-08-24T00:00:00.000
58,MSG000058,15,Unity MaintenanceSkillGroup 58,1,1,2026-08-24T00:00:00.000
59,MSG000059,9,Northstar MaintenanceSkillGroup 59,1,1,2026-08-24T00:00:00.000
60,MSG000060,6,Ion MaintenanceSkillGroup 60,1,1,2026-08-24T00:00:00.000
61,MSG000061,31,Keystone MaintenanceSkillGroup 61,1,1,2026-08-24T00:00:00.000
62,MSG000062,13,Meridian MaintenanceSkillGroup 62,1,1,2026-08-24T00:00:00.000
63,MSG000063,6,Riverton MaintenanceSkillGroup 63,1,1,2026-08-24T00:00:00.000
64,MSG000064,10,Evergreen MaintenanceSkillGroup 64,1,1,2026-08-24T00:00:00.000
65,MSG000065,37,Forge MaintenanceSkillGroup 65,1,1,2026-08-24T00:00:00.000
66,MSG000066,10,Unity MaintenanceSkillGroup 66,1,1,2026-08-24T00:00:00.000
67,MSG000067,26,Junction MaintenanceSkillGroup 67,1,1,2026-08-24T00:00:00.000
68,MSG000068,21,Beacon MaintenanceSkillGroup 68,1,1,2026-08-24T00:00:00.000
69,MSG000069,8,Liberty MaintenanceSkillGroup 69,1,1,2026-08-24T00:00:00.000
70,MSG000070,39,Junction MaintenanceSkillGroup 70,1,1,2026-08-24T00:00:00.000
71,MSG000071,35,Forge MaintenanceSkillGroup 71,1,1,2026-08-24T00:00:00.000
72,MSG000072,25,Orion MaintenanceSkillGroup 72,1,1,2026-08-24T00:00:00.000
73,MSG000073,41,Zenith MaintenanceSkillGroup 73,1,1,2026-08-24T00:00:00.000
74,MSG000074,2,Meridian MaintenanceSkillGroup 74,1,1,2026-08-24T00:00:00.000
75,MSG000075,29,Northstar MaintenanceSkillGroup 75,1,1,2026-08-24T00:00:00.000
76,MSG000076,22,Summit MaintenanceSkillGroup 76,1,1,2026-08-24T00:00:00.000
77,MSG000077,5,Unity MaintenanceSkillGroup 77,1,1,2026-08-24T00:00:00.000
78,MSG000078,15,Beacon MaintenanceSkillGroup 78,1,1,2026-08-24T00:00:00.000
79,MSG000079,9,Unity MaintenanceSkillGroup 79,1,1,2026-08-24T00:00:00.000
80,MSG000080,35,Atlas MaintenanceSkillGroup 80,1,1,2026-08-24T00:00:00.000
81,MSG000081,20,Unity MaintenanceSkillGroup 81,1,1,2026-08-24T00:00:00.000
82,MSG000082,38,Quartz MaintenanceSkillGroup 82,1,1,2026-08-24T00:00:00.000
83,MSG000083,21,Vertex MaintenanceSkillGroup 83,1,1,2026-08-24T00:00:00.000
84,MSG000084,11,Pioneer MaintenanceSkillGroup 84,1,1,2026-08-24T00:00:00.000
85,MSG000085,25,Junction MaintenanceSkillGroup 85,1,1,2026-08-24T00:00:00.000
86,MSG000086,33,Granite MaintenanceSkillGroup 86,1,1,2026-08-24T00:00:00.000
87,MSG000087,27,Ion MaintenanceSkillGroup 87,1,1,2026-08-24T00:00:00.000
88,MSG000088,36,Titan MaintenanceSkillGroup 88,1,1,2026-08-24T00:00:00.000
89,MSG000089,13,Riverton MaintenanceSkillGroup 89,1,1,2026-08-24T00:00:00.000
90,MSG000090,32,Ion MaintenanceSkillGroup 90,1,1,2026-08-24T00:00:00.000
91,MSG000091,11,Riverton MaintenanceSkillGroup 91,1,1,2026-08-24T00:00:00.000
92,MSG000092,30,Forge MaintenanceSkillGroup 92,1,1,2026-08-24T00:00:00.000
93,MSG000093,7,Summit MaintenanceSkillGroup 93,1,1,2026-08-24T00:00:00.000
94,MSG000094,32,Beacon MaintenanceSkillGroup 94,1,1,2026-08-24T00:00:00.000
95,MSG000095,22,Titan MaintenanceSkillGroup 95,1,1,2026-08-24T00:00:00.000
96,MSG000096,40,Ion MaintenanceSkillGroup 96,1,1,2026-08-24T00:00:00.000
97,MSG000097,18,Ion MaintenanceSkillGroup 97,1,1,2026-08-24T00:00:00.000
98,MSG000098,7,Zenith MaintenanceSkillGroup 98,1,1,2026-08-24T00:00:00.000
99,MSG000099,28,Meridian MaintenanceSkillGroup 99,1,1,2026-08-24T00:00:00.000
100,MSG000100,19,Riverton MaintenanceSkillGroup 100,1,1,2026-08-24T00:00:00.000
101,MSG000101,23,Keystone MaintenanceSkillGroup 101,1,1,2026-08-24T00:00:00.000
102,MSG000102,23,Quartz MaintenanceSkillGroup 102,1,1,2026-08-24T00:00:00.000
103,MSG000103,31,Beacon MaintenanceSkillGroup 103,1,1,2026-08-24T00:00:00.000
104,MSG000104,40,Meridian MaintenanceSkillGroup 104,1,1,2026-08-24T00:00:00.000
105,MSG000105,41,Beacon MaintenanceSkillGroup 105,1,1,2026-08-24T00:00:00.000
106,MSG000106,29,Quartz MaintenanceSkillGroup 106,1,1,2026-08-24T00:00:00.000
107,MSG000107,21,Northstar MaintenanceSkillGroup 107,1,1,2026-08-24T00:00:00.000
108,MSG000108,14,Beacon MaintenanceSkillGroup 108,1,1,2026-08-24T00:00:00.000
109,MSG000109,24,Vertex MaintenanceSkillGroup 109,1,1,2026-08-24T00:00:00.000
110,MSG000110,35,Junction MaintenanceSkillGroup 110,1,1,2026-08-24T00:00:00.000
111,MSG000111,17,Keystone MaintenanceSkillGroup 111,1,1,2026-08-24T00:00:00.000
112,MSG000112,44,Meridian MaintenanceSkillGroup 112,1,1,2026-08-24T00:00:00.000
113,MSG000113,15,Titan MaintenanceSkillGroup 113,1,1,2026-08-24T00:00:00.000
114,MSG000114,28,Delta MaintenanceSkillGroup 114,1,1,2026-08-24T00:00:00.000
115,MSG000115,20,Orion MaintenanceSkillGroup 115,1,1,2026-08-24T00:00:00.000
