MaintenanceSparePartKey,SparePartNumber,ProductKey,MaintenanceAssetComponentTypeKey,UnitOfMeasureKey,HazardClassKey,MaintenanceSparePartName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MSP000001,319,438,4,13,Titan MaintenanceSparePart 1,MSP000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e26ab2a6b64853a1a51c8a8636d27d8ee26ab2a6b64853a1a51c8a8636d27d8e
2,MSP000002,331,155,3,1,Evergreen MaintenanceSparePart 2,MSP000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81363b906bcd586581d079a7e73f204481363b906bcd586581d079a7e73f2044
3,MSP000003,6,74,3,10,Titan MaintenanceSparePart 3,MSP000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22a78e43196b52b39e23b454ec5f99e922a78e43196b52b39e23b454ec5f99e9
4,MSP000004,454,155,6,1,Vertex MaintenanceSparePart 4,MSP000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,083a078dd5685ca8bec876ef6af1ccfa083a078dd5685ca8bec876ef6af1ccfa
5,MSP000005,11,112,6,13,Pioneer MaintenanceSparePart 5,MSP000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c51aa360d7253c784aa7fb417ec5aac9c51aa360d7253c784aa7fb417ec5aac
6,MSP000006,55,126,2,7,Harbor MaintenanceSparePart 6,MSP000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,318dffb31cae5f9d844e47886871afe7318dffb31cae5f9d844e47886871afe7
7,MSP000007,169,257,5,9,Willow MaintenanceSparePart 7,MSP000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,741411a8c3605640821b91384780e9d0741411a8c3605640821b91384780e9d0
8,MSP000008,259,394,5,14,Liberty MaintenanceSparePart 8,MSP000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2496f79370a150d896f734a23f1a833b2496f79370a150d896f734a23f1a833b
9,MSP000009,404,414,1,8,Ion MaintenanceSparePart 9,MSP000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f568cbc75c65be3b12de1d67bad6c804f568cbc75c65be3b12de1d67bad6c80
