MaintenanceTaskGroupKey,MaintenanceTaskGroupCode,MaintenancePlanClassKey,MaintenanceTaskGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,MTG000001,87,Keystone MaintenanceTaskGroup 1,1,1,2026-08-24T00:00:00.000
2,MTG000002,65,Liberty MaintenanceTaskGroup 2,1,1,2026-08-24T00:00:00.000
3,MTG000003,5,Willow MaintenanceTaskGroup 3,1,1,2026-08-24T00:00:00.000
4,MTG000004,53,Atlas MaintenanceTaskGroup 4,1,1,2026-08-24T00:00:00.000
5,MTG000005,73,Beacon MaintenanceTaskGroup 5,1,1,2026-08-24T00:00:00.000
6,MTG000006,62,Willow MaintenanceTaskGroup 6,1,1,2026-08-24T00:00:00.000
7,MTG000007,28,Liberty MaintenanceTaskGroup 7,1,1,2026-08-24T00:00:00.000
8,MTG000008,40,Vertex MaintenanceTaskGroup 8,1,1,2026-08-24T00:00:00.000
9,MTG000009,45,Meridian MaintenanceTaskGroup 9,1,1,2026-08-24T00:00:00.000
10,MTG000010,78,Orion MaintenanceTaskGroup 10,1,1,2026-08-24T00:00:00.000
11,MTG000011,17,Keystone MaintenanceTaskGroup 11,1,1,2026-08-24T00:00:00.000
12,MTG000012,11,Delta MaintenanceTaskGroup 12,1,1,2026-08-24T00:00:00.000
13,MTG000013,7,Willow MaintenanceTaskGroup 13,1,1,2026-08-24T00:00:00.000
14,MTG000014,13,Titan MaintenanceTaskGroup 14,1,1,2026-08-24T00:00:00.000
15,MTG000015,85,Beacon MaintenanceTaskGroup 15,1,1,2026-08-24T00:00:00.000
16,MTG000016,35,Riverton MaintenanceTaskGroup 16,1,1,2026-08-24T00:00:00.000
17,MTG000017,59,Vertex MaintenanceTaskGroup 17,1,1,2026-08-24T00:00:00.000
18,MTG000018,81,Junction MaintenanceTaskGroup 18,1,1,2026-08-24T00:00:00.000
19,MTG000019,39,Liberty MaintenanceTaskGroup 19,1,1,2026-08-24T00:00:00.000
20,MTG000020,53,Summit MaintenanceTaskGroup 20,1,1,2026-08-24T00:00:00.000
21,MTG000021,74,Beacon MaintenanceTaskGroup 21,1,1,2026-08-24T00:00:00.000
22,MTG000022,63,Vertex MaintenanceTaskGroup 22,1,1,2026-08-24T00:00:00.000
23,MTG000023,8,Titan MaintenanceTaskGroup 23,1,1,2026-08-24T00:00:00.000
24,MTG000024,80,Willow MaintenanceTaskGroup 24,1,1,2026-08-24T00:00:00.000
25,MTG000025,77,Beacon MaintenanceTaskGroup 25,1,1,2026-08-24T00:00:00.000
26,MTG000026,9,Forge MaintenanceTaskGroup 26,1,1,2026-08-24T00:00:00.000
27,MTG000027,54,Quartz MaintenanceTaskGroup 27,1,1,2026-08-24T00:00:00.000
28,MTG000028,15,Junction MaintenanceTaskGroup 28,1,1,2026-08-24T00:00:00.000
29,MTG000029,48,Ion MaintenanceTaskGroup 29,1,1,2026-08-24T00:00:00.000
30,MTG000030,20,Northstar MaintenanceTaskGroup 30,1,1,2026-08-24T00:00:00.000
31,MTG000031,20,Quartz MaintenanceTaskGroup 31,1,1,2026-08-24T00:00:00.000
32,MTG000032,82,Riverton MaintenanceTaskGroup 32,1,1,2026-08-24T00:00:00.000
33,MTG000033,16,Summit MaintenanceTaskGroup 33,1,1,2026-08-24T00:00:00.000
34,MTG000034,19,Zenith MaintenanceTaskGroup 34,1,1,2026-08-24T00:00:00.000
35,MTG000035,85,Quartz MaintenanceTaskGroup 35,1,1,2026-08-24T00:00:00.000
36,MTG000036,41,Meridian MaintenanceTaskGroup 36,1,1,2026-08-24T00:00:00.000
37,MTG000037,81,Zenith MaintenanceTaskGroup 37,1,1,2026-08-24T00:00:00.000
38,MTG000038,52,Willow MaintenanceTaskGroup 38,1,1,2026-08-24T00:00:00.000
39,MTG000039,50,Zenith MaintenanceTaskGroup 39,1,1,2026-08-24T00:00:00.000
40,MTG000040,3,Beacon MaintenanceTaskGroup 40,1,1,2026-08-24T00:00:00.000
