MaintenanceWorkRequestKey,WorkRequestNumber,AssetKey,PlantKey,RequesterEmployeeKey,PriorityKey,MaintenanceWorkTypeKey,MaintenanceOrderStatusKey,MaintenanceWorkRequestName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,MWR000001,259,41,490,5,5,4,Keystone MaintenanceWorkRequest 1,MWR000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52f07799f3a65dfb8abbd85f7a377b8652f07799f3a65dfb8abbd85f7a377b86
2,MWR000002,438,7,412,3,9,6,Willow MaintenanceWorkRequest 2,MWR000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a27d0312d34f5886abd41551a195da71a27d0312d34f5886abd41551a195da71
3,MWR000003,197,341,282,5,6,6,Granite MaintenanceWorkRequest 3,MWR000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,430d69dfd5de52318dfdc51163b628ba430d69dfd5de52318dfdc51163b628ba
4,MWR000004,270,33,249,3,7,1,Titan MaintenanceWorkRequest 4,MWR000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71628d4355945c84b9bc3b33c7d8af0871628d4355945c84b9bc3b33c7d8af08
5,MWR000005,403,161,125,3,2,7,Evergreen MaintenanceWorkRequest 5,MWR000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f772739956f15289bf53f7f8582485bdf772739956f15289bf53f7f8582485bd
6,MWR000006,34,141,35,3,3,2,Northstar MaintenanceWorkRequest 6,MWR000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eafab97e3930562ca39703e0e759bc2aeafab97e3930562ca39703e0e759bc2a
7,MWR000007,451,75,395,4,8,12,Beacon MaintenanceWorkRequest 7,MWR000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd78b8418d055199a91cb59a2f7aac68fd78b8418d055199a91cb59a2f7aac68
8,MWR000008,444,104,260,3,6,12,Junction MaintenanceWorkRequest 8,MWR000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da5f35133ca35ec49589c780b64423c1da5f35133ca35ec49589c780b64423c1
9,MWR000009,366,231,102,5,12,4,Northstar MaintenanceWorkRequest 9,MWR000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eedff13ad6bb5b029e16ba3e5a49ae4eeedff13ad6bb5b029e16ba3e5a49ae4e
10,MWR000010,462,287,190,2,10,9,Vertex MaintenanceWorkRequest 10,MWR000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2274656018975cabaafa7b0d803a1db22274656018975cabaafa7b0d803a1db2
11,MWR000011,308,114,286,4,5,12,Evergreen MaintenanceWorkRequest 11,MWR000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aacb286a48345e9abe10ae04146d2ff7aacb286a48345e9abe10ae04146d2ff7
12,MWR000012,246,314,293,3,8,12,Pioneer MaintenanceWorkRequest 12,MWR000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12e19582697452d8a40a0ea43c4714f712e19582697452d8a40a0ea43c4714f7
13,MWR000013,350,330,6,2,5,6,Summit MaintenanceWorkRequest 13,MWR000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c3a43130dea58eb8f9677e05b6b0b450c3a43130dea58eb8f9677e05b6b0b45
14,MWR000014,351,300,298,4,9,7,Northstar MaintenanceWorkRequest 14,MWR000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03c8f4debbc15361ba74505c359aae3203c8f4debbc15361ba74505c359aae32
15,MWR000015,302,75,316,1,1,11,Forge MaintenanceWorkRequest 15,MWR000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d244f2593d015739b7a901c8413228f6d244f2593d015739b7a901c8413228f6
16,MWR000016,172,341,154,1,4,4,Ion MaintenanceWorkRequest 16,MWR000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e2f82e431f957328e3fe113e2bb6f6a6e2f82e431f957328e3fe113e2bb6f6a
17,MWR000017,54,169,-1,3,11,6,Cedar MaintenanceWorkRequest 17,MWR000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81885d479b9a57148bf640210bdffb3281885d479b9a57148bf640210bdffb32
18,MWR000018,261,274,335,3,7,6,Ion MaintenanceWorkRequest 18,MWR000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7a6e1a2c9c05392b3fd5e0c29ac0d1ec7a6e1a2c9c05392b3fd5e0c29ac0d1e
19,MWR000019,500,250,428,4,7,7,Meridian MaintenanceWorkRequest 19,MWR000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83de814367be527f827747c484feeb6c83de814367be527f827747c484feeb6c
20,MWR000020,369,348,477,4,2,5,Zenith MaintenanceWorkRequest 20,MWR000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6abde5a2de7514f89630f7ee7848689b6abde5a2de7514f89630f7ee7848689
21,MWR000021,22,196,98,1,7,5,Junction MaintenanceWorkRequest 21,MWR000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7481ea8fce585e348dd2aa7934a1d5127481ea8fce585e348dd2aa7934a1d512
22,MWR000022,88,313,244,4,9,5,Granite MaintenanceWorkRequest 22,MWR000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0753f529e5555685a63c163852b828e90753f529e5555685a63c163852b828e9
23,MWR000023,70,175,367,1,7,3,Willow MaintenanceWorkRequest 23,MWR000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9686feb4c4205571ac14c37077172de89686feb4c4205571ac14c37077172de8
24,MWR000024,440,301,477,3,12,12,Pioneer MaintenanceWorkRequest 24,MWR000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2a9b77579505f76b266d9e66f9d867fd2a9b77579505f76b266d9e66f9d867f
25,MWR000025,316,153,90,1,2,6,Northstar MaintenanceWorkRequest 25,MWR000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6222689562a755f1b4c6a161ef831ea76222689562a755f1b4c6a161ef831ea7
26,MWR000026,254,103,80,3,1,5,Pioneer MaintenanceWorkRequest 26,MWR000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81fa6123417d5487b005b11da5ecef4381fa6123417d5487b005b11da5ecef43
27,MWR000027,435,256,104,2,3,4,Granite MaintenanceWorkRequest 27,MWR000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cd88f18a9a9518ea3adde70567b9c741cd88f18a9a9518ea3adde70567b9c74
