OeeLossClassKey,OeeLossClassCode,OeeLossPillarKey,OeeLossClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,OLC000001,6,Willow OeeLossClass 1,1,1,2026-08-24T00:00:00.000
2,OLC000002,6,Summit OeeLossClass 2,1,1,2026-08-24T00:00:00.000
3,OLC000003,3,Unity OeeLossClass 3,1,1,2026-08-24T00:00:00.000
4,OLC000004,2,Harbor OeeLossClass 4,1,1,2026-08-24T00:00:00.000
5,OLC000005,1,Beacon OeeLossClass 5,1,1,2026-08-24T00:00:00.000
6,OLC000006,2,Meridian OeeLossClass 6,1,1,2026-08-24T00:00:00.000
7,OLC000007,2,Meridian OeeLossClass 7,1,1,2026-08-24T00:00:00.000
8,OLC000008,4,Evergreen OeeLossClass 8,1,1,2026-08-24T00:00:00.000
9,OLC000009,5,Ion OeeLossClass 9,1,1,2026-08-24T00:00:00.000
10,OLC000010,3,Evergreen OeeLossClass 10,1,1,2026-08-24T00:00:00.000
11,OLC000011,4,Titan OeeLossClass 11,1,1,2026-08-24T00:00:00.000
12,OLC000012,3,Ion OeeLossClass 12,1,1,2026-08-24T00:00:00.000
13,OLC000013,6,Riverton OeeLossClass 13,1,1,2026-08-24T00:00:00.000
14,OLC000014,5,Summit OeeLossClass 14,1,1,2026-08-24T00:00:00.000
15,OLC000015,4,Unity OeeLossClass 15,1,1,2026-08-24T00:00:00.000
16,OLC000016,3,Meridian OeeLossClass 16,1,1,2026-08-24T00:00:00.000
17,OLC000017,6,Granite OeeLossClass 17,1,1,2026-08-24T00:00:00.000
18,OLC000018,3,Meridian OeeLossClass 18,1,1,2026-08-24T00:00:00.000
19,OLC000019,6,Junction OeeLossClass 19,1,1,2026-08-24T00:00:00.000
20,OLC000020,2,Harbor OeeLossClass 20,1,1,2026-08-24T00:00:00.000
21,OLC000021,4,Willow OeeLossClass 21,1,1,2026-08-24T00:00:00.000
22,OLC000022,6,Meridian OeeLossClass 22,1,1,2026-08-24T00:00:00.000
23,OLC000023,2,Zenith OeeLossClass 23,1,1,2026-08-24T00:00:00.000
24,OLC000024,3,Quartz OeeLossClass 24,1,1,2026-08-24T00:00:00.000
25,OLC000025,6,Evergreen OeeLossClass 25,1,1,2026-08-24T00:00:00.000
26,OLC000026,2,Willow OeeLossClass 26,1,1,2026-08-24T00:00:00.000
27,OLC000027,6,Meridian OeeLossClass 27,1,1,2026-08-24T00:00:00.000
28,OLC000028,5,Unity OeeLossClass 28,1,1,2026-08-24T00:00:00.000
29,OLC000029,4,Harbor OeeLossClass 29,1,1,2026-08-24T00:00:00.000
30,OLC000030,3,Junction OeeLossClass 30,1,1,2026-08-24T00:00:00.000
31,OLC000031,2,Titan OeeLossClass 31,1,1,2026-08-24T00:00:00.000
32,OLC000032,4,Riverton OeeLossClass 32,1,1,2026-08-24T00:00:00.000
33,OLC000033,2,Vertex OeeLossClass 33,1,1,2026-08-24T00:00:00.000
34,OLC000034,4,Zenith OeeLossClass 34,1,1,2026-08-24T00:00:00.000
35,OLC000035,5,Beacon OeeLossClass 35,1,1,2026-08-24T00:00:00.000
36,OLC000036,4,Willow OeeLossClass 36,1,1,2026-08-24T00:00:00.000
37,OLC000037,4,Cedar OeeLossClass 37,1,1,2026-08-24T00:00:00.000
38,OLC000038,2,Vertex OeeLossClass 38,1,1,2026-08-24T00:00:00.000
39,OLC000039,3,Evergreen OeeLossClass 39,1,1,2026-08-24T00:00:00.000
40,OLC000040,5,Quartz OeeLossClass 40,1,1,2026-08-24T00:00:00.000
