OeeTargetProfileKey,OeeTargetProfileCode,MachineCapacityRatingKey,ProductKey,PlantKey,OeeCalculationMethodKey,OeeTargetProfileName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,OTP000001,349,364,182,4,Meridian OeeTargetProfile 1,OTP000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa8c4ba6330354e99590d291bc0e0aabfa8c4ba6330354e99590d291bc0e0aab
2,OTP000002,29,499,36,5,Beacon OeeTargetProfile 2,OTP000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23731d5beb1d5057888c71ddd4419b2c23731d5beb1d5057888c71ddd4419b2c
3,OTP000003,206,99,93,3,Forge OeeTargetProfile 3,OTP000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,929e1a7bd6ba54af96b2e316e40d49fe929e1a7bd6ba54af96b2e316e40d49fe
4,OTP000004,92,430,342,8,Ion OeeTargetProfile 4,OTP000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c206c2c27e05a46bebf97f99679b9338c206c2c27e05a46bebf97f99679b933
5,OTP000005,16,426,311,1,Titan OeeTargetProfile 5,OTP000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f728764d25e354668ad4a5547509e8c5f728764d25e354668ad4a5547509e8c5
6,OTP000006,422,143,303,3,Ion OeeTargetProfile 6,OTP000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,711be32979165bd2ad7b40957bd4d8fa711be32979165bd2ad7b40957bd4d8fa
7,OTP000007,333,47,209,2,Forge OeeTargetProfile 7,OTP000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27101a3581c259bdaf7a2f7c3da3d90427101a3581c259bdaf7a2f7c3da3d904
8,OTP000008,117,428,179,5,Evergreen OeeTargetProfile 8,OTP000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fa9134a498557f495454ee1f2e64ed88fa9134a498557f495454ee1f2e64ed8
9,OTP000009,196,480,268,7,Willow OeeTargetProfile 9,OTP000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aaa48cdfc76351e08464c58df0ec2141aaa48cdfc76351e08464c58df0ec2141
10,OTP000010,118,418,284,11,Delta OeeTargetProfile 10,OTP000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d45671d2e9f653c3b16df16b52946ed8d45671d2e9f653c3b16df16b52946ed8
11,OTP000011,74,183,234,5,Willow OeeTargetProfile 11,OTP000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c10b6b2362725d73a07b120215a99cbdc10b6b2362725d73a07b120215a99cbd
12,OTP000012,396,333,64,3,Forge OeeTargetProfile 12,OTP000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39e851f752c65c64b1ddbf3e846d8a2a39e851f752c65c64b1ddbf3e846d8a2a
13,OTP000013,11,276,36,10,Orion OeeTargetProfile 13,OTP000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,914f98aabbbf5a75b02c826b6f6f5b7d914f98aabbbf5a75b02c826b6f6f5b7d
14,OTP000014,469,100,149,7,Atlas OeeTargetProfile 14,OTP000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43ffa016a19b532a987aeb81144e166243ffa016a19b532a987aeb81144e1662
15,OTP000015,461,108,98,12,Granite OeeTargetProfile 15,OTP000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a1489d37c6250f29bfecc89de93ec0f8a1489d37c6250f29bfecc89de93ec0f
16,OTP000016,16,370,192,5,Beacon OeeTargetProfile 16,OTP000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60c3842fcfa05f6589361fd498a0ec7760c3842fcfa05f6589361fd498a0ec77
