PlantCampusKey,CampusCode,GeoCityKey,RecordStatusKey,CampusName,CampusDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,PC000001,190,3,Forge PlantCampus 1,PlantCampus starter record 1,Riley Diaz,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,PC000002,128,1,Liberty PlantCampus 2,PlantCampus starter record 2,Alex Khan,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,PC000003,134,2,Vertex PlantCampus 3,PlantCampus starter record 3,Harper Patel,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,PC000004,464,3,Forge PlantCampus 4,PlantCampus starter record 4,Jordan Evans,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,PC000005,154,2,Evergreen PlantCampus 5,PlantCampus starter record 5,Taylor Singh,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,PC000006,109,1,Atlas PlantCampus 6,PlantCampus starter record 6,Taylor Reed,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,PC000007,334,1,Cedar PlantCampus 7,PlantCampus starter record 7,Harper Khan,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,PC000008,72,4,Quartz PlantCampus 8,PlantCampus starter record 8,Alex Patel,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,PC000009,439,4,Delta PlantCampus 9,PlantCampus starter record 9,Emerson Singh,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,PC000010,345,3,Beacon PlantCampus 10,PlantCampus starter record 10,Jordan Diaz,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,PC000011,259,4,Liberty PlantCampus 11,PlantCampus starter record 11,Finley Patel,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,PC000012,429,2,Junction PlantCampus 12,PlantCampus starter record 12,Casey Martin,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,PC000013,48,1,Junction PlantCampus 13,PlantCampus starter record 13,Blair Singh,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,PC000014,376,3,Meridian PlantCampus 14,PlantCampus starter record 14,Harper Evans,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,PC000015,383,2,Ion PlantCampus 15,PlantCampus starter record 15,Harper Reed,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,PC000016,215,1,Junction PlantCampus 16,PlantCampus starter record 16,Finley Patel,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,PC000017,479,3,Atlas PlantCampus 17,PlantCampus starter record 17,Quinn Reed,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,PC000018,203,2,Quartz PlantCampus 18,PlantCampus starter record 18,Taylor Khan,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,PC000019,340,1,Orion PlantCampus 19,PlantCampus starter record 19,Casey Garcia,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,PC000020,180,1,Vertex PlantCampus 20,PlantCampus starter record 20,Alex Hughes,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,PC000021,126,2,Northstar PlantCampus 21,PlantCampus starter record 21,Casey Singh,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
