ProductKey,ProductNumber,ProductSubfamilyKey,ProductBrandKey,ProductLifecyclePhaseKey,ProductCertificationKey,ParentProductKey,UnitOfMeasureKey,RecordStatusKey,MeasurementSystemKey,HazardClassKey,ProductName,ProductDescription,DrawingNumber,RevisionCode,StandardCostAmount,ListPriceAmount,NetWeightValue,GrossWeightValue,ShelfLifeDays,LotTrackedFlag,SerialTrackedFlag,MakeBuyCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,N/A,UNKNOWN,UNKNOWN,0.0000,0.0000,0.0000,0.0000,0,0,0,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,P000001,66,101,10,117,-1,6,3,2,13,Quartz Product 1,Product starter record 1,P000001,P000001,11.3700,11.3700,11.3700,11.3700,2,1,1,P000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47511e818a0d554cb438736a895d4b7547511e818a0d554cb438736a895d4b75
2,P000002,473,437,7,116,-1,3,4,3,11,Ion Product 2,Product starter record 2,P000002,P000002,12.7400,12.7400,12.7400,12.7400,3,1,1,P000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df6e0a02762552e9b7ad9b98899bf445df6e0a02762552e9b7ad9b98899bf445
3,P000003,442,194,1,38,-1,4,1,1,11,Ion Product 3,Product starter record 3,P000003,P000003,14.1100,14.1100,14.1100,14.1100,4,1,1,P000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4265037858458139e97ba2cd259f76eb4265037858458139e97ba2cd259f76e
4,P000004,14,255,3,169,-1,2,4,1,15,Quartz Product 4,Product starter record 4,P000004,P000004,15.4800,15.4800,15.4800,15.4800,5,1,1,P000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd8a274f9e605f0ea902382a135c39a0bd8a274f9e605f0ea902382a135c39a0
5,P000005,95,75,4,156,-1,4,2,1,8,Delta Product 5,Product starter record 5,P000005,P000005,16.8500,16.8500,16.8500,16.8500,6,0,0,P000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,985d82c2685c5a27ad48b1646245bb04985d82c2685c5a27ad48b1646245bb04
6,P000006,118,428,3,10,-1,2,1,1,17,Meridian Product 6,Product starter record 6,P000006,P000006,18.2200,18.2200,18.2200,18.2200,7,1,1,P000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d99d54865ab5555a92ad6a761b0622a1d99d54865ab5555a92ad6a761b0622a1
7,P000007,500,178,5,179,-1,4,3,2,18,Quartz Product 7,Product starter record 7,P000007,P000007,19.5900,19.5900,19.5900,19.5900,8,1,1,P000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e97021ba47195405aaff2a76e5b4d6b0e97021ba47195405aaff2a76e5b4d6b0
8,P000008,31,77,8,237,-1,5,3,1,15,Unity Product 8,Product starter record 8,P000008,P000008,20.9600,20.9600,20.9600,20.9600,9,1,1,P000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,188b130c10c054c3b596b3b861730216188b130c10c054c3b596b3b861730216
9,P000009,135,379,12,121,-1,4,3,2,15,Ion Product 9,Product starter record 9,P000009,P000009,22.3300,22.3300,22.3300,22.3300,10,1,1,P000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39ba63c128435e49853fe7bacd4a7a9339ba63c128435e49853fe7bacd4a7a93
10,P000010,275,467,5,108,-1,6,1,3,3,Junction Product 10,Product starter record 10,P000010,P000010,23.7000,23.7000,23.7000,23.7000,11,0,0,P000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3df3a9a7c535530daecc934351260ead3df3a9a7c535530daecc934351260ead
11,P000011,364,276,12,41,-1,6,4,3,1,Atlas Product 11,Product starter record 11,P000011,P000011,25.0700,25.0700,25.0700,25.0700,12,1,1,P000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d681210584555362af64bd62f8667881d681210584555362af64bd62f8667881
12,P000012,393,208,6,123,-1,3,2,1,11,Orion Product 12,Product starter record 12,P000012,P000012,26.4400,26.4400,26.4400,26.4400,13,1,1,P000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43afe9caa53a50c2920c8800eca486e443afe9caa53a50c2920c8800eca486e4
13,P000013,342,298,1,42,-1,6,4,2,1,Junction Product 13,Product starter record 13,P000013,P000013,27.8100,27.8100,27.8100,27.8100,14,1,1,P000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6227fbd2a7757b48957b4b11405c730e6227fbd2a7757b48957b4b11405c730
14,P000014,484,435,10,44,-1,3,2,1,8,Northstar Product 14,Product starter record 14,P000014,P000014,29.1800,29.1800,29.1800,29.1800,15,1,1,P000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa724abe8f8b5d96929aa70c813b5c39aa724abe8f8b5d96929aa70c813b5c39
15,P000015,345,162,9,97,-1,7,3,3,8,Evergreen Product 15,Product starter record 15,P000015,P000015,30.5500,30.5500,30.5500,30.5500,16,0,0,P000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2e21614964a535a9d35d3663ef5e592a2e21614964a535a9d35d3663ef5e592
16,P000016,38,107,10,116,-1,3,1,2,2,Vertex Product 16,Product starter record 16,P000016,P000016,31.9200,31.9200,31.9200,31.9200,17,1,1,P000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5026e7fae1c953f2803b9a99b621ed455026e7fae1c953f2803b9a99b621ed45
17,P000017,166,75,12,132,-1,5,4,3,6,Summit Product 17,Product starter record 17,P000017,P000017,33.2900,33.2900,33.2900,33.2900,18,1,1,P000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a2b4fb3f76c5172a441a61a8fbec0223a2b4fb3f76c5172a441a61a8fbec022
18,P000018,145,54,8,134,-1,3,4,1,17,Northstar Product 18,Product starter record 18,P000018,P000018,34.6600,34.6600,34.6600,34.6600,19,1,1,P000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f47e821cd88b56b7b7bd2e98f80103f3f47e821cd88b56b7b7bd2e98f80103f3
19,P000019,63,88,10,73,-1,5,3,2,10,Quartz Product 19,Product starter record 19,P000019,P000019,36.0300,36.0300,36.0300,36.0300,20,1,1,P000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e289ba98ae25951b458028cd1bd1ddd4e289ba98ae25951b458028cd1bd1ddd
