ProductFamilyKey,ProductFamilyCode,ProductLineKey,ProductFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PF000001,24,Ion ProductFamily 1,1,1,2026-08-24T00:00:00.000
2,PF000002,30,Zenith ProductFamily 2,1,1,2026-08-24T00:00:00.000
3,PF000003,14,Riverton ProductFamily 3,1,1,2026-08-24T00:00:00.000
4,PF000004,13,Forge ProductFamily 4,1,1,2026-08-24T00:00:00.000
5,PF000005,10,Pioneer ProductFamily 5,1,1,2026-08-24T00:00:00.000
6,PF000006,1,Harbor ProductFamily 6,1,1,2026-08-24T00:00:00.000
7,PF000007,11,Willow ProductFamily 7,1,1,2026-08-24T00:00:00.000
8,PF000008,13,Harbor ProductFamily 8,1,1,2026-08-24T00:00:00.000
9,PF000009,7,Unity ProductFamily 9,1,1,2026-08-24T00:00:00.000
10,PF000010,30,Granite ProductFamily 10,1,1,2026-08-24T00:00:00.000
11,PF000011,30,Cedar ProductFamily 11,1,1,2026-08-24T00:00:00.000
12,PF000012,27,Unity ProductFamily 12,1,1,2026-08-24T00:00:00.000
13,PF000013,20,Orion ProductFamily 13,1,1,2026-08-24T00:00:00.000
14,PF000014,2,Harbor ProductFamily 14,1,1,2026-08-24T00:00:00.000
15,PF000015,17,Northstar ProductFamily 15,1,1,2026-08-24T00:00:00.000
16,PF000016,3,Titan ProductFamily 16,1,1,2026-08-24T00:00:00.000
17,PF000017,19,Zenith ProductFamily 17,1,1,2026-08-24T00:00:00.000
18,PF000018,29,Zenith ProductFamily 18,1,1,2026-08-24T00:00:00.000
19,PF000019,23,Pioneer ProductFamily 19,1,1,2026-08-24T00:00:00.000
20,PF000020,5,Atlas ProductFamily 20,1,1,2026-08-24T00:00:00.000
21,PF000021,29,Riverton ProductFamily 21,1,1,2026-08-24T00:00:00.000
22,PF000022,26,Unity ProductFamily 22,1,1,2026-08-24T00:00:00.000
23,PF000023,20,Harbor ProductFamily 23,1,1,2026-08-24T00:00:00.000
24,PF000024,30,Cedar ProductFamily 24,1,1,2026-08-24T00:00:00.000
