ProductionCrewKey,ProductionCrewCode,ProductionCrewRoleKey,CostCenterKey,ProductionCrewName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PC000001,286,296,Forge ProductionCrew 1,PC000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91d2ca269e0e596e89a28f8e39cbb2dd91d2ca269e0e596e89a28f8e39cbb2dd
2,PC000002,131,242,Meridian ProductionCrew 2,PC000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13cea9d2facd50928df8817aae5ecac313cea9d2facd50928df8817aae5ecac3
3,PC000003,452,334,Granite ProductionCrew 3,PC000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bd6d9f37c5b5097a96b774383d4db124bd6d9f37c5b5097a96b774383d4db12
4,PC000004,401,447,Cedar ProductionCrew 4,PC000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6d542dc9540525f8afddd022271afcfb6d542dc9540525f8afddd022271afcf
5,PC000005,62,271,Harbor ProductionCrew 5,PC000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cb9fcd147df5c8ab7f7556492ddc6017cb9fcd147df5c8ab7f7556492ddc601
6,PC000006,417,476,Riverton ProductionCrew 6,PC000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea86b36a2f3b53498bb6c545dc7d7a4aea86b36a2f3b53498bb6c545dc7d7a4a
7,PC000007,418,222,Vertex ProductionCrew 7,PC000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,506712324ae656988f4c6d6c8f818ecf506712324ae656988f4c6d6c8f818ecf
8,PC000008,427,122,Ion ProductionCrew 8,PC000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17fb31b30d1f5b749481fbaac1894f5c17fb31b30d1f5b749481fbaac1894f5c
9,PC000009,421,370,Delta ProductionCrew 9,PC000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20c7a0c678ec56a4a03f7849248e4aa620c7a0c678ec56a4a03f7849248e4aa6
