ProductionCrewTypeKey,ProductionCrewTypeCode,ProductionLaborPoolKey,ProductionCrewTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCT000001,35,Willow ProductionCrewType 1,1,1,2026-08-24T00:00:00.000
2,PCT000002,17,Liberty ProductionCrewType 2,1,1,2026-08-24T00:00:00.000
3,PCT000003,19,Unity ProductionCrewType 3,1,1,2026-08-24T00:00:00.000
4,PCT000004,25,Evergreen ProductionCrewType 4,1,1,2026-08-24T00:00:00.000
5,PCT000005,30,Beacon ProductionCrewType 5,1,1,2026-08-24T00:00:00.000
6,PCT000006,39,Delta ProductionCrewType 6,1,1,2026-08-24T00:00:00.000
7,PCT000007,3,Forge ProductionCrewType 7,1,1,2026-08-24T00:00:00.000
8,PCT000008,14,Beacon ProductionCrewType 8,1,1,2026-08-24T00:00:00.000
9,PCT000009,37,Evergreen ProductionCrewType 9,1,1,2026-08-24T00:00:00.000
10,PCT000010,11,Pioneer ProductionCrewType 10,1,1,2026-08-24T00:00:00.000
11,PCT000011,27,Vertex ProductionCrewType 11,1,1,2026-08-24T00:00:00.000
12,PCT000012,14,Northstar ProductionCrewType 12,1,1,2026-08-24T00:00:00.000
13,PCT000013,21,Keystone ProductionCrewType 13,1,1,2026-08-24T00:00:00.000
14,PCT000014,20,Orion ProductionCrewType 14,1,1,2026-08-24T00:00:00.000
15,PCT000015,30,Orion ProductionCrewType 15,1,1,2026-08-24T00:00:00.000
16,PCT000016,35,Evergreen ProductionCrewType 16,1,1,2026-08-24T00:00:00.000
17,PCT000017,27,Summit ProductionCrewType 17,1,1,2026-08-24T00:00:00.000
18,PCT000018,30,Unity ProductionCrewType 18,1,1,2026-08-24T00:00:00.000
19,PCT000019,31,Forge ProductionCrewType 19,1,1,2026-08-24T00:00:00.000
20,PCT000020,27,Meridian ProductionCrewType 20,1,1,2026-08-24T00:00:00.000
21,PCT000021,5,Unity ProductionCrewType 21,1,1,2026-08-24T00:00:00.000
22,PCT000022,13,Granite ProductionCrewType 22,1,1,2026-08-24T00:00:00.000
23,PCT000023,11,Northstar ProductionCrewType 23,1,1,2026-08-24T00:00:00.000
24,PCT000024,11,Unity ProductionCrewType 24,1,1,2026-08-24T00:00:00.000
25,PCT000025,31,Atlas ProductionCrewType 25,1,1,2026-08-24T00:00:00.000
26,PCT000026,38,Unity ProductionCrewType 26,1,1,2026-08-24T00:00:00.000
27,PCT000027,11,Orion ProductionCrewType 27,1,1,2026-08-24T00:00:00.000
28,PCT000028,7,Zenith ProductionCrewType 28,1,1,2026-08-24T00:00:00.000
29,PCT000029,17,Beacon ProductionCrewType 29,1,1,2026-08-24T00:00:00.000
30,PCT000030,8,Quartz ProductionCrewType 30,1,1,2026-08-24T00:00:00.000
31,PCT000031,27,Pioneer ProductionCrewType 31,1,1,2026-08-24T00:00:00.000
32,PCT000032,11,Keystone ProductionCrewType 32,1,1,2026-08-24T00:00:00.000
33,PCT000033,26,Harbor ProductionCrewType 33,1,1,2026-08-24T00:00:00.000
34,PCT000034,8,Titan ProductionCrewType 34,1,1,2026-08-24T00:00:00.000
35,PCT000035,24,Riverton ProductionCrewType 35,1,1,2026-08-24T00:00:00.000
36,PCT000036,11,Vertex ProductionCrewType 36,1,1,2026-08-24T00:00:00.000
37,PCT000037,15,Riverton ProductionCrewType 37,1,1,2026-08-24T00:00:00.000
38,PCT000038,31,Meridian ProductionCrewType 38,1,1,2026-08-24T00:00:00.000
39,PCT000039,21,Willow ProductionCrewType 39,1,1,2026-08-24T00:00:00.000
40,PCT000040,9,Granite ProductionCrewType 40,1,1,2026-08-24T00:00:00.000
41,PCT000041,33,Keystone ProductionCrewType 41,1,1,2026-08-24T00:00:00.000
42,PCT000042,21,Atlas ProductionCrewType 42,1,1,2026-08-24T00:00:00.000
43,PCT000043,24,Beacon ProductionCrewType 43,1,1,2026-08-24T00:00:00.000
44,PCT000044,32,Summit ProductionCrewType 44,1,1,2026-08-24T00:00:00.000
45,PCT000045,34,Zenith ProductionCrewType 45,1,1,2026-08-24T00:00:00.000
46,PCT000046,40,Delta ProductionCrewType 46,1,1,2026-08-24T00:00:00.000
47,PCT000047,5,Atlas ProductionCrewType 47,1,1,2026-08-24T00:00:00.000
48,PCT000048,8,Forge ProductionCrewType 48,1,1,2026-08-24T00:00:00.000
49,PCT000049,15,Summit ProductionCrewType 49,1,1,2026-08-24T00:00:00.000
50,PCT000050,21,Summit ProductionCrewType 50,1,1,2026-08-24T00:00:00.000
51,PCT000051,11,Ion ProductionCrewType 51,1,1,2026-08-24T00:00:00.000
52,PCT000052,25,Pioneer ProductionCrewType 52,1,1,2026-08-24T00:00:00.000
53,PCT000053,39,Keystone ProductionCrewType 53,1,1,2026-08-24T00:00:00.000
54,PCT000054,18,Ion ProductionCrewType 54,1,1,2026-08-24T00:00:00.000
55,PCT000055,3,Harbor ProductionCrewType 55,1,1,2026-08-24T00:00:00.000
56,PCT000056,33,Liberty ProductionCrewType 56,1,1,2026-08-24T00:00:00.000
57,PCT000057,26,Cedar ProductionCrewType 57,1,1,2026-08-24T00:00:00.000
58,PCT000058,39,Unity ProductionCrewType 58,1,1,2026-08-24T00:00:00.000
59,PCT000059,38,Summit ProductionCrewType 59,1,1,2026-08-24T00:00:00.000
60,PCT000060,28,Liberty ProductionCrewType 60,1,1,2026-08-24T00:00:00.000
61,PCT000061,17,Zenith ProductionCrewType 61,1,1,2026-08-24T00:00:00.000
62,PCT000062,36,Liberty ProductionCrewType 62,1,1,2026-08-24T00:00:00.000
63,PCT000063,38,Ion ProductionCrewType 63,1,1,2026-08-24T00:00:00.000
64,PCT000064,36,Quartz ProductionCrewType 64,1,1,2026-08-24T00:00:00.000
65,PCT000065,11,Willow ProductionCrewType 65,1,1,2026-08-24T00:00:00.000
66,PCT000066,17,Ion ProductionCrewType 66,1,1,2026-08-24T00:00:00.000
67,PCT000067,21,Unity ProductionCrewType 67,1,1,2026-08-24T00:00:00.000
68,PCT000068,4,Liberty ProductionCrewType 68,1,1,2026-08-24T00:00:00.000
69,PCT000069,20,Vertex ProductionCrewType 69,1,1,2026-08-24T00:00:00.000
70,PCT000070,28,Forge ProductionCrewType 70,1,1,2026-08-24T00:00:00.000
71,PCT000071,20,Granite ProductionCrewType 71,1,1,2026-08-24T00:00:00.000
72,PCT000072,28,Keystone ProductionCrewType 72,1,1,2026-08-24T00:00:00.000
73,PCT000073,32,Meridian ProductionCrewType 73,1,1,2026-08-24T00:00:00.000
74,PCT000074,30,Orion ProductionCrewType 74,1,1,2026-08-24T00:00:00.000
75,PCT000075,17,Beacon ProductionCrewType 75,1,1,2026-08-24T00:00:00.000
76,PCT000076,29,Summit ProductionCrewType 76,1,1,2026-08-24T00:00:00.000
77,PCT000077,20,Keystone ProductionCrewType 77,1,1,2026-08-24T00:00:00.000
78,PCT000078,30,Granite ProductionCrewType 78,1,1,2026-08-24T00:00:00.000
79,PCT000079,13,Vertex ProductionCrewType 79,1,1,2026-08-24T00:00:00.000
80,PCT000080,10,Northstar ProductionCrewType 80,1,1,2026-08-24T00:00:00.000
81,PCT000081,17,Orion ProductionCrewType 81,1,1,2026-08-24T00:00:00.000
82,PCT000082,40,Delta ProductionCrewType 82,1,1,2026-08-24T00:00:00.000
83,PCT000083,15,Summit ProductionCrewType 83,1,1,2026-08-24T00:00:00.000
84,PCT000084,17,Liberty ProductionCrewType 84,1,1,2026-08-24T00:00:00.000
85,PCT000085,12,Quartz ProductionCrewType 85,1,1,2026-08-24T00:00:00.000
86,PCT000086,5,Quartz ProductionCrewType 86,1,1,2026-08-24T00:00:00.000
87,PCT000087,30,Vertex ProductionCrewType 87,1,1,2026-08-24T00:00:00.000
88,PCT000088,9,Zenith ProductionCrewType 88,1,1,2026-08-24T00:00:00.000
89,PCT000089,19,Harbor ProductionCrewType 89,1,1,2026-08-24T00:00:00.000
