ProductionLaborPoolKey,ProductionLaborPoolCode,ProductionLaborRegionKey,ProductionLaborPoolName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PLP000001,7,Beacon ProductionLaborPool 1,1,1,2026-08-24T00:00:00.000
2,PLP000002,2,Atlas ProductionLaborPool 2,1,1,2026-08-24T00:00:00.000
3,PLP000003,2,Harbor ProductionLaborPool 3,1,1,2026-08-24T00:00:00.000
4,PLP000004,7,Meridian ProductionLaborPool 4,1,1,2026-08-24T00:00:00.000
5,PLP000005,4,Meridian ProductionLaborPool 5,1,1,2026-08-24T00:00:00.000
6,PLP000006,2,Vertex ProductionLaborPool 6,1,1,2026-08-24T00:00:00.000
7,PLP000007,4,Northstar ProductionLaborPool 7,1,1,2026-08-24T00:00:00.000
8,PLP000008,6,Pioneer ProductionLaborPool 8,1,1,2026-08-24T00:00:00.000
9,PLP000009,6,Unity ProductionLaborPool 9,1,1,2026-08-24T00:00:00.000
10,PLP000010,7,Vertex ProductionLaborPool 10,1,1,2026-08-24T00:00:00.000
11,PLP000011,3,Atlas ProductionLaborPool 11,1,1,2026-08-24T00:00:00.000
12,PLP000012,7,Willow ProductionLaborPool 12,1,1,2026-08-24T00:00:00.000
13,PLP000013,2,Unity ProductionLaborPool 13,1,1,2026-08-24T00:00:00.000
14,PLP000014,8,Pioneer ProductionLaborPool 14,1,1,2026-08-24T00:00:00.000
15,PLP000015,6,Junction ProductionLaborPool 15,1,1,2026-08-24T00:00:00.000
16,PLP000016,8,Beacon ProductionLaborPool 16,1,1,2026-08-24T00:00:00.000
17,PLP000017,3,Ion ProductionLaborPool 17,1,1,2026-08-24T00:00:00.000
18,PLP000018,8,Harbor ProductionLaborPool 18,1,1,2026-08-24T00:00:00.000
19,PLP000019,1,Keystone ProductionLaborPool 19,1,1,2026-08-24T00:00:00.000
20,PLP000020,7,Meridian ProductionLaborPool 20,1,1,2026-08-24T00:00:00.000
21,PLP000021,2,Atlas ProductionLaborPool 21,1,1,2026-08-24T00:00:00.000
22,PLP000022,8,Meridian ProductionLaborPool 22,1,1,2026-08-24T00:00:00.000
23,PLP000023,8,Summit ProductionLaborPool 23,1,1,2026-08-24T00:00:00.000
24,PLP000024,4,Quartz ProductionLaborPool 24,1,1,2026-08-24T00:00:00.000
25,PLP000025,6,Quartz ProductionLaborPool 25,1,1,2026-08-24T00:00:00.000
26,PLP000026,7,Junction ProductionLaborPool 26,1,1,2026-08-24T00:00:00.000
27,PLP000027,3,Meridian ProductionLaborPool 27,1,1,2026-08-24T00:00:00.000
28,PLP000028,3,Junction ProductionLaborPool 28,1,1,2026-08-24T00:00:00.000
29,PLP000029,1,Delta ProductionLaborPool 29,1,1,2026-08-24T00:00:00.000
30,PLP000030,6,Vertex ProductionLaborPool 30,1,1,2026-08-24T00:00:00.000
31,PLP000031,2,Evergreen ProductionLaborPool 31,1,1,2026-08-24T00:00:00.000
32,PLP000032,8,Meridian ProductionLaborPool 32,1,1,2026-08-24T00:00:00.000
33,PLP000033,4,Quartz ProductionLaborPool 33,1,1,2026-08-24T00:00:00.000
34,PLP000034,8,Keystone ProductionLaborPool 34,1,1,2026-08-24T00:00:00.000
35,PLP000035,2,Atlas ProductionLaborPool 35,1,1,2026-08-24T00:00:00.000
36,PLP000036,7,Liberty ProductionLaborPool 36,1,1,2026-08-24T00:00:00.000
37,PLP000037,4,Cedar ProductionLaborPool 37,1,1,2026-08-24T00:00:00.000
38,PLP000038,6,Atlas ProductionLaborPool 38,1,1,2026-08-24T00:00:00.000
39,PLP000039,7,Beacon ProductionLaborPool 39,1,1,2026-08-24T00:00:00.000
40,PLP000040,6,Beacon ProductionLaborPool 40,1,1,2026-08-24T00:00:00.000
