ProductionLotClassKey,ProductionLotClassCode,ProductionLotFamilyKey,ProductionLotClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PLC000001,4,Unity ProductionLotClass 1,1,1,2026-08-24T00:00:00.000
2,PLC000002,20,Vertex ProductionLotClass 2,1,1,2026-08-24T00:00:00.000
3,PLC000003,8,Granite ProductionLotClass 3,1,1,2026-08-24T00:00:00.000
4,PLC000004,10,Zenith ProductionLotClass 4,1,1,2026-08-24T00:00:00.000
5,PLC000005,6,Zenith ProductionLotClass 5,1,1,2026-08-24T00:00:00.000
6,PLC000006,2,Keystone ProductionLotClass 6,1,1,2026-08-24T00:00:00.000
7,PLC000007,9,Junction ProductionLotClass 7,1,1,2026-08-24T00:00:00.000
8,PLC000008,7,Pioneer ProductionLotClass 8,1,1,2026-08-24T00:00:00.000
9,PLC000009,16,Ion ProductionLotClass 9,1,1,2026-08-24T00:00:00.000
10,PLC000010,18,Orion ProductionLotClass 10,1,1,2026-08-24T00:00:00.000
11,PLC000011,18,Evergreen ProductionLotClass 11,1,1,2026-08-24T00:00:00.000
12,PLC000012,4,Zenith ProductionLotClass 12,1,1,2026-08-24T00:00:00.000
13,PLC000013,14,Northstar ProductionLotClass 13,1,1,2026-08-24T00:00:00.000
14,PLC000014,6,Riverton ProductionLotClass 14,1,1,2026-08-24T00:00:00.000
15,PLC000015,1,Beacon ProductionLotClass 15,1,1,2026-08-24T00:00:00.000
16,PLC000016,7,Ion ProductionLotClass 16,1,1,2026-08-24T00:00:00.000
17,PLC000017,1,Ion ProductionLotClass 17,1,1,2026-08-24T00:00:00.000
18,PLC000018,2,Ion ProductionLotClass 18,1,1,2026-08-24T00:00:00.000
19,PLC000019,5,Atlas ProductionLotClass 19,1,1,2026-08-24T00:00:00.000
20,PLC000020,3,Quartz ProductionLotClass 20,1,1,2026-08-24T00:00:00.000
21,PLC000021,6,Cedar ProductionLotClass 21,1,1,2026-08-24T00:00:00.000
22,PLC000022,20,Granite ProductionLotClass 22,1,1,2026-08-24T00:00:00.000
23,PLC000023,13,Cedar ProductionLotClass 23,1,1,2026-08-24T00:00:00.000
24,PLC000024,17,Liberty ProductionLotClass 24,1,1,2026-08-24T00:00:00.000
25,PLC000025,19,Junction ProductionLotClass 25,1,1,2026-08-24T00:00:00.000
26,PLC000026,2,Summit ProductionLotClass 26,1,1,2026-08-24T00:00:00.000
27,PLC000027,11,Forge ProductionLotClass 27,1,1,2026-08-24T00:00:00.000
28,PLC000028,17,Keystone ProductionLotClass 28,1,1,2026-08-24T00:00:00.000
29,PLC000029,18,Orion ProductionLotClass 29,1,1,2026-08-24T00:00:00.000
30,PLC000030,2,Ion ProductionLotClass 30,1,1,2026-08-24T00:00:00.000
31,PLC000031,9,Junction ProductionLotClass 31,1,1,2026-08-24T00:00:00.000
32,PLC000032,13,Titan ProductionLotClass 32,1,1,2026-08-24T00:00:00.000
33,PLC000033,8,Ion ProductionLotClass 33,1,1,2026-08-24T00:00:00.000
34,PLC000034,11,Orion ProductionLotClass 34,1,1,2026-08-24T00:00:00.000
35,PLC000035,14,Orion ProductionLotClass 35,1,1,2026-08-24T00:00:00.000
36,PLC000036,11,Riverton ProductionLotClass 36,1,1,2026-08-24T00:00:00.000
37,PLC000037,15,Junction ProductionLotClass 37,1,1,2026-08-24T00:00:00.000
38,PLC000038,14,Summit ProductionLotClass 38,1,1,2026-08-24T00:00:00.000
39,PLC000039,19,Quartz ProductionLotClass 39,1,1,2026-08-24T00:00:00.000
40,PLC000040,5,Atlas ProductionLotClass 40,1,1,2026-08-24T00:00:00.000
41,PLC000041,9,Atlas ProductionLotClass 41,1,1,2026-08-24T00:00:00.000
42,PLC000042,16,Vertex ProductionLotClass 42,1,1,2026-08-24T00:00:00.000
43,PLC000043,4,Granite ProductionLotClass 43,1,1,2026-08-24T00:00:00.000
44,PLC000044,3,Evergreen ProductionLotClass 44,1,1,2026-08-24T00:00:00.000
45,PLC000045,15,Keystone ProductionLotClass 45,1,1,2026-08-24T00:00:00.000
46,PLC000046,11,Junction ProductionLotClass 46,1,1,2026-08-24T00:00:00.000
47,PLC000047,17,Delta ProductionLotClass 47,1,1,2026-08-24T00:00:00.000
48,PLC000048,15,Riverton ProductionLotClass 48,1,1,2026-08-24T00:00:00.000
49,PLC000049,20,Pioneer ProductionLotClass 49,1,1,2026-08-24T00:00:00.000
50,PLC000050,17,Atlas ProductionLotClass 50,1,1,2026-08-24T00:00:00.000
51,PLC000051,20,Vertex ProductionLotClass 51,1,1,2026-08-24T00:00:00.000
52,PLC000052,20,Harbor ProductionLotClass 52,1,1,2026-08-24T00:00:00.000
53,PLC000053,1,Ion ProductionLotClass 53,1,1,2026-08-24T00:00:00.000
54,PLC000054,7,Northstar ProductionLotClass 54,1,1,2026-08-24T00:00:00.000
55,PLC000055,20,Beacon ProductionLotClass 55,1,1,2026-08-24T00:00:00.000
56,PLC000056,9,Beacon ProductionLotClass 56,1,1,2026-08-24T00:00:00.000
57,PLC000057,7,Cedar ProductionLotClass 57,1,1,2026-08-24T00:00:00.000
58,PLC000058,11,Junction ProductionLotClass 58,1,1,2026-08-24T00:00:00.000
59,PLC000059,19,Delta ProductionLotClass 59,1,1,2026-08-24T00:00:00.000
60,PLC000060,18,Cedar ProductionLotClass 60,1,1,2026-08-24T00:00:00.000
61,PLC000061,11,Meridian ProductionLotClass 61,1,1,2026-08-24T00:00:00.000
62,PLC000062,6,Harbor ProductionLotClass 62,1,1,2026-08-24T00:00:00.000
63,PLC000063,6,Ion ProductionLotClass 63,1,1,2026-08-24T00:00:00.000
64,PLC000064,13,Harbor ProductionLotClass 64,1,1,2026-08-24T00:00:00.000
65,PLC000065,14,Vertex ProductionLotClass 65,1,1,2026-08-24T00:00:00.000
66,PLC000066,9,Northstar ProductionLotClass 66,1,1,2026-08-24T00:00:00.000
67,PLC000067,11,Northstar ProductionLotClass 67,1,1,2026-08-24T00:00:00.000
68,PLC000068,20,Quartz ProductionLotClass 68,1,1,2026-08-24T00:00:00.000
69,PLC000069,16,Delta ProductionLotClass 69,1,1,2026-08-24T00:00:00.000
70,PLC000070,6,Forge ProductionLotClass 70,1,1,2026-08-24T00:00:00.000
71,PLC000071,2,Keystone ProductionLotClass 71,1,1,2026-08-24T00:00:00.000
72,PLC000072,6,Unity ProductionLotClass 72,1,1,2026-08-24T00:00:00.000
73,PLC000073,4,Vertex ProductionLotClass 73,1,1,2026-08-24T00:00:00.000
74,PLC000074,7,Delta ProductionLotClass 74,1,1,2026-08-24T00:00:00.000
75,PLC000075,8,Zenith ProductionLotClass 75,1,1,2026-08-24T00:00:00.000
76,PLC000076,18,Ion ProductionLotClass 76,1,1,2026-08-24T00:00:00.000
77,PLC000077,7,Quartz ProductionLotClass 77,1,1,2026-08-24T00:00:00.000
78,PLC000078,7,Quartz ProductionLotClass 78,1,1,2026-08-24T00:00:00.000
79,PLC000079,18,Harbor ProductionLotClass 79,1,1,2026-08-24T00:00:00.000
