ProductionOperationKey,ProductionOperationNumber,ProductionWorkOrderKey,WorkCenterKey,ProductionProcessStepKey,ProductionOrderStatusKey,ProductionOperationName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PO000001,115,134,234,6,Atlas ProductionOperation 1,PO000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8936a68f4b5a59208fcda69ac9c17f258936a68f4b5a59208fcda69ac9c17f25
2,PO000002,393,215,396,7,Titan ProductionOperation 2,PO000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2913af8acd1357509b5c5f4a5c790aeb2913af8acd1357509b5c5f4a5c790aeb
3,PO000003,175,190,315,7,Harbor ProductionOperation 3,PO000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71e84b3e53495bedb93421961825775671e84b3e53495bedb934219618257756
4,PO000004,170,455,307,1,Quartz ProductionOperation 4,PO000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32bc37f5026a5cc38bf98c6dfcfcba2432bc37f5026a5cc38bf98c6dfcfcba24
5,PO000005,99,408,487,8,Zenith ProductionOperation 5,PO000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3f71c57bd8259028aa25649c2f00faef3f71c57bd8259028aa25649c2f00fae
6,PO000006,437,459,20,8,Vertex ProductionOperation 6,PO000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ca281eb301d5cfaba26b8e277f734384ca281eb301d5cfaba26b8e277f73438
7,PO000007,87,243,46,5,Summit ProductionOperation 7,PO000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,455b2032bfc95c4e8410a28c53bd6e4f455b2032bfc95c4e8410a28c53bd6e4f
8,PO000008,466,115,229,3,Granite ProductionOperation 8,PO000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1063a7607b295da78411eed2cc83318e1063a7607b295da78411eed2cc83318e
9,PO000009,376,99,422,4,Forge ProductionOperation 9,PO000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c14be41f9fe5e1a8129b25d3cd2730f1c14be41f9fe5e1a8129b25d3cd2730f
