ProductionProcessCellKey,ProductionProcessCellCode,ProductionProcessLineKey,ProductionProcessCellName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PPC000001,58,Beacon ProductionProcessCell 1,1,1,2026-08-24T00:00:00.000
2,PPC000002,58,Forge ProductionProcessCell 2,1,1,2026-08-24T00:00:00.000
3,PPC000003,48,Cedar ProductionProcessCell 3,1,1,2026-08-24T00:00:00.000
4,PPC000004,25,Summit ProductionProcessCell 4,1,1,2026-08-24T00:00:00.000
5,PPC000005,20,Meridian ProductionProcessCell 5,1,1,2026-08-24T00:00:00.000
6,PPC000006,24,Granite ProductionProcessCell 6,1,1,2026-08-24T00:00:00.000
7,PPC000007,60,Titan ProductionProcessCell 7,1,1,2026-08-24T00:00:00.000
8,PPC000008,6,Granite ProductionProcessCell 8,1,1,2026-08-24T00:00:00.000
9,PPC000009,23,Summit ProductionProcessCell 9,1,1,2026-08-24T00:00:00.000
10,PPC000010,45,Ion ProductionProcessCell 10,1,1,2026-08-24T00:00:00.000
11,PPC000011,36,Liberty ProductionProcessCell 11,1,1,2026-08-24T00:00:00.000
12,PPC000012,39,Junction ProductionProcessCell 12,1,1,2026-08-24T00:00:00.000
13,PPC000013,36,Granite ProductionProcessCell 13,1,1,2026-08-24T00:00:00.000
14,PPC000014,20,Keystone ProductionProcessCell 14,1,1,2026-08-24T00:00:00.000
15,PPC000015,62,Granite ProductionProcessCell 15,1,1,2026-08-24T00:00:00.000
16,PPC000016,5,Meridian ProductionProcessCell 16,1,1,2026-08-24T00:00:00.000
17,PPC000017,32,Vertex ProductionProcessCell 17,1,1,2026-08-24T00:00:00.000
18,PPC000018,65,Titan ProductionProcessCell 18,1,1,2026-08-24T00:00:00.000
19,PPC000019,63,Zenith ProductionProcessCell 19,1,1,2026-08-24T00:00:00.000
20,PPC000020,51,Cedar ProductionProcessCell 20,1,1,2026-08-24T00:00:00.000
21,PPC000021,4,Unity ProductionProcessCell 21,1,1,2026-08-24T00:00:00.000
22,PPC000022,23,Harbor ProductionProcessCell 22,1,1,2026-08-24T00:00:00.000
23,PPC000023,57,Delta ProductionProcessCell 23,1,1,2026-08-24T00:00:00.000
24,PPC000024,49,Orion ProductionProcessCell 24,1,1,2026-08-24T00:00:00.000
25,PPC000025,4,Ion ProductionProcessCell 25,1,1,2026-08-24T00:00:00.000
26,PPC000026,54,Granite ProductionProcessCell 26,1,1,2026-08-24T00:00:00.000
27,PPC000027,49,Northstar ProductionProcessCell 27,1,1,2026-08-24T00:00:00.000
