ProductionRunKey,ProductionRunNumber,ProductionWorkOrderKey,ProductionLotDispositionGroupKey,ProductionRunTypeKey,ProductionOrderStatusKey,ProductionRunName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PR000001,153,492,5,7,Northstar ProductionRun 1,PR000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a0eea5ea30c5a99a50ac3b9711113d38a0eea5ea30c5a99a50ac3b9711113d3
2,PR000002,255,82,2,11,Riverton ProductionRun 2,PR000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca516f94994751ceb96316aabbb2f23cca516f94994751ceb96316aabbb2f23c
3,PR000003,272,439,3,8,Northstar ProductionRun 3,PR000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0ec4fbf98975a609a117ca0712e702ff0ec4fbf98975a609a117ca0712e702f
4,PR000004,177,134,1,1,Unity ProductionRun 4,PR000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b083005510bb5944bc9dfbd2c134b77ab083005510bb5944bc9dfbd2c134b77a
5,PR000005,271,26,2,12,Zenith ProductionRun 5,PR000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aab6075e41f4505c802cad14cade46c2aab6075e41f4505c802cad14cade46c2
6,PR000006,292,140,10,12,Keystone ProductionRun 6,PR000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92119e78984b5c009a0b7a07b40518db92119e78984b5c009a0b7a07b40518db
7,PR000007,440,89,11,2,Pioneer ProductionRun 7,PR000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,228346e2e8d0573ea36a08bd17a5d0a0228346e2e8d0573ea36a08bd17a5d0a0
8,PR000008,340,237,5,7,Riverton ProductionRun 8,PR000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f064ec05e575978a84d6ec55c5fae2e2f064ec05e575978a84d6ec55c5fae2e
9,PR000009,85,251,4,4,Keystone ProductionRun 9,PR000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8996a0f4b1105f8c8781045640ed66838996a0f4b1105f8c8781045640ed6683
10,PR000010,267,350,8,1,Forge ProductionRun 10,PR000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7028520575e59c7957a657b09dd70a4c7028520575e59c7957a657b09dd70a4
11,PR000011,4,331,11,8,Keystone ProductionRun 11,PR000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75be333d33555dbda10f5f3acaa5c71c75be333d33555dbda10f5f3acaa5c71c
12,PR000012,472,109,8,4,Delta ProductionRun 12,PR000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e718657b1a6f504f89ef6640c5f2c80ce718657b1a6f504f89ef6640c5f2c80c
13,PR000013,379,79,2,8,Junction ProductionRun 13,PR000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddd8f62580cd5460ad7146f1c882fd81ddd8f62580cd5460ad7146f1c882fd81
14,PR000014,345,317,5,8,Cedar ProductionRun 14,PR000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1f71cb3bb4d5f058b0bfb0f44e2852ee1f71cb3bb4d5f058b0bfb0f44e2852e
15,PR000015,391,435,8,8,Pioneer ProductionRun 15,PR000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4b6b2be0752509b9aeb5099c8ca0555f4b6b2be0752509b9aeb5099c8ca0555
16,PR000016,273,492,11,4,Cedar ProductionRun 16,PR000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f110cef6d5f52f28e55c7e7bcfa1f396f110cef6d5f52f28e55c7e7bcfa1f39
