ProductionScheduleSegmentKey,ProductionScheduleSegmentCode,ProductionScheduleFamilyKey,ProductionScheduleSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PSS000001,52,Willow ProductionScheduleSegment 1,1,1,2026-08-24T00:00:00.000
2,PSS000002,56,Pioneer ProductionScheduleSegment 2,1,1,2026-08-24T00:00:00.000
3,PSS000003,40,Vertex ProductionScheduleSegment 3,1,1,2026-08-24T00:00:00.000
4,PSS000004,29,Meridian ProductionScheduleSegment 4,1,1,2026-08-24T00:00:00.000
5,PSS000005,21,Atlas ProductionScheduleSegment 5,1,1,2026-08-24T00:00:00.000
6,PSS000006,67,Orion ProductionScheduleSegment 6,1,1,2026-08-24T00:00:00.000
7,PSS000007,89,Evergreen ProductionScheduleSegment 7,1,1,2026-08-24T00:00:00.000
8,PSS000008,27,Ion ProductionScheduleSegment 8,1,1,2026-08-24T00:00:00.000
9,PSS000009,10,Unity ProductionScheduleSegment 9,1,1,2026-08-24T00:00:00.000
10,PSS000010,51,Quartz ProductionScheduleSegment 10,1,1,2026-08-24T00:00:00.000
11,PSS000011,58,Cedar ProductionScheduleSegment 11,1,1,2026-08-24T00:00:00.000
12,PSS000012,64,Delta ProductionScheduleSegment 12,1,1,2026-08-24T00:00:00.000
13,PSS000013,38,Willow ProductionScheduleSegment 13,1,1,2026-08-24T00:00:00.000
14,PSS000014,12,Cedar ProductionScheduleSegment 14,1,1,2026-08-24T00:00:00.000
15,PSS000015,12,Cedar ProductionScheduleSegment 15,1,1,2026-08-24T00:00:00.000
16,PSS000016,75,Liberty ProductionScheduleSegment 16,1,1,2026-08-24T00:00:00.000
17,PSS000017,90,Zenith ProductionScheduleSegment 17,1,1,2026-08-24T00:00:00.000
18,PSS000018,50,Granite ProductionScheduleSegment 18,1,1,2026-08-24T00:00:00.000
19,PSS000019,21,Willow ProductionScheduleSegment 19,1,1,2026-08-24T00:00:00.000
20,PSS000020,52,Vertex ProductionScheduleSegment 20,1,1,2026-08-24T00:00:00.000
21,PSS000021,85,Atlas ProductionScheduleSegment 21,1,1,2026-08-24T00:00:00.000
22,PSS000022,80,Forge ProductionScheduleSegment 22,1,1,2026-08-24T00:00:00.000
23,PSS000023,73,Forge ProductionScheduleSegment 23,1,1,2026-08-24T00:00:00.000
24,PSS000024,37,Ion ProductionScheduleSegment 24,1,1,2026-08-24T00:00:00.000
25,PSS000025,57,Meridian ProductionScheduleSegment 25,1,1,2026-08-24T00:00:00.000
26,PSS000026,74,Keystone ProductionScheduleSegment 26,1,1,2026-08-24T00:00:00.000
27,PSS000027,43,Riverton ProductionScheduleSegment 27,1,1,2026-08-24T00:00:00.000
28,PSS000028,13,Ion ProductionScheduleSegment 28,1,1,2026-08-24T00:00:00.000
29,PSS000029,5,Forge ProductionScheduleSegment 29,1,1,2026-08-24T00:00:00.000
30,PSS000030,17,Delta ProductionScheduleSegment 30,1,1,2026-08-24T00:00:00.000
31,PSS000031,39,Keystone ProductionScheduleSegment 31,1,1,2026-08-24T00:00:00.000
32,PSS000032,70,Zenith ProductionScheduleSegment 32,1,1,2026-08-24T00:00:00.000
33,PSS000033,7,Harbor ProductionScheduleSegment 33,1,1,2026-08-24T00:00:00.000
34,PSS000034,33,Junction ProductionScheduleSegment 34,1,1,2026-08-24T00:00:00.000
35,PSS000035,62,Forge ProductionScheduleSegment 35,1,1,2026-08-24T00:00:00.000
36,PSS000036,28,Beacon ProductionScheduleSegment 36,1,1,2026-08-24T00:00:00.000
37,PSS000037,7,Delta ProductionScheduleSegment 37,1,1,2026-08-24T00:00:00.000
38,PSS000038,10,Titan ProductionScheduleSegment 38,1,1,2026-08-24T00:00:00.000
39,PSS000039,6,Titan ProductionScheduleSegment 39,1,1,2026-08-24T00:00:00.000
40,PSS000040,19,Granite ProductionScheduleSegment 40,1,1,2026-08-24T00:00:00.000
41,PSS000041,15,Liberty ProductionScheduleSegment 41,1,1,2026-08-24T00:00:00.000
42,PSS000042,41,Evergreen ProductionScheduleSegment 42,1,1,2026-08-24T00:00:00.000
43,PSS000043,81,Northstar ProductionScheduleSegment 43,1,1,2026-08-24T00:00:00.000
44,PSS000044,5,Meridian ProductionScheduleSegment 44,1,1,2026-08-24T00:00:00.000
45,PSS000045,74,Northstar ProductionScheduleSegment 45,1,1,2026-08-24T00:00:00.000
46,PSS000046,3,Quartz ProductionScheduleSegment 46,1,1,2026-08-24T00:00:00.000
47,PSS000047,12,Harbor ProductionScheduleSegment 47,1,1,2026-08-24T00:00:00.000
48,PSS000048,71,Northstar ProductionScheduleSegment 48,1,1,2026-08-24T00:00:00.000
49,PSS000049,26,Vertex ProductionScheduleSegment 49,1,1,2026-08-24T00:00:00.000
50,PSS000050,12,Keystone ProductionScheduleSegment 50,1,1,2026-08-24T00:00:00.000
51,PSS000051,12,Cedar ProductionScheduleSegment 51,1,1,2026-08-24T00:00:00.000
52,PSS000052,28,Willow ProductionScheduleSegment 52,1,1,2026-08-24T00:00:00.000
53,PSS000053,69,Meridian ProductionScheduleSegment 53,1,1,2026-08-24T00:00:00.000
54,PSS000054,61,Northstar ProductionScheduleSegment 54,1,1,2026-08-24T00:00:00.000
55,PSS000055,3,Orion ProductionScheduleSegment 55,1,1,2026-08-24T00:00:00.000
56,PSS000056,58,Liberty ProductionScheduleSegment 56,1,1,2026-08-24T00:00:00.000
57,PSS000057,21,Zenith ProductionScheduleSegment 57,1,1,2026-08-24T00:00:00.000
58,PSS000058,7,Summit ProductionScheduleSegment 58,1,1,2026-08-24T00:00:00.000
59,PSS000059,14,Keystone ProductionScheduleSegment 59,1,1,2026-08-24T00:00:00.000
