PurchaseApprovalRouteKey,PurchaseApprovalRouteCode,PurchaseApprovalLevelKey,PurchaseApprovalRouteName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PAR000001,64,Granite PurchaseApprovalRoute 1,1,1,2026-08-24T00:00:00.000
2,PAR000002,95,Vertex PurchaseApprovalRoute 2,1,1,2026-08-24T00:00:00.000
3,PAR000003,92,Ion PurchaseApprovalRoute 3,1,1,2026-08-24T00:00:00.000
4,PAR000004,61,Evergreen PurchaseApprovalRoute 4,1,1,2026-08-24T00:00:00.000
5,PAR000005,54,Riverton PurchaseApprovalRoute 5,1,1,2026-08-24T00:00:00.000
6,PAR000006,54,Vertex PurchaseApprovalRoute 6,1,1,2026-08-24T00:00:00.000
7,PAR000007,50,Liberty PurchaseApprovalRoute 7,1,1,2026-08-24T00:00:00.000
8,PAR000008,104,Unity PurchaseApprovalRoute 8,1,1,2026-08-24T00:00:00.000
9,PAR000009,63,Northstar PurchaseApprovalRoute 9,1,1,2026-08-24T00:00:00.000
10,PAR000010,72,Liberty PurchaseApprovalRoute 10,1,1,2026-08-24T00:00:00.000
11,PAR000011,51,Unity PurchaseApprovalRoute 11,1,1,2026-08-24T00:00:00.000
12,PAR000012,34,Northstar PurchaseApprovalRoute 12,1,1,2026-08-24T00:00:00.000
13,PAR000013,5,Evergreen PurchaseApprovalRoute 13,1,1,2026-08-24T00:00:00.000
14,PAR000014,1,Ion PurchaseApprovalRoute 14,1,1,2026-08-24T00:00:00.000
15,PAR000015,6,Pioneer PurchaseApprovalRoute 15,1,1,2026-08-24T00:00:00.000
16,PAR000016,8,Atlas PurchaseApprovalRoute 16,1,1,2026-08-24T00:00:00.000
17,PAR000017,120,Granite PurchaseApprovalRoute 17,1,1,2026-08-24T00:00:00.000
18,PAR000018,50,Northstar PurchaseApprovalRoute 18,1,1,2026-08-24T00:00:00.000
19,PAR000019,112,Summit PurchaseApprovalRoute 19,1,1,2026-08-24T00:00:00.000
20,PAR000020,116,Cedar PurchaseApprovalRoute 20,1,1,2026-08-24T00:00:00.000
21,PAR000021,86,Keystone PurchaseApprovalRoute 21,1,1,2026-08-24T00:00:00.000
22,PAR000022,12,Forge PurchaseApprovalRoute 22,1,1,2026-08-24T00:00:00.000
23,PAR000023,55,Quartz PurchaseApprovalRoute 23,1,1,2026-08-24T00:00:00.000
24,PAR000024,77,Harbor PurchaseApprovalRoute 24,1,1,2026-08-24T00:00:00.000
25,PAR000025,4,Zenith PurchaseApprovalRoute 25,1,1,2026-08-24T00:00:00.000
