PurchaseApprovalStepKey,PurchaseApprovalStepCode,PurchaseApprovalRouteKey,PurchaseApprovalStepName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PAS000001,325,Harbor PurchaseApprovalStep 1,1,1,2026-08-24T00:00:00.000
2,PAS000002,124,Atlas PurchaseApprovalStep 2,1,1,2026-08-24T00:00:00.000
3,PAS000003,151,Zenith PurchaseApprovalStep 3,1,1,2026-08-24T00:00:00.000
4,PAS000004,473,Summit PurchaseApprovalStep 4,1,1,2026-08-24T00:00:00.000
5,PAS000005,207,Quartz PurchaseApprovalStep 5,1,1,2026-08-24T00:00:00.000
6,PAS000006,54,Quartz PurchaseApprovalStep 6,1,1,2026-08-24T00:00:00.000
7,PAS000007,376,Titan PurchaseApprovalStep 7,1,1,2026-08-24T00:00:00.000
8,PAS000008,267,Cedar PurchaseApprovalStep 8,1,1,2026-08-24T00:00:00.000
9,PAS000009,147,Beacon PurchaseApprovalStep 9,1,1,2026-08-24T00:00:00.000
10,PAS000010,327,Zenith PurchaseApprovalStep 10,1,1,2026-08-24T00:00:00.000
11,PAS000011,141,Willow PurchaseApprovalStep 11,1,1,2026-08-24T00:00:00.000
12,PAS000012,401,Liberty PurchaseApprovalStep 12,1,1,2026-08-24T00:00:00.000
13,PAS000013,234,Beacon PurchaseApprovalStep 13,1,1,2026-08-24T00:00:00.000
14,PAS000014,206,Junction PurchaseApprovalStep 14,1,1,2026-08-24T00:00:00.000
15,PAS000015,307,Beacon PurchaseApprovalStep 15,1,1,2026-08-24T00:00:00.000
16,PAS000016,455,Quartz PurchaseApprovalStep 16,1,1,2026-08-24T00:00:00.000
17,PAS000017,325,Forge PurchaseApprovalStep 17,1,1,2026-08-24T00:00:00.000
18,PAS000018,95,Cedar PurchaseApprovalStep 18,1,1,2026-08-24T00:00:00.000
19,PAS000019,35,Ion PurchaseApprovalStep 19,1,1,2026-08-24T00:00:00.000
20,PAS000020,452,Ion PurchaseApprovalStep 20,1,1,2026-08-24T00:00:00.000
21,PAS000021,106,Orion PurchaseApprovalStep 21,1,1,2026-08-24T00:00:00.000
22,PAS000022,106,Unity PurchaseApprovalStep 22,1,1,2026-08-24T00:00:00.000
23,PAS000023,116,Pioneer PurchaseApprovalStep 23,1,1,2026-08-24T00:00:00.000
24,PAS000024,453,Summit PurchaseApprovalStep 24,1,1,2026-08-24T00:00:00.000
25,PAS000025,347,Atlas PurchaseApprovalStep 25,1,1,2026-08-24T00:00:00.000
26,PAS000026,12,Ion PurchaseApprovalStep 26,1,1,2026-08-24T00:00:00.000
27,PAS000027,237,Unity PurchaseApprovalStep 27,1,1,2026-08-24T00:00:00.000
28,PAS000028,214,Willow PurchaseApprovalStep 28,1,1,2026-08-24T00:00:00.000
29,PAS000029,405,Quartz PurchaseApprovalStep 29,1,1,2026-08-24T00:00:00.000
30,PAS000030,24,Evergreen PurchaseApprovalStep 30,1,1,2026-08-24T00:00:00.000
31,PAS000031,15,Beacon PurchaseApprovalStep 31,1,1,2026-08-24T00:00:00.000
32,PAS000032,350,Keystone PurchaseApprovalStep 32,1,1,2026-08-24T00:00:00.000
33,PAS000033,365,Pioneer PurchaseApprovalStep 33,1,1,2026-08-24T00:00:00.000
