PurchaseCommodityCategoryKey,PurchaseCommodityCategoryCode,PurchaseCommodityDomainKey,PurchaseCommodityCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCC000001,11,Quartz PurchaseCommodityCategory 1,1,1,2026-08-24T00:00:00.000
2,PCC000002,4,Quartz PurchaseCommodityCategory 2,1,1,2026-08-24T00:00:00.000
3,PCC000003,2,Orion PurchaseCommodityCategory 3,1,1,2026-08-24T00:00:00.000
4,PCC000004,3,Cedar PurchaseCommodityCategory 4,1,1,2026-08-24T00:00:00.000
5,PCC000005,10,Quartz PurchaseCommodityCategory 5,1,1,2026-08-24T00:00:00.000
6,PCC000006,12,Unity PurchaseCommodityCategory 6,1,1,2026-08-24T00:00:00.000
7,PCC000007,3,Atlas PurchaseCommodityCategory 7,1,1,2026-08-24T00:00:00.000
8,PCC000008,2,Orion PurchaseCommodityCategory 8,1,1,2026-08-24T00:00:00.000
9,PCC000009,6,Unity PurchaseCommodityCategory 9,1,1,2026-08-24T00:00:00.000
10,PCC000010,3,Beacon PurchaseCommodityCategory 10,1,1,2026-08-24T00:00:00.000
11,PCC000011,8,Cedar PurchaseCommodityCategory 11,1,1,2026-08-24T00:00:00.000
12,PCC000012,5,Junction PurchaseCommodityCategory 12,1,1,2026-08-24T00:00:00.000
13,PCC000013,12,Orion PurchaseCommodityCategory 13,1,1,2026-08-24T00:00:00.000
14,PCC000014,8,Meridian PurchaseCommodityCategory 14,1,1,2026-08-24T00:00:00.000
15,PCC000015,8,Vertex PurchaseCommodityCategory 15,1,1,2026-08-24T00:00:00.000
16,PCC000016,6,Vertex PurchaseCommodityCategory 16,1,1,2026-08-24T00:00:00.000
17,PCC000017,9,Titan PurchaseCommodityCategory 17,1,1,2026-08-24T00:00:00.000
18,PCC000018,3,Summit PurchaseCommodityCategory 18,1,1,2026-08-24T00:00:00.000
19,PCC000019,1,Unity PurchaseCommodityCategory 19,1,1,2026-08-24T00:00:00.000
20,PCC000020,4,Willow PurchaseCommodityCategory 20,1,1,2026-08-24T00:00:00.000
21,PCC000021,5,Delta PurchaseCommodityCategory 21,1,1,2026-08-24T00:00:00.000
22,PCC000022,10,Delta PurchaseCommodityCategory 22,1,1,2026-08-24T00:00:00.000
23,PCC000023,7,Granite PurchaseCommodityCategory 23,1,1,2026-08-24T00:00:00.000
24,PCC000024,2,Keystone PurchaseCommodityCategory 24,1,1,2026-08-24T00:00:00.000
25,PCC000025,7,Northstar PurchaseCommodityCategory 25,1,1,2026-08-24T00:00:00.000
26,PCC000026,4,Delta PurchaseCommodityCategory 26,1,1,2026-08-24T00:00:00.000
27,PCC000027,3,Riverton PurchaseCommodityCategory 27,1,1,2026-08-24T00:00:00.000
28,PCC000028,2,Beacon PurchaseCommodityCategory 28,1,1,2026-08-24T00:00:00.000
29,PCC000029,6,Beacon PurchaseCommodityCategory 29,1,1,2026-08-24T00:00:00.000
30,PCC000030,9,Ion PurchaseCommodityCategory 30,1,1,2026-08-24T00:00:00.000
31,PCC000031,3,Pioneer PurchaseCommodityCategory 31,1,1,2026-08-24T00:00:00.000
32,PCC000032,6,Zenith PurchaseCommodityCategory 32,1,1,2026-08-24T00:00:00.000
33,PCC000033,8,Pioneer PurchaseCommodityCategory 33,1,1,2026-08-24T00:00:00.000
34,PCC000034,8,Vertex PurchaseCommodityCategory 34,1,1,2026-08-24T00:00:00.000
35,PCC000035,7,Atlas PurchaseCommodityCategory 35,1,1,2026-08-24T00:00:00.000
36,PCC000036,4,Junction PurchaseCommodityCategory 36,1,1,2026-08-24T00:00:00.000
37,PCC000037,6,Delta PurchaseCommodityCategory 37,1,1,2026-08-24T00:00:00.000
38,PCC000038,8,Evergreen PurchaseCommodityCategory 38,1,1,2026-08-24T00:00:00.000
