PurchaseContractFamilyKey,PurchaseContractFamilyCode,PurchaseContractProgramKey,PurchaseContractFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PCF000001,12,Orion PurchaseContractFamily 1,1,1,2026-08-24T00:00:00.000
2,PCF000002,14,Riverton PurchaseContractFamily 2,1,1,2026-08-24T00:00:00.000
3,PCF000003,11,Summit PurchaseContractFamily 3,1,1,2026-08-24T00:00:00.000
4,PCF000004,25,Cedar PurchaseContractFamily 4,1,1,2026-08-24T00:00:00.000
5,PCF000005,1,Harbor PurchaseContractFamily 5,1,1,2026-08-24T00:00:00.000
6,PCF000006,1,Forge PurchaseContractFamily 6,1,1,2026-08-24T00:00:00.000
7,PCF000007,15,Ion PurchaseContractFamily 7,1,1,2026-08-24T00:00:00.000
8,PCF000008,21,Zenith PurchaseContractFamily 8,1,1,2026-08-24T00:00:00.000
9,PCF000009,24,Keystone PurchaseContractFamily 9,1,1,2026-08-24T00:00:00.000
10,PCF000010,16,Meridian PurchaseContractFamily 10,1,1,2026-08-24T00:00:00.000
11,PCF000011,21,Pioneer PurchaseContractFamily 11,1,1,2026-08-24T00:00:00.000
12,PCF000012,5,Summit PurchaseContractFamily 12,1,1,2026-08-24T00:00:00.000
13,PCF000013,25,Quartz PurchaseContractFamily 13,1,1,2026-08-24T00:00:00.000
14,PCF000014,25,Forge PurchaseContractFamily 14,1,1,2026-08-24T00:00:00.000
15,PCF000015,26,Atlas PurchaseContractFamily 15,1,1,2026-08-24T00:00:00.000
16,PCF000016,18,Liberty PurchaseContractFamily 16,1,1,2026-08-24T00:00:00.000
17,PCF000017,24,Pioneer PurchaseContractFamily 17,1,1,2026-08-24T00:00:00.000
18,PCF000018,28,Junction PurchaseContractFamily 18,1,1,2026-08-24T00:00:00.000
19,PCF000019,29,Riverton PurchaseContractFamily 19,1,1,2026-08-24T00:00:00.000
20,PCF000020,13,Riverton PurchaseContractFamily 20,1,1,2026-08-24T00:00:00.000
21,PCF000021,10,Quartz PurchaseContractFamily 21,1,1,2026-08-24T00:00:00.000
22,PCF000022,18,Pioneer PurchaseContractFamily 22,1,1,2026-08-24T00:00:00.000
23,PCF000023,16,Beacon PurchaseContractFamily 23,1,1,2026-08-24T00:00:00.000
24,PCF000024,5,Ion PurchaseContractFamily 24,1,1,2026-08-24T00:00:00.000
25,PCF000025,6,Titan PurchaseContractFamily 25,1,1,2026-08-24T00:00:00.000
26,PCF000026,29,Northstar PurchaseContractFamily 26,1,1,2026-08-24T00:00:00.000
27,PCF000027,13,Ion PurchaseContractFamily 27,1,1,2026-08-24T00:00:00.000
28,PCF000028,28,Vertex PurchaseContractFamily 28,1,1,2026-08-24T00:00:00.000
29,PCF000029,24,Liberty PurchaseContractFamily 29,1,1,2026-08-24T00:00:00.000
30,PCF000030,27,Summit PurchaseContractFamily 30,1,1,2026-08-24T00:00:00.000
31,PCF000031,9,Forge PurchaseContractFamily 31,1,1,2026-08-24T00:00:00.000
32,PCF000032,13,Harbor PurchaseContractFamily 32,1,1,2026-08-24T00:00:00.000
33,PCF000033,6,Keystone PurchaseContractFamily 33,1,1,2026-08-24T00:00:00.000
34,PCF000034,30,Orion PurchaseContractFamily 34,1,1,2026-08-24T00:00:00.000
35,PCF000035,28,Orion PurchaseContractFamily 35,1,1,2026-08-24T00:00:00.000
36,PCF000036,9,Cedar PurchaseContractFamily 36,1,1,2026-08-24T00:00:00.000
37,PCF000037,22,Harbor PurchaseContractFamily 37,1,1,2026-08-24T00:00:00.000
38,PCF000038,8,Pioneer PurchaseContractFamily 38,1,1,2026-08-24T00:00:00.000
39,PCF000039,14,Northstar PurchaseContractFamily 39,1,1,2026-08-24T00:00:00.000
40,PCF000040,30,Unity PurchaseContractFamily 40,1,1,2026-08-24T00:00:00.000
41,PCF000041,28,Granite PurchaseContractFamily 41,1,1,2026-08-24T00:00:00.000
42,PCF000042,16,Delta PurchaseContractFamily 42,1,1,2026-08-24T00:00:00.000
43,PCF000043,19,Liberty PurchaseContractFamily 43,1,1,2026-08-24T00:00:00.000
44,PCF000044,22,Unity PurchaseContractFamily 44,1,1,2026-08-24T00:00:00.000
45,PCF000045,7,Ion PurchaseContractFamily 45,1,1,2026-08-24T00:00:00.000
46,PCF000046,20,Atlas PurchaseContractFamily 46,1,1,2026-08-24T00:00:00.000
47,PCF000047,26,Harbor PurchaseContractFamily 47,1,1,2026-08-24T00:00:00.000
48,PCF000048,6,Evergreen PurchaseContractFamily 48,1,1,2026-08-24T00:00:00.000
49,PCF000049,11,Titan PurchaseContractFamily 49,1,1,2026-08-24T00:00:00.000
50,PCF000050,15,Ion PurchaseContractFamily 50,1,1,2026-08-24T00:00:00.000
51,PCF000051,1,Granite PurchaseContractFamily 51,1,1,2026-08-24T00:00:00.000
52,PCF000052,21,Junction PurchaseContractFamily 52,1,1,2026-08-24T00:00:00.000
53,PCF000053,3,Cedar PurchaseContractFamily 53,1,1,2026-08-24T00:00:00.000
54,PCF000054,23,Orion PurchaseContractFamily 54,1,1,2026-08-24T00:00:00.000
55,PCF000055,22,Keystone PurchaseContractFamily 55,1,1,2026-08-24T00:00:00.000
56,PCF000056,4,Atlas PurchaseContractFamily 56,1,1,2026-08-24T00:00:00.000
57,PCF000057,18,Delta PurchaseContractFamily 57,1,1,2026-08-24T00:00:00.000
58,PCF000058,23,Orion PurchaseContractFamily 58,1,1,2026-08-24T00:00:00.000
59,PCF000059,25,Forge PurchaseContractFamily 59,1,1,2026-08-24T00:00:00.000
60,PCF000060,7,Northstar PurchaseContractFamily 60,1,1,2026-08-24T00:00:00.000
61,PCF000061,5,Orion PurchaseContractFamily 61,1,1,2026-08-24T00:00:00.000
62,PCF000062,28,Willow PurchaseContractFamily 62,1,1,2026-08-24T00:00:00.000
63,PCF000063,28,Summit PurchaseContractFamily 63,1,1,2026-08-24T00:00:00.000
64,PCF000064,24,Junction PurchaseContractFamily 64,1,1,2026-08-24T00:00:00.000
65,PCF000065,3,Titan PurchaseContractFamily 65,1,1,2026-08-24T00:00:00.000
66,PCF000066,17,Summit PurchaseContractFamily 66,1,1,2026-08-24T00:00:00.000
67,PCF000067,27,Beacon PurchaseContractFamily 67,1,1,2026-08-24T00:00:00.000
68,PCF000068,30,Liberty PurchaseContractFamily 68,1,1,2026-08-24T00:00:00.000
69,PCF000069,29,Orion PurchaseContractFamily 69,1,1,2026-08-24T00:00:00.000
70,PCF000070,9,Willow PurchaseContractFamily 70,1,1,2026-08-24T00:00:00.000
71,PCF000071,28,Quartz PurchaseContractFamily 71,1,1,2026-08-24T00:00:00.000
72,PCF000072,25,Forge PurchaseContractFamily 72,1,1,2026-08-24T00:00:00.000
73,PCF000073,19,Willow PurchaseContractFamily 73,1,1,2026-08-24T00:00:00.000
74,PCF000074,20,Summit PurchaseContractFamily 74,1,1,2026-08-24T00:00:00.000
75,PCF000075,12,Ion PurchaseContractFamily 75,1,1,2026-08-24T00:00:00.000
76,PCF000076,15,Keystone PurchaseContractFamily 76,1,1,2026-08-24T00:00:00.000
77,PCF000077,30,Atlas PurchaseContractFamily 77,1,1,2026-08-24T00:00:00.000
78,PCF000078,14,Unity PurchaseContractFamily 78,1,1,2026-08-24T00:00:00.000
79,PCF000079,5,Quartz PurchaseContractFamily 79,1,1,2026-08-24T00:00:00.000
80,PCF000080,16,Zenith PurchaseContractFamily 80,1,1,2026-08-24T00:00:00.000
81,PCF000081,13,Granite PurchaseContractFamily 81,1,1,2026-08-24T00:00:00.000
82,PCF000082,5,Beacon PurchaseContractFamily 82,1,1,2026-08-24T00:00:00.000
83,PCF000083,10,Harbor PurchaseContractFamily 83,1,1,2026-08-24T00:00:00.000
84,PCF000084,28,Keystone PurchaseContractFamily 84,1,1,2026-08-24T00:00:00.000
85,PCF000085,20,Unity PurchaseContractFamily 85,1,1,2026-08-24T00:00:00.000
86,PCF000086,6,Harbor PurchaseContractFamily 86,1,1,2026-08-24T00:00:00.000
87,PCF000087,19,Zenith PurchaseContractFamily 87,1,1,2026-08-24T00:00:00.000
88,PCF000088,22,Summit PurchaseContractFamily 88,1,1,2026-08-24T00:00:00.000
89,PCF000089,20,Ion PurchaseContractFamily 89,1,1,2026-08-24T00:00:00.000
90,PCF000090,2,Quartz PurchaseContractFamily 90,1,1,2026-08-24T00:00:00.000
91,PCF000091,30,Atlas PurchaseContractFamily 91,1,1,2026-08-24T00:00:00.000
92,PCF000092,17,Ion PurchaseContractFamily 92,1,1,2026-08-24T00:00:00.000
93,PCF000093,21,Zenith PurchaseContractFamily 93,1,1,2026-08-24T00:00:00.000
94,PCF000094,22,Keystone PurchaseContractFamily 94,1,1,2026-08-24T00:00:00.000
95,PCF000095,19,Northstar PurchaseContractFamily 95,1,1,2026-08-24T00:00:00.000
96,PCF000096,17,Quartz PurchaseContractFamily 96,1,1,2026-08-24T00:00:00.000
97,PCF000097,22,Meridian PurchaseContractFamily 97,1,1,2026-08-24T00:00:00.000
98,PCF000098,26,Pioneer PurchaseContractFamily 98,1,1,2026-08-24T00:00:00.000
99,PCF000099,7,Riverton PurchaseContractFamily 99,1,1,2026-08-24T00:00:00.000
100,PCF000100,16,Quartz PurchaseContractFamily 100,1,1,2026-08-24T00:00:00.000
101,PCF000101,21,Vertex PurchaseContractFamily 101,1,1,2026-08-24T00:00:00.000
102,PCF000102,7,Meridian PurchaseContractFamily 102,1,1,2026-08-24T00:00:00.000
103,PCF000103,12,Delta PurchaseContractFamily 103,1,1,2026-08-24T00:00:00.000
104,PCF000104,25,Unity PurchaseContractFamily 104,1,1,2026-08-24T00:00:00.000
105,PCF000105,24,Forge PurchaseContractFamily 105,1,1,2026-08-24T00:00:00.000
106,PCF000106,26,Willow PurchaseContractFamily 106,1,1,2026-08-24T00:00:00.000
107,PCF000107,4,Junction PurchaseContractFamily 107,1,1,2026-08-24T00:00:00.000
108,PCF000108,8,Liberty PurchaseContractFamily 108,1,1,2026-08-24T00:00:00.000
109,PCF000109,22,Junction PurchaseContractFamily 109,1,1,2026-08-24T00:00:00.000
110,PCF000110,21,Meridian PurchaseContractFamily 110,1,1,2026-08-24T00:00:00.000
111,PCF000111,22,Granite PurchaseContractFamily 111,1,1,2026-08-24T00:00:00.000
