PurchaseOrderLineKey,PurchaseOrderLineCode,PurchaseOrderHeaderKey,ProductKey,PurchaseCommodityKey,PurchaseOrderLifecycleStatusKey,UnitOfMeasureKey,LineSequenceNumber,LineDescription,PromisedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,0,N/A,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,POL000001,435,145,226,5,4,1,PurchaseOrderLine starter record 1,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8536bc3eca7e55cebed3a725184ae6d18536bc3eca7e55cebed3a725184ae6d1
2,POL000002,63,300,207,11,7,2,PurchaseOrderLine starter record 2,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d39011c49d453d89b3a24964c3b704c6d39011c49d453d89b3a24964c3b704c
3,POL000003,488,385,74,8,7,3,PurchaseOrderLine starter record 3,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91148af4c69d5bdea9f36e24e819c4ec91148af4c69d5bdea9f36e24e819c4ec
4,POL000004,118,464,334,11,6,4,PurchaseOrderLine starter record 4,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffd905ace742598fb1b0ea6148d72cd5ffd905ace742598fb1b0ea6148d72cd5
5,POL000005,209,53,469,2,2,5,PurchaseOrderLine starter record 5,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc6ac0c46cef5b2a97cb1ce0ac546e2efc6ac0c46cef5b2a97cb1ce0ac546e2e
6,POL000006,294,345,341,11,2,6,PurchaseOrderLine starter record 6,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47c54139dfad5e1ea4a3965f4199907c47c54139dfad5e1ea4a3965f4199907c
7,POL000007,265,115,160,10,5,7,PurchaseOrderLine starter record 7,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,525fbcf0d25f5a41b2f373dcf864d93b525fbcf0d25f5a41b2f373dcf864d93b
8,POL000008,373,105,269,9,4,8,PurchaseOrderLine starter record 8,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a58244d2d75850e4bd37fe9714e55ec9a58244d2d75850e4bd37fe9714e55ec9
9,POL000009,239,179,30,6,7,9,PurchaseOrderLine starter record 9,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58e6e23e0ac95f8d83b4760b9f589ff358e6e23e0ac95f8d83b4760b9f589ff3
10,POL000010,194,201,322,10,3,10,PurchaseOrderLine starter record 10,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96bc3a0ef5625e7dbd5d606523ecac4c96bc3a0ef5625e7dbd5d606523ecac4c
11,POL000011,216,119,371,12,7,11,PurchaseOrderLine starter record 11,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20e7a0c95314542eaee72a9cd16ccd7b20e7a0c95314542eaee72a9cd16ccd7b
12,POL000012,482,106,313,8,2,12,PurchaseOrderLine starter record 12,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3aa3f29bf4115baf98a6d8c278a7321e3aa3f29bf4115baf98a6d8c278a7321e
13,POL000013,277,231,373,6,3,13,PurchaseOrderLine starter record 13,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0170e530df7459ffae7027ccce072e930170e530df7459ffae7027ccce072e93
14,POL000014,213,11,134,8,3,14,PurchaseOrderLine starter record 14,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84af010b218d55ba8f49ff36ea7e5f5884af010b218d55ba8f49ff36ea7e5f58
