PurchaseSourcingDeskKey,PurchaseSourcingDeskCode,PurchaseSourcingPortfolioKey,PurchaseSourcingDeskName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PSD000001,1,Quartz PurchaseSourcingDesk 1,1,1,2026-08-24T00:00:00.000
2,PSD000002,30,Meridian PurchaseSourcingDesk 2,1,1,2026-08-24T00:00:00.000
3,PSD000003,19,Unity PurchaseSourcingDesk 3,1,1,2026-08-24T00:00:00.000
4,PSD000004,4,Vertex PurchaseSourcingDesk 4,1,1,2026-08-24T00:00:00.000
5,PSD000005,41,Ion PurchaseSourcingDesk 5,1,1,2026-08-24T00:00:00.000
6,PSD000006,31,Cedar PurchaseSourcingDesk 6,1,1,2026-08-24T00:00:00.000
7,PSD000007,12,Unity PurchaseSourcingDesk 7,1,1,2026-08-24T00:00:00.000
8,PSD000008,2,Liberty PurchaseSourcingDesk 8,1,1,2026-08-24T00:00:00.000
9,PSD000009,26,Cedar PurchaseSourcingDesk 9,1,1,2026-08-24T00:00:00.000
10,PSD000010,1,Orion PurchaseSourcingDesk 10,1,1,2026-08-24T00:00:00.000
11,PSD000011,41,Atlas PurchaseSourcingDesk 11,1,1,2026-08-24T00:00:00.000
12,PSD000012,40,Atlas PurchaseSourcingDesk 12,1,1,2026-08-24T00:00:00.000
13,PSD000013,15,Keystone PurchaseSourcingDesk 13,1,1,2026-08-24T00:00:00.000
14,PSD000014,16,Willow PurchaseSourcingDesk 14,1,1,2026-08-24T00:00:00.000
15,PSD000015,22,Harbor PurchaseSourcingDesk 15,1,1,2026-08-24T00:00:00.000
16,PSD000016,31,Summit PurchaseSourcingDesk 16,1,1,2026-08-24T00:00:00.000
17,PSD000017,20,Evergreen PurchaseSourcingDesk 17,1,1,2026-08-24T00:00:00.000
18,PSD000018,30,Evergreen PurchaseSourcingDesk 18,1,1,2026-08-24T00:00:00.000
19,PSD000019,5,Northstar PurchaseSourcingDesk 19,1,1,2026-08-24T00:00:00.000
20,PSD000020,3,Evergreen PurchaseSourcingDesk 20,1,1,2026-08-24T00:00:00.000
21,PSD000021,20,Junction PurchaseSourcingDesk 21,1,1,2026-08-24T00:00:00.000
22,PSD000022,41,Summit PurchaseSourcingDesk 22,1,1,2026-08-24T00:00:00.000
23,PSD000023,11,Willow PurchaseSourcingDesk 23,1,1,2026-08-24T00:00:00.000
24,PSD000024,28,Summit PurchaseSourcingDesk 24,1,1,2026-08-24T00:00:00.000
25,PSD000025,39,Evergreen PurchaseSourcingDesk 25,1,1,2026-08-24T00:00:00.000
26,PSD000026,10,Summit PurchaseSourcingDesk 26,1,1,2026-08-24T00:00:00.000
27,PSD000027,15,Delta PurchaseSourcingDesk 27,1,1,2026-08-24T00:00:00.000
28,PSD000028,45,Unity PurchaseSourcingDesk 28,1,1,2026-08-24T00:00:00.000
29,PSD000029,29,Unity PurchaseSourcingDesk 29,1,1,2026-08-24T00:00:00.000
30,PSD000030,26,Orion PurchaseSourcingDesk 30,1,1,2026-08-24T00:00:00.000
31,PSD000031,24,Granite PurchaseSourcingDesk 31,1,1,2026-08-24T00:00:00.000
32,PSD000032,33,Unity PurchaseSourcingDesk 32,1,1,2026-08-24T00:00:00.000
33,PSD000033,4,Titan PurchaseSourcingDesk 33,1,1,2026-08-24T00:00:00.000
34,PSD000034,20,Harbor PurchaseSourcingDesk 34,1,1,2026-08-24T00:00:00.000
35,PSD000035,2,Beacon PurchaseSourcingDesk 35,1,1,2026-08-24T00:00:00.000
36,PSD000036,34,Zenith PurchaseSourcingDesk 36,1,1,2026-08-24T00:00:00.000
37,PSD000037,7,Orion PurchaseSourcingDesk 37,1,1,2026-08-24T00:00:00.000
38,PSD000038,26,Keystone PurchaseSourcingDesk 38,1,1,2026-08-24T00:00:00.000
39,PSD000039,44,Delta PurchaseSourcingDesk 39,1,1,2026-08-24T00:00:00.000
40,PSD000040,15,Meridian PurchaseSourcingDesk 40,1,1,2026-08-24T00:00:00.000
41,PSD000041,30,Zenith PurchaseSourcingDesk 41,1,1,2026-08-24T00:00:00.000
42,PSD000042,42,Summit PurchaseSourcingDesk 42,1,1,2026-08-24T00:00:00.000
43,PSD000043,15,Unity PurchaseSourcingDesk 43,1,1,2026-08-24T00:00:00.000
44,PSD000044,35,Titan PurchaseSourcingDesk 44,1,1,2026-08-24T00:00:00.000
45,PSD000045,9,Pioneer PurchaseSourcingDesk 45,1,1,2026-08-24T00:00:00.000
46,PSD000046,29,Northstar PurchaseSourcingDesk 46,1,1,2026-08-24T00:00:00.000
47,PSD000047,24,Quartz PurchaseSourcingDesk 47,1,1,2026-08-24T00:00:00.000
48,PSD000048,31,Keystone PurchaseSourcingDesk 48,1,1,2026-08-24T00:00:00.000
49,PSD000049,12,Keystone PurchaseSourcingDesk 49,1,1,2026-08-24T00:00:00.000
50,PSD000050,40,Junction PurchaseSourcingDesk 50,1,1,2026-08-24T00:00:00.000
51,PSD000051,18,Vertex PurchaseSourcingDesk 51,1,1,2026-08-24T00:00:00.000
52,PSD000052,22,Quartz PurchaseSourcingDesk 52,1,1,2026-08-24T00:00:00.000
53,PSD000053,37,Titan PurchaseSourcingDesk 53,1,1,2026-08-24T00:00:00.000
54,PSD000054,11,Harbor PurchaseSourcingDesk 54,1,1,2026-08-24T00:00:00.000
55,PSD000055,8,Orion PurchaseSourcingDesk 55,1,1,2026-08-24T00:00:00.000
56,PSD000056,8,Summit PurchaseSourcingDesk 56,1,1,2026-08-24T00:00:00.000
57,PSD000057,32,Atlas PurchaseSourcingDesk 57,1,1,2026-08-24T00:00:00.000
58,PSD000058,21,Unity PurchaseSourcingDesk 58,1,1,2026-08-24T00:00:00.000
59,PSD000059,38,Zenith PurchaseSourcingDesk 59,1,1,2026-08-24T00:00:00.000
60,PSD000060,22,Ion PurchaseSourcingDesk 60,1,1,2026-08-24T00:00:00.000
61,PSD000061,32,Beacon PurchaseSourcingDesk 61,1,1,2026-08-24T00:00:00.000
62,PSD000062,17,Vertex PurchaseSourcingDesk 62,1,1,2026-08-24T00:00:00.000
63,PSD000063,27,Meridian PurchaseSourcingDesk 63,1,1,2026-08-24T00:00:00.000
64,PSD000064,39,Delta PurchaseSourcingDesk 64,1,1,2026-08-24T00:00:00.000
65,PSD000065,32,Titan PurchaseSourcingDesk 65,1,1,2026-08-24T00:00:00.000
66,PSD000066,31,Titan PurchaseSourcingDesk 66,1,1,2026-08-24T00:00:00.000
67,PSD000067,38,Junction PurchaseSourcingDesk 67,1,1,2026-08-24T00:00:00.000
68,PSD000068,42,Quartz PurchaseSourcingDesk 68,1,1,2026-08-24T00:00:00.000
69,PSD000069,35,Forge PurchaseSourcingDesk 69,1,1,2026-08-24T00:00:00.000
70,PSD000070,20,Junction PurchaseSourcingDesk 70,1,1,2026-08-24T00:00:00.000
71,PSD000071,9,Quartz PurchaseSourcingDesk 71,1,1,2026-08-24T00:00:00.000
72,PSD000072,19,Atlas PurchaseSourcingDesk 72,1,1,2026-08-24T00:00:00.000
73,PSD000073,19,Pioneer PurchaseSourcingDesk 73,1,1,2026-08-24T00:00:00.000
74,PSD000074,3,Granite PurchaseSourcingDesk 74,1,1,2026-08-24T00:00:00.000
75,PSD000075,8,Evergreen PurchaseSourcingDesk 75,1,1,2026-08-24T00:00:00.000
76,PSD000076,1,Zenith PurchaseSourcingDesk 76,1,1,2026-08-24T00:00:00.000
77,PSD000077,25,Vertex PurchaseSourcingDesk 77,1,1,2026-08-24T00:00:00.000
78,PSD000078,19,Granite PurchaseSourcingDesk 78,1,1,2026-08-24T00:00:00.000
79,PSD000079,12,Liberty PurchaseSourcingDesk 79,1,1,2026-08-24T00:00:00.000
80,PSD000080,38,Vertex PurchaseSourcingDesk 80,1,1,2026-08-24T00:00:00.000
81,PSD000081,22,Atlas PurchaseSourcingDesk 81,1,1,2026-08-24T00:00:00.000
82,PSD000082,43,Junction PurchaseSourcingDesk 82,1,1,2026-08-24T00:00:00.000
83,PSD000083,37,Summit PurchaseSourcingDesk 83,1,1,2026-08-24T00:00:00.000
84,PSD000084,20,Titan PurchaseSourcingDesk 84,1,1,2026-08-24T00:00:00.000
85,PSD000085,31,Riverton PurchaseSourcingDesk 85,1,1,2026-08-24T00:00:00.000
86,PSD000086,13,Forge PurchaseSourcingDesk 86,1,1,2026-08-24T00:00:00.000
87,PSD000087,31,Forge PurchaseSourcingDesk 87,1,1,2026-08-24T00:00:00.000
88,PSD000088,2,Keystone PurchaseSourcingDesk 88,1,1,2026-08-24T00:00:00.000
89,PSD000089,17,Evergreen PurchaseSourcingDesk 89,1,1,2026-08-24T00:00:00.000
90,PSD000090,37,Atlas PurchaseSourcingDesk 90,1,1,2026-08-24T00:00:00.000
91,PSD000091,21,Orion PurchaseSourcingDesk 91,1,1,2026-08-24T00:00:00.000
92,PSD000092,40,Evergreen PurchaseSourcingDesk 92,1,1,2026-08-24T00:00:00.000
93,PSD000093,28,Harbor PurchaseSourcingDesk 93,1,1,2026-08-24T00:00:00.000
94,PSD000094,44,Cedar PurchaseSourcingDesk 94,1,1,2026-08-24T00:00:00.000
95,PSD000095,33,Granite PurchaseSourcingDesk 95,1,1,2026-08-24T00:00:00.000
96,PSD000096,17,Unity PurchaseSourcingDesk 96,1,1,2026-08-24T00:00:00.000
97,PSD000097,30,Riverton PurchaseSourcingDesk 97,1,1,2026-08-24T00:00:00.000
98,PSD000098,9,Atlas PurchaseSourcingDesk 98,1,1,2026-08-24T00:00:00.000
99,PSD000099,11,Granite PurchaseSourcingDesk 99,1,1,2026-08-24T00:00:00.000
100,PSD000100,8,Pioneer PurchaseSourcingDesk 100,1,1,2026-08-24T00:00:00.000
101,PSD000101,27,Liberty PurchaseSourcingDesk 101,1,1,2026-08-24T00:00:00.000
102,PSD000102,4,Evergreen PurchaseSourcingDesk 102,1,1,2026-08-24T00:00:00.000
103,PSD000103,6,Northstar PurchaseSourcingDesk 103,1,1,2026-08-24T00:00:00.000
104,PSD000104,8,Forge PurchaseSourcingDesk 104,1,1,2026-08-24T00:00:00.000
105,PSD000105,30,Forge PurchaseSourcingDesk 105,1,1,2026-08-24T00:00:00.000
106,PSD000106,24,Junction PurchaseSourcingDesk 106,1,1,2026-08-24T00:00:00.000
107,PSD000107,34,Beacon PurchaseSourcingDesk 107,1,1,2026-08-24T00:00:00.000
108,PSD000108,35,Cedar PurchaseSourcingDesk 108,1,1,2026-08-24T00:00:00.000
109,PSD000109,19,Ion PurchaseSourcingDesk 109,1,1,2026-08-24T00:00:00.000
110,PSD000110,2,Summit PurchaseSourcingDesk 110,1,1,2026-08-24T00:00:00.000
111,PSD000111,3,Liberty PurchaseSourcingDesk 111,1,1,2026-08-24T00:00:00.000
112,PSD000112,16,Atlas PurchaseSourcingDesk 112,1,1,2026-08-24T00:00:00.000
113,PSD000113,35,Junction PurchaseSourcingDesk 113,1,1,2026-08-24T00:00:00.000
114,PSD000114,29,Beacon PurchaseSourcingDesk 114,1,1,2026-08-24T00:00:00.000
115,PSD000115,3,Ion PurchaseSourcingDesk 115,1,1,2026-08-24T00:00:00.000
116,PSD000116,23,Harbor PurchaseSourcingDesk 116,1,1,2026-08-24T00:00:00.000
117,PSD000117,39,Zenith PurchaseSourcingDesk 117,1,1,2026-08-24T00:00:00.000
118,PSD000118,5,Riverton PurchaseSourcingDesk 118,1,1,2026-08-24T00:00:00.000
119,PSD000119,41,Cedar PurchaseSourcingDesk 119,1,1,2026-08-24T00:00:00.000
120,PSD000120,19,Granite PurchaseSourcingDesk 120,1,1,2026-08-24T00:00:00.000
121,PSD000121,6,Ion PurchaseSourcingDesk 121,1,1,2026-08-24T00:00:00.000
122,PSD000122,20,Quartz PurchaseSourcingDesk 122,1,1,2026-08-24T00:00:00.000
123,PSD000123,42,Ion PurchaseSourcingDesk 123,1,1,2026-08-24T00:00:00.000
124,PSD000124,8,Atlas PurchaseSourcingDesk 124,1,1,2026-08-24T00:00:00.000
125,PSD000125,43,Willow PurchaseSourcingDesk 125,1,1,2026-08-24T00:00:00.000
126,PSD000126,19,Harbor PurchaseSourcingDesk 126,1,1,2026-08-24T00:00:00.000
127,PSD000127,2,Forge PurchaseSourcingDesk 127,1,1,2026-08-24T00:00:00.000
128,PSD000128,26,Keystone PurchaseSourcingDesk 128,1,1,2026-08-24T00:00:00.000
129,PSD000129,33,Northstar PurchaseSourcingDesk 129,1,1,2026-08-24T00:00:00.000
130,PSD000130,7,Harbor PurchaseSourcingDesk 130,1,1,2026-08-24T00:00:00.000
131,PSD000131,36,Beacon PurchaseSourcingDesk 131,1,1,2026-08-24T00:00:00.000
132,PSD000132,17,Northstar PurchaseSourcingDesk 132,1,1,2026-08-24T00:00:00.000
133,PSD000133,10,Beacon PurchaseSourcingDesk 133,1,1,2026-08-24T00:00:00.000
134,PSD000134,26,Unity PurchaseSourcingDesk 134,1,1,2026-08-24T00:00:00.000
135,PSD000135,36,Keystone PurchaseSourcingDesk 135,1,1,2026-08-24T00:00:00.000
136,PSD000136,27,Atlas PurchaseSourcingDesk 136,1,1,2026-08-24T00:00:00.000
137,PSD000137,24,Junction PurchaseSourcingDesk 137,1,1,2026-08-24T00:00:00.000
138,PSD000138,38,Atlas PurchaseSourcingDesk 138,1,1,2026-08-24T00:00:00.000
139,PSD000139,20,Granite PurchaseSourcingDesk 139,1,1,2026-08-24T00:00:00.000
140,PSD000140,42,Beacon PurchaseSourcingDesk 140,1,1,2026-08-24T00:00:00.000
141,PSD000141,17,Delta PurchaseSourcingDesk 141,1,1,2026-08-24T00:00:00.000
142,PSD000142,3,Quartz PurchaseSourcingDesk 142,1,1,2026-08-24T00:00:00.000
143,PSD000143,22,Quartz PurchaseSourcingDesk 143,1,1,2026-08-24T00:00:00.000
144,PSD000144,37,Keystone PurchaseSourcingDesk 144,1,1,2026-08-24T00:00:00.000
145,PSD000145,32,Quartz PurchaseSourcingDesk 145,1,1,2026-08-24T00:00:00.000
146,PSD000146,6,Summit PurchaseSourcingDesk 146,1,1,2026-08-24T00:00:00.000
147,PSD000147,8,Delta PurchaseSourcingDesk 147,1,1,2026-08-24T00:00:00.000
148,PSD000148,29,Granite PurchaseSourcingDesk 148,1,1,2026-08-24T00:00:00.000
149,PSD000149,40,Harbor PurchaseSourcingDesk 149,1,1,2026-08-24T00:00:00.000
150,PSD000150,10,Titan PurchaseSourcingDesk 150,1,1,2026-08-24T00:00:00.000
151,PSD000151,16,Junction PurchaseSourcingDesk 151,1,1,2026-08-24T00:00:00.000
152,PSD000152,31,Meridian PurchaseSourcingDesk 152,1,1,2026-08-24T00:00:00.000
153,PSD000153,41,Zenith PurchaseSourcingDesk 153,1,1,2026-08-24T00:00:00.000
154,PSD000154,14,Titan PurchaseSourcingDesk 154,1,1,2026-08-24T00:00:00.000
155,PSD000155,24,Pioneer PurchaseSourcingDesk 155,1,1,2026-08-24T00:00:00.000
156,PSD000156,45,Granite PurchaseSourcingDesk 156,1,1,2026-08-24T00:00:00.000
157,PSD000157,41,Riverton PurchaseSourcingDesk 157,1,1,2026-08-24T00:00:00.000
158,PSD000158,21,Pioneer PurchaseSourcingDesk 158,1,1,2026-08-24T00:00:00.000
159,PSD000159,27,Quartz PurchaseSourcingDesk 159,1,1,2026-08-24T00:00:00.000
160,PSD000160,24,Zenith PurchaseSourcingDesk 160,1,1,2026-08-24T00:00:00.000
161,PSD000161,1,Cedar PurchaseSourcingDesk 161,1,1,2026-08-24T00:00:00.000
162,PSD000162,33,Junction PurchaseSourcingDesk 162,1,1,2026-08-24T00:00:00.000
163,PSD000163,13,Riverton PurchaseSourcingDesk 163,1,1,2026-08-24T00:00:00.000
164,PSD000164,31,Forge PurchaseSourcingDesk 164,1,1,2026-08-24T00:00:00.000
165,PSD000165,25,Keystone PurchaseSourcingDesk 165,1,1,2026-08-24T00:00:00.000
166,PSD000166,40,Northstar PurchaseSourcingDesk 166,1,1,2026-08-24T00:00:00.000
167,PSD000167,15,Beacon PurchaseSourcingDesk 167,1,1,2026-08-24T00:00:00.000
168,PSD000168,10,Orion PurchaseSourcingDesk 168,1,1,2026-08-24T00:00:00.000
169,PSD000169,13,Delta PurchaseSourcingDesk 169,1,1,2026-08-24T00:00:00.000
170,PSD000170,16,Evergreen PurchaseSourcingDesk 170,1,1,2026-08-24T00:00:00.000
171,PSD000171,1,Meridian PurchaseSourcingDesk 171,1,1,2026-08-24T00:00:00.000
172,PSD000172,34,Delta PurchaseSourcingDesk 172,1,1,2026-08-24T00:00:00.000
173,PSD000173,40,Zenith PurchaseSourcingDesk 173,1,1,2026-08-24T00:00:00.000
174,PSD000174,26,Harbor PurchaseSourcingDesk 174,1,1,2026-08-24T00:00:00.000
175,PSD000175,14,Meridian PurchaseSourcingDesk 175,1,1,2026-08-24T00:00:00.000
176,PSD000176,1,Delta PurchaseSourcingDesk 176,1,1,2026-08-24T00:00:00.000
177,PSD000177,33,Quartz PurchaseSourcingDesk 177,1,1,2026-08-24T00:00:00.000
178,PSD000178,29,Orion PurchaseSourcingDesk 178,1,1,2026-08-24T00:00:00.000
179,PSD000179,28,Keystone PurchaseSourcingDesk 179,1,1,2026-08-24T00:00:00.000
180,PSD000180,7,Vertex PurchaseSourcingDesk 180,1,1,2026-08-24T00:00:00.000
181,PSD000181,33,Orion PurchaseSourcingDesk 181,1,1,2026-08-24T00:00:00.000
182,PSD000182,10,Forge PurchaseSourcingDesk 182,1,1,2026-08-24T00:00:00.000
183,PSD000183,39,Delta PurchaseSourcingDesk 183,1,1,2026-08-24T00:00:00.000
184,PSD000184,7,Orion PurchaseSourcingDesk 184,1,1,2026-08-24T00:00:00.000
185,PSD000185,2,Riverton PurchaseSourcingDesk 185,1,1,2026-08-24T00:00:00.000
186,PSD000186,35,Atlas PurchaseSourcingDesk 186,1,1,2026-08-24T00:00:00.000
187,PSD000187,6,Meridian PurchaseSourcingDesk 187,1,1,2026-08-24T00:00:00.000
188,PSD000188,37,Evergreen PurchaseSourcingDesk 188,1,1,2026-08-24T00:00:00.000
189,PSD000189,34,Harbor PurchaseSourcingDesk 189,1,1,2026-08-24T00:00:00.000
190,PSD000190,45,Unity PurchaseSourcingDesk 190,1,1,2026-08-24T00:00:00.000
191,PSD000191,6,Unity PurchaseSourcingDesk 191,1,1,2026-08-24T00:00:00.000
192,PSD000192,21,Meridian PurchaseSourcingDesk 192,1,1,2026-08-24T00:00:00.000
193,PSD000193,12,Ion PurchaseSourcingDesk 193,1,1,2026-08-24T00:00:00.000
194,PSD000194,20,Unity PurchaseSourcingDesk 194,1,1,2026-08-24T00:00:00.000
195,PSD000195,21,Cedar PurchaseSourcingDesk 195,1,1,2026-08-24T00:00:00.000
196,PSD000196,45,Atlas PurchaseSourcingDesk 196,1,1,2026-08-24T00:00:00.000
197,PSD000197,5,Cedar PurchaseSourcingDesk 197,1,1,2026-08-24T00:00:00.000
198,PSD000198,20,Zenith PurchaseSourcingDesk 198,1,1,2026-08-24T00:00:00.000
199,PSD000199,45,Unity PurchaseSourcingDesk 199,1,1,2026-08-24T00:00:00.000
