PurchaseSourcingPortfolioKey,PurchaseSourcingPortfolioCode,PurchaseSourcingCouncilKey,PurchaseSourcingPortfolioName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PSP000001,4,Beacon PurchaseSourcingPortfolio 1,1,1,2026-08-24T00:00:00.000
2,PSP000002,5,Junction PurchaseSourcingPortfolio 2,1,1,2026-08-24T00:00:00.000
3,PSP000003,8,Meridian PurchaseSourcingPortfolio 3,1,1,2026-08-24T00:00:00.000
4,PSP000004,1,Evergreen PurchaseSourcingPortfolio 4,1,1,2026-08-24T00:00:00.000
5,PSP000005,2,Riverton PurchaseSourcingPortfolio 5,1,1,2026-08-24T00:00:00.000
6,PSP000006,4,Liberty PurchaseSourcingPortfolio 6,1,1,2026-08-24T00:00:00.000
7,PSP000007,1,Northstar PurchaseSourcingPortfolio 7,1,1,2026-08-24T00:00:00.000
8,PSP000008,5,Quartz PurchaseSourcingPortfolio 8,1,1,2026-08-24T00:00:00.000
9,PSP000009,3,Titan PurchaseSourcingPortfolio 9,1,1,2026-08-24T00:00:00.000
10,PSP000010,3,Riverton PurchaseSourcingPortfolio 10,1,1,2026-08-24T00:00:00.000
11,PSP000011,8,Ion PurchaseSourcingPortfolio 11,1,1,2026-08-24T00:00:00.000
12,PSP000012,3,Delta PurchaseSourcingPortfolio 12,1,1,2026-08-24T00:00:00.000
13,PSP000013,2,Evergreen PurchaseSourcingPortfolio 13,1,1,2026-08-24T00:00:00.000
14,PSP000014,6,Unity PurchaseSourcingPortfolio 14,1,1,2026-08-24T00:00:00.000
15,PSP000015,8,Vertex PurchaseSourcingPortfolio 15,1,1,2026-08-24T00:00:00.000
16,PSP000016,6,Titan PurchaseSourcingPortfolio 16,1,1,2026-08-24T00:00:00.000
17,PSP000017,7,Zenith PurchaseSourcingPortfolio 17,1,1,2026-08-24T00:00:00.000
18,PSP000018,2,Northstar PurchaseSourcingPortfolio 18,1,1,2026-08-24T00:00:00.000
19,PSP000019,4,Junction PurchaseSourcingPortfolio 19,1,1,2026-08-24T00:00:00.000
20,PSP000020,2,Pioneer PurchaseSourcingPortfolio 20,1,1,2026-08-24T00:00:00.000
21,PSP000021,5,Delta PurchaseSourcingPortfolio 21,1,1,2026-08-24T00:00:00.000
22,PSP000022,3,Delta PurchaseSourcingPortfolio 22,1,1,2026-08-24T00:00:00.000
23,PSP000023,3,Quartz PurchaseSourcingPortfolio 23,1,1,2026-08-24T00:00:00.000
24,PSP000024,7,Keystone PurchaseSourcingPortfolio 24,1,1,2026-08-24T00:00:00.000
25,PSP000025,2,Unity PurchaseSourcingPortfolio 25,1,1,2026-08-24T00:00:00.000
26,PSP000026,2,Ion PurchaseSourcingPortfolio 26,1,1,2026-08-24T00:00:00.000
27,PSP000027,1,Evergreen PurchaseSourcingPortfolio 27,1,1,2026-08-24T00:00:00.000
28,PSP000028,8,Summit PurchaseSourcingPortfolio 28,1,1,2026-08-24T00:00:00.000
29,PSP000029,6,Beacon PurchaseSourcingPortfolio 29,1,1,2026-08-24T00:00:00.000
30,PSP000030,3,Willow PurchaseSourcingPortfolio 30,1,1,2026-08-24T00:00:00.000
31,PSP000031,3,Pioneer PurchaseSourcingPortfolio 31,1,1,2026-08-24T00:00:00.000
32,PSP000032,2,Titan PurchaseSourcingPortfolio 32,1,1,2026-08-24T00:00:00.000
33,PSP000033,1,Riverton PurchaseSourcingPortfolio 33,1,1,2026-08-24T00:00:00.000
34,PSP000034,8,Atlas PurchaseSourcingPortfolio 34,1,1,2026-08-24T00:00:00.000
35,PSP000035,1,Pioneer PurchaseSourcingPortfolio 35,1,1,2026-08-24T00:00:00.000
36,PSP000036,5,Riverton PurchaseSourcingPortfolio 36,1,1,2026-08-24T00:00:00.000
37,PSP000037,5,Pioneer PurchaseSourcingPortfolio 37,1,1,2026-08-24T00:00:00.000
38,PSP000038,8,Harbor PurchaseSourcingPortfolio 38,1,1,2026-08-24T00:00:00.000
39,PSP000039,8,Evergreen PurchaseSourcingPortfolio 39,1,1,2026-08-24T00:00:00.000
40,PSP000040,5,Unity PurchaseSourcingPortfolio 40,1,1,2026-08-24T00:00:00.000
41,PSP000041,3,Unity PurchaseSourcingPortfolio 41,1,1,2026-08-24T00:00:00.000
42,PSP000042,4,Quartz PurchaseSourcingPortfolio 42,1,1,2026-08-24T00:00:00.000
43,PSP000043,4,Orion PurchaseSourcingPortfolio 43,1,1,2026-08-24T00:00:00.000
44,PSP000044,3,Delta PurchaseSourcingPortfolio 44,1,1,2026-08-24T00:00:00.000
45,PSP000045,8,Northstar PurchaseSourcingPortfolio 45,1,1,2026-08-24T00:00:00.000
