PurchaseSupplierContractKey,SupplierContractNumber,SupplierKey,PurchaseContractLineFamilyKey,ContractOwnerEmployeeKey,CurrencyKey,PurchasePaymentTermKey,ApprovalStatusKey,SupplierContractName,EffectiveDate,ExpirationDate,MinimumCommitmentAmount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,1900-01-01,1900-01-01,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PSC000001,260,425,179,5,10,2,Riverton PurchaseSupplierContract 1,2020-01-02,2020-01-02,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84b0dcc6203d54419fa92043608356b784b0dcc6203d54419fa92043608356b7
2,PSC000002,248,283,100,1,30,3,Unity PurchaseSupplierContract 2,2020-01-03,2020-01-03,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d895f177b87f5e7dbe48f39694fcfda9d895f177b87f5e7dbe48f39694fcfda9
3,PSC000003,474,59,72,1,30,4,Riverton PurchaseSupplierContract 3,2020-01-04,2020-01-04,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76cbb224af7f5b61a5bdc1ef019ab73d76cbb224af7f5b61a5bdc1ef019ab73d
4,PSC000004,450,162,454,3,13,2,Liberty PurchaseSupplierContract 4,2020-01-05,2020-01-05,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36c6f38f7061547384c5b4e4e7915b9f36c6f38f7061547384c5b4e4e7915b9f
5,PSC000005,355,383,381,1,8,4,Summit PurchaseSupplierContract 5,2020-01-06,2020-01-06,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8882c311e52952bdbf78e5e9ec013e348882c311e52952bdbf78e5e9ec013e34
6,PSC000006,171,411,440,2,31,5,Harbor PurchaseSupplierContract 6,2020-01-07,2020-01-07,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bc8f44df74b5d7fa0703da5bdc745bd4bc8f44df74b5d7fa0703da5bdc745bd
7,PSC000007,460,398,83,5,3,5,Forge PurchaseSupplierContract 7,2020-01-08,2020-01-08,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77b9d10fdd0d5e9481d5c9513e9fa3e977b9d10fdd0d5e9481d5c9513e9fa3e9
8,PSC000008,88,228,480,5,34,3,Cedar PurchaseSupplierContract 8,2020-01-09,2020-01-09,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29d8b2ad4ee35e63bf80078618c8b29529d8b2ad4ee35e63bf80078618c8b295
9,PSC000009,214,399,255,1,37,1,Ion PurchaseSupplierContract 9,2020-01-10,2020-01-10,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbbb08be44b55c458b112f2103ac8d05dbbb08be44b55c458b112f2103ac8d05
10,PSC000010,204,122,190,2,27,4,Titan PurchaseSupplierContract 10,2020-01-11,2020-01-11,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f855f9a5c22587cb8d5c4ccb594227f7f855f9a5c22587cb8d5c4ccb594227f
11,PSC000011,167,25,46,3,27,3,Cedar PurchaseSupplierContract 11,2020-01-12,2020-01-12,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25ddf7737cf354a69f592563435a1c6a25ddf7737cf354a69f592563435a1c6a
12,PSC000012,233,408,111,1,31,3,Zenith PurchaseSupplierContract 12,2020-01-13,2020-01-13,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bb660b769fc58a59ad622525e9efc5f1bb660b769fc58a59ad622525e9efc5f
13,PSC000013,7,294,187,2,30,2,Orion PurchaseSupplierContract 13,2020-01-14,2020-01-14,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1feca8dc15305ae4b6899afc8555005d1feca8dc15305ae4b6899afc8555005d
14,PSC000014,25,174,138,4,1,1,Harbor PurchaseSupplierContract 14,2020-01-15,2020-01-15,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e82547a741a5138808e9ca7b049e17d0e82547a741a5138808e9ca7b049e17d
