PurchaseSupplierScorecardKey,SupplierScorecardCode,SupplierKey,PurchaseCommodityKey,SupplierScorecardName,QualityWeight,DeliveryWeight,CostWeight,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0.000000,0.000000,0.000000,-1,0,1900-01-01T00:00:00.000
1,PSS000001,133,193,Meridian PurchaseSupplierScorecard 1,2.000000,2.000000,11.370000,1,1,2026-08-24T00:00:00.000
2,PSS000002,401,442,Vertex PurchaseSupplierScorecard 2,3.000000,3.000000,12.740000,1,1,2026-08-24T00:00:00.000
3,PSS000003,359,281,Evergreen PurchaseSupplierScorecard 3,4.000000,4.000000,14.110000,1,1,2026-08-24T00:00:00.000
4,PSS000004,35,138,Keystone PurchaseSupplierScorecard 4,5.000000,5.000000,15.480000,1,1,2026-08-24T00:00:00.000
5,PSS000005,124,36,Junction PurchaseSupplierScorecard 5,6.000000,6.000000,16.850000,1,1,2026-08-24T00:00:00.000
6,PSS000006,35,323,Unity PurchaseSupplierScorecard 6,7.000000,7.000000,18.220000,1,1,2026-08-24T00:00:00.000
7,PSS000007,474,44,Riverton PurchaseSupplierScorecard 7,8.000000,8.000000,19.590000,1,1,2026-08-24T00:00:00.000
8,PSS000008,343,118,Keystone PurchaseSupplierScorecard 8,9.000000,9.000000,20.960000,1,1,2026-08-24T00:00:00.000
9,PSS000009,6,217,Ion PurchaseSupplierScorecard 9,10.000000,10.000000,22.330000,1,1,2026-08-24T00:00:00.000
10,PSS000010,158,235,Ion PurchaseSupplierScorecard 10,11.000000,11.000000,23.700000,1,1,2026-08-24T00:00:00.000
11,PSS000011,485,11,Delta PurchaseSupplierScorecard 11,12.000000,12.000000,25.070000,1,1,2026-08-24T00:00:00.000
12,PSS000012,251,496,Pioneer PurchaseSupplierScorecard 12,13.000000,13.000000,26.440000,1,1,2026-08-24T00:00:00.000
13,PSS000013,155,42,Northstar PurchaseSupplierScorecard 13,14.000000,14.000000,27.810000,1,1,2026-08-24T00:00:00.000
14,PSS000014,179,419,Delta PurchaseSupplierScorecard 14,15.000000,15.000000,29.180000,1,1,2026-08-24T00:00:00.000
15,PSS000015,298,77,Willow PurchaseSupplierScorecard 15,16.000000,16.000000,30.550000,1,1,2026-08-24T00:00:00.000
16,PSS000016,438,95,Cedar PurchaseSupplierScorecard 16,17.000000,17.000000,31.920000,1,1,2026-08-24T00:00:00.000
17,PSS000017,200,425,Ion PurchaseSupplierScorecard 17,18.000000,18.000000,33.290000,1,1,2026-08-24T00:00:00.000
18,PSS000018,327,174,Ion PurchaseSupplierScorecard 18,19.000000,19.000000,34.660000,1,1,2026-08-24T00:00:00.000
19,PSS000019,321,264,Evergreen PurchaseSupplierScorecard 19,20.000000,20.000000,36.030000,1,1,2026-08-24T00:00:00.000
20,PSS000020,326,343,Delta PurchaseSupplierScorecard 20,21.000000,21.000000,37.400000,1,1,2026-08-24T00:00:00.000
21,PSS000021,219,471,Junction PurchaseSupplierScorecard 21,22.000000,22.000000,38.770000,1,1,2026-08-24T00:00:00.000
22,PSS000022,220,434,Evergreen PurchaseSupplierScorecard 22,23.000000,23.000000,40.140000,1,1,2026-08-24T00:00:00.000
23,PSS000023,377,108,Junction PurchaseSupplierScorecard 23,24.000000,24.000000,41.510000,1,1,2026-08-24T00:00:00.000
24,PSS000024,445,215,Orion PurchaseSupplierScorecard 24,25.000000,25.000000,42.880000,1,1,2026-08-24T00:00:00.000
25,PSS000025,137,486,Riverton PurchaseSupplierScorecard 25,26.000000,26.000000,44.250000,1,1,2026-08-24T00:00:00.000
26,PSS000026,176,436,Orion PurchaseSupplierScorecard 26,27.000000,27.000000,45.620000,1,1,2026-08-24T00:00:00.000
27,PSS000027,301,318,Vertex PurchaseSupplierScorecard 27,28.000000,28.000000,46.990000,1,1,2026-08-24T00:00:00.000
28,PSS000028,112,108,Vertex PurchaseSupplierScorecard 28,29.000000,29.000000,48.360000,1,1,2026-08-24T00:00:00.000
29,PSS000029,149,266,Zenith PurchaseSupplierScorecard 29,30.000000,30.000000,49.730000,1,1,2026-08-24T00:00:00.000
30,PSS000030,252,66,Beacon PurchaseSupplierScorecard 30,31.000000,31.000000,51.100000,1,1,2026-08-24T00:00:00.000
31,PSS000031,172,475,Quartz PurchaseSupplierScorecard 31,32.000000,32.000000,52.470000,1,1,2026-08-24T00:00:00.000
32,PSS000032,15,280,Evergreen PurchaseSupplierScorecard 32,33.000000,33.000000,53.840000,1,1,2026-08-24T00:00:00.000
33,PSS000033,50,1,Atlas PurchaseSupplierScorecard 33,34.000000,34.000000,55.210000,1,1,2026-08-24T00:00:00.000
34,PSS000034,96,316,Summit PurchaseSupplierScorecard 34,35.000000,35.000000,56.580000,1,1,2026-08-24T00:00:00.000
35,PSS000035,226,240,Titan PurchaseSupplierScorecard 35,36.000000,36.000000,57.950000,1,1,2026-08-24T00:00:00.000
36,PSS000036,105,424,Harbor PurchaseSupplierScorecard 36,37.000000,37.000000,59.320000,1,1,2026-08-24T00:00:00.000
37,PSS000037,16,332,Unity PurchaseSupplierScorecard 37,38.000000,38.000000,60.690000,1,1,2026-08-24T00:00:00.000
38,PSS000038,260,308,Willow PurchaseSupplierScorecard 38,39.000000,39.000000,62.060000,1,1,2026-08-24T00:00:00.000
