QualityCertificateAnalysisKey,CertificateAnalysisNumber,ProductKey,SupplierKey,QualityMethodProcedureKey,ComplianceStandardKey,ApprovalStatusKey,QualityCertificateAnalysisName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QCA000001,66,270,90,1,2,Northstar QualityCertificateAnalysis 1,QCA000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a44272b1dfe155f1838c4a657d702c68a44272b1dfe155f1838c4a657d702c68
2,QCA000002,92,10,3,10,4,Meridian QualityCertificateAnalysis 2,QCA000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,540b0b03521a5d9ba7bb99462716f5d6540b0b03521a5d9ba7bb99462716f5d6
3,QCA000003,377,214,27,24,5,Cedar QualityCertificateAnalysis 3,QCA000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,203c3e2a2601544e9abff12f80522993203c3e2a2601544e9abff12f80522993
4,QCA000004,317,382,215,1,2,Atlas QualityCertificateAnalysis 4,QCA000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28394f55af8b5b7fa90ffb0ba5e643f028394f55af8b5b7fa90ffb0ba5e643f0
5,QCA000005,126,31,221,15,2,Summit QualityCertificateAnalysis 5,QCA000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8b8ef7d063859b7816c44cfca0b3dd2b8b8ef7d063859b7816c44cfca0b3dd2
6,QCA000006,322,306,37,23,1,Granite QualityCertificateAnalysis 6,QCA000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,604ed5f39caa539ea8f002d5c1e9ee40604ed5f39caa539ea8f002d5c1e9ee40
7,QCA000007,487,435,113,14,4,Unity QualityCertificateAnalysis 7,QCA000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbbb76f8c1055041937eadcf6bdd1379fbbb76f8c1055041937eadcf6bdd1379
8,QCA000008,377,70,56,11,5,Evergreen QualityCertificateAnalysis 8,QCA000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fec97dd61f25b01ab8f8257660f96784fec97dd61f25b01ab8f8257660f9678
9,QCA000009,13,444,2,23,1,Meridian QualityCertificateAnalysis 9,QCA000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdd5da1c24c45c90ba1ac156251bdd4dcdd5da1c24c45c90ba1ac156251bdd4d
10,QCA000010,331,82,188,4,2,Titan QualityCertificateAnalysis 10,QCA000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ae9cabbc12e56fa9a882382cc8354282ae9cabbc12e56fa9a882382cc835428
11,QCA000011,92,22,132,25,1,Delta QualityCertificateAnalysis 11,QCA000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd9e69bbac225de7864fd4d42cdcf8c4cd9e69bbac225de7864fd4d42cdcf8c4
12,QCA000012,372,113,125,16,5,Granite QualityCertificateAnalysis 12,QCA000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3615691df4105d69b991c51f1c0e74613615691df4105d69b991c51f1c0e7461
13,QCA000013,362,245,64,23,5,Cedar QualityCertificateAnalysis 13,QCA000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d16ec5eefa6855f8995ebe7347e6c55ad16ec5eefa6855f8995ebe7347e6c55a
14,QCA000014,476,318,89,10,2,Pioneer QualityCertificateAnalysis 14,QCA000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91cde7b6e8305ee181b4589758c9179b91cde7b6e8305ee181b4589758c9179b
15,QCA000015,108,284,44,18,3,Riverton QualityCertificateAnalysis 15,QCA000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b29abc0e557055de8e9afb51ef601bbcb29abc0e557055de8e9afb51ef601bbc
16,QCA000016,335,403,191,20,3,Junction QualityCertificateAnalysis 16,QCA000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48b05f5ef06f56d18ed951d54ee2d90f48b05f5ef06f56d18ed951d54ee2d90f
17,QCA000017,378,-1,133,2,1,Zenith QualityCertificateAnalysis 17,QCA000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff82f361a7735bd0b1558f53508cbed8ff82f361a7735bd0b1558f53508cbed8
18,QCA000018,324,485,142,18,3,Ion QualityCertificateAnalysis 18,QCA000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c30d12dc78eb5da6ba03e1c64c6bcb33c30d12dc78eb5da6ba03e1c64c6bcb33
19,QCA000019,447,404,175,11,4,Northstar QualityCertificateAnalysis 19,QCA000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3d16770f3935a448121cf4ad7cf2c74a3d16770f3935a448121cf4ad7cf2c74
