QualityCharacteristicGroupKey,QualityCharacteristicGroupCode,QualityCharacteristicClassKey,QualityCharacteristicGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QCG000001,42,Junction QualityCharacteristicGroup 1,1,1,2026-08-24T00:00:00.000
2,QCG000002,53,Riverton QualityCharacteristicGroup 2,1,1,2026-08-24T00:00:00.000
3,QCG000003,8,Titan QualityCharacteristicGroup 3,1,1,2026-08-24T00:00:00.000
4,QCG000004,67,Keystone QualityCharacteristicGroup 4,1,1,2026-08-24T00:00:00.000
5,QCG000005,52,Forge QualityCharacteristicGroup 5,1,1,2026-08-24T00:00:00.000
6,QCG000006,12,Keystone QualityCharacteristicGroup 6,1,1,2026-08-24T00:00:00.000
7,QCG000007,69,Junction QualityCharacteristicGroup 7,1,1,2026-08-24T00:00:00.000
8,QCG000008,4,Beacon QualityCharacteristicGroup 8,1,1,2026-08-24T00:00:00.000
9,QCG000009,17,Riverton QualityCharacteristicGroup 9,1,1,2026-08-24T00:00:00.000
10,QCG000010,17,Beacon QualityCharacteristicGroup 10,1,1,2026-08-24T00:00:00.000
11,QCG000011,68,Pioneer QualityCharacteristicGroup 11,1,1,2026-08-24T00:00:00.000
12,QCG000012,3,Atlas QualityCharacteristicGroup 12,1,1,2026-08-24T00:00:00.000
13,QCG000013,62,Unity QualityCharacteristicGroup 13,1,1,2026-08-24T00:00:00.000
14,QCG000014,56,Willow QualityCharacteristicGroup 14,1,1,2026-08-24T00:00:00.000
15,QCG000015,13,Riverton QualityCharacteristicGroup 15,1,1,2026-08-24T00:00:00.000
16,QCG000016,65,Riverton QualityCharacteristicGroup 16,1,1,2026-08-24T00:00:00.000
17,QCG000017,32,Granite QualityCharacteristicGroup 17,1,1,2026-08-24T00:00:00.000
18,QCG000018,7,Quartz QualityCharacteristicGroup 18,1,1,2026-08-24T00:00:00.000
19,QCG000019,50,Forge QualityCharacteristicGroup 19,1,1,2026-08-24T00:00:00.000
20,QCG000020,62,Meridian QualityCharacteristicGroup 20,1,1,2026-08-24T00:00:00.000
21,QCG000021,11,Ion QualityCharacteristicGroup 21,1,1,2026-08-24T00:00:00.000
